ordinal,source_position,item_code,uom,display_name,category,stock_qty,price_myr,priority_tier,detected_brand,detected_model,action,prior_decision,prior_page,prior_image,prior_local_asset,prior_source,prior_reason,useful_brand_or_model,ledger_state,ledger_tiers_tried,ledger_researcher_decision,ledger_gate
1380,3235,SWI-T/BOX-540A,SET,Extension Box Sp PP100-540A,Electrical,4,29.80,3,,PP100-540A,search,,,,,,,yes,open,,,
1381,4895,FIT-UPVC-BEN-ELB-45-155MM,PCS,U-pvc Bend (elbow) 155MM 6,Plumbing,4,29.80,3,,45-DEG,search,,,,,,,yes,open,,,
1382,2981,TOO-CUT-SNI-W108B,PCS,Tin Cutter 200MM W108B,Power Tools,4,29.50,3,,W108B,search,,,,,,,yes,open,,,
1383,4102,TOO-WRE-OIL-MBSP007,PCS,"12""X300MM Sensui Oil Filter Wrench",Hand Tools,4,28.90,3,,X300MM,search,,,,,,,yes,open,,,
1384,3026,TOO-WRE-KEY-69251,SET,8PC S/arm Hex Key Set,Power Tools,4,28.80,3,,1.5MM-6MM,search,,,,,,,yes,open,,,
1385,3809,CEI-COR-314D,NOS,314D Cornice Corners,Building Materials,4,27.90,3,,314D,search,,,,,,,yes,open,,,
1386,4852,VAL-BAL-PVC-ECC112SE,PCS,Ecco PVC Ball 1/2 Se,Plumbing,4,27.90,3,,VALVE-1,search,,,,,,,yes,open,,,
1387,3979,HHD-VAL-FLO-BRA-CIT-18MM,PCS,City Moh Brass Float VALVE-3/4,Fishing & Tackle,4,26.50,3,,VALVE-3/4,search,,,,,,,yes,open,,,
1388,4092,SHH-ROD-2511300,PCS,Santec 2511-300 Puyu Solid Pole (3MTR),Fishing & Tackle,4,26.50,3,,3MTR,search,,,,,,,yes,open,,,
1389,4145,SHH-FISH-NET-0.15D-25MM-50MD/5A,PCS,"25MM (1"") 50MD (4') /5A",Fishing & Tackle,4,26.50,3,,50MD,search,,,,,,,yes,open,,,
1390,3165,TOO-PLI-CIR-WNS01,PCS,Circlip Pliers 175MM,Power Tools,4,25.90,3,,WNS01,search,,,,,,,yes,open,,,
1391,3225,FAS-RIV-PAT-5/32X1/2-BOX,BOX,Blind Rivet: Jaguar 5/32 X 1/2 (500PCS/BOX),Fasteners & Fixings,4,25.90,3,,500PCS/BOX,search,,,,,,,yes,open,,,
1392,4035,SAF-EAR-EM9003,PCS,Picasaf 9007 Ear Muffle (26DB),Safety & Workwear,4,25.90,3,,26DB,search,,,,,,,yes,open,,,
1393,5096,FIT-UPVC-SOC-160X110MM,PCS,"U-pvc Socket Reducing 6""X4",Electrical,4,25.90,3,,160X110MM,search,,,,,,,yes,open,,,
1394,3202,DOR-HOL-SGD-020SN,PCS,Sn St. Guchi Door Holder,Doors & Hardware,4,25.00,3,,SGDS-020,search,,,,,,,yes,open,,,
1395,5236,NAI-AIR-LEO-T38,BOX,Leo Air Nail - T38,Fasteners & Fixings,4,24.50,3,,T38,search,,,,,,,yes,open,,,
1396,2655,TOO-COM-W0287F-13MM,PCS,Com Ratchet Wrench 13MM,Hand Tools,4,23.90,3,,W0287F,search,,,,,,,yes,open,,,
1397,5121,ELE-PVC-BOX-TC8X10,EA,Tc 8X10 PVC Enclosure Box,Electrical,4,23.90,3,,8X10,search,,,,,,,yes,open,,,
1398,5243,SWI-T/SOC-FLE-914-3M4G,SET,Fle T/skt Sp ** TC-4GL-340B 914-3M,Electrical,4,23.90,3,,TC-4GL-340B,search,,,,,,,yes,open,,,
1399,4023,CUT-CIR-30-120MM,SET,Adjustable Circle Cutter,Abrasives & Cutting,4,23.50,3,,30-120MM,search,,,,,,,yes,open,,,
1400,3261,DOR-STO-SGD-024SS,PCS,SS St. Guchi Hat & Coat Hook Door Stopper,Doors & Hardware,4,22.90,3,,SGDS-024,search,,,,,,,yes,open,,,
1401,5261,FIT-UPVC-FLO-110MMX80MM,PCS,U-pvc Floor Gully Trap 4 X 3,Plumbing,4,22.90,3,,110MMX80MM,search,,,,,,,yes,open,,,
1402,5631,X-HHD-FLU-M0676/L100W-50MM,PCS,Techplas Liftup Outlet Valve White Lever,Plumbing,4,22.90,3,,L100-W,search,,,,,,,yes,open,,,
1403,5304,TRA-SOC-GTE-3G-28060023,PCS,Green 3G Trailing Socket,Electrical,4,21.50,3,,NEON-2M,search,,,,,,,yes,open,,,
1404,4334,TOO-HAM-CLA-W2611,PCS,Claw Hammer Trp/plastic,Hand Tools,4,20.90,3,,W2611,search,,,,,,,yes,open,,,
1405,5567,SIN-WAS-SS-DL5W4,PCS,DL5 2 1/2 Fully Slim Sink Waste,Plumbing,4,20.90,3,,DL5,search,,,,,,,yes,open,,,
1406,3313,DOR-VIE-SGD-DV3779AC,PCS,AC St. Guchi Door Viewer 180,Doors & Hardware,4,20.00,3,,SGAC-DV3779,search,,,,,,,yes,open,,,
1407,3086,BOS-1607-950-045,PCS,Bosch Drill Chuck Key,Power Tool Accessories,4,19.90,3,Bosch,,search,,,,,,,yes,open,,,
1408,3477,GRA-CUT-BRU-N465518,PAIR,Brush PAIR-SHR263K Spt N465518/N769626,Outdoor & Garden,4,19.50,3,,PAIR-SHR263K,search,,,,,,,yes,open,,,
1409,3328,HOS-HOL-EAG-EG3100,PCS,Eagle Plastic Hose Holder,Outdoor & Garden,4,19.20,3,,EG-3100,search,,,,,,,yes,open,,,
