source_position,item_code,uom,official_image_url,image_sha256,image_px_w,image_px_h,image_bytes
918,,,https://cdn1.sgliteasset.com/jayamata/images/product/product-6675960/IO3hAmz66940cd0ab1649_1765854474.jpg,b3721b0088796c128a487c0fc971464d5ac5349a3881c6341d5294b5d9a3b96d,800,800,69363
918,,,https://cdn1.sgliteasset.com/jayamata/images/product/product-6675960/IO3hAmz66940cd0ab1649_1765854474.jpg,b3721b0088796c128a487c0fc971464d5ac5349a3881c6341d5294b5d9a3b96d,800,800,69363
954,,,https://www.gewiss.com/content/dam/gwdam/product/GW/10/00/72/85/GW10007285.jpg.transform/1000x1000/de8901efa237504b160398651c6a3710d63ec579/img.jpeg,489723eefd1bf74f360accbaf45c4b4812f260cee3a8f7567b3a41fcaac0f1e2,1000,1000,42992
2795,,,https://gw-assets.assaabloy.com/is/image/assaabloy/SGAC-DV3776%20-%2001,ada4032d52c4d8ff0540983e9e2ffcbd0d681cf567034f7211bc14f93076eb47,1280,1280,24192
2682,,,https://cdn1.npcdn.net/image/161233295112194d1eeac5da4bae862a3deff2f55e.png?md5id=1454d28ea121df29e7684f5b7b0d9bd7&new_width=1000&new_height=1000&w=-62170009200,73c7e95b34de954538f01bb5367ecab815e2b4b1f1177f407265aaf33f61ef17,900,900,760484
4755,,,https://cdn1.npcdn.net/userfiles/27047/file/MG49.png,0812838f795fa269a6ea4b5f2beb752937f973215bd44c56f0e408b8dd8eb1d9,2454,2515,6106163
4913,,,https://cdn1.npcdn.net/userfiles/27047/file/MG29.png,c9bb6229faede763529419ef79acaca6483f77c3335d38a7e9a1aa21d739f958,2493,2487,6626542
964,,,https://www.cabana.com.my/images/virtuemart/product/CB476-BL-01.jpg,b5893f545f57e322a4ac915953911835211adb747b2d496c535be72c72f815eb,3334,3334,149810
983,,,https://assets.dewalt.com/NAG/PRODUCT/IMAGES/HIRES/WHITEBG/DW4724_1.jpg,,0,0,0
983,,,https://assets.dewalt.com/NAG/PRODUCT/IMAGES/HIRES/WHITEBG/DW4724_1_1680.webp,cf2ffa4ad2acaac9032f541a1dfe4b320207891cb738fca45ca7d0d0ac676e24,1680,1680,406716
974,,,https://api.eshop.prod.algostudio.net/products/digpro/915005799501.jpg,3218590806470a0ba8730ab9c618c15d56bf255d844534caeb90aae7f0f49781,0,0,8915
974,,,https://www.assets.signify.com/is/image/Signify/MESON_WH_SQ_recessed-SPP?\$,118033bd905f8a2fbb2adcf49bb61f685a7fc90b108802db5b1f31156471d2f0,2302,1765,134780
