row_id,item_code,uom,display_name,category,official_product_page,official_image_url
1,BOS-2608-634-994,PCS,Jigsaw Blade T345XF,Power Tool Accessories,https://www.bosch-pt.com.my/my/en/pro-multi-material-thick-and-thin-t345xf-jigsaw-blade-3076984-ocs-ac/,https://www.bosch-pt.com.my/binary/ocsmedia/optimized/544x306/o466193v82_2608634994_bo_pro_u_f_1.png
2,VAC-DEC-BHFEA18D1,UNIT,Black+decker Avenger 20V Cordless Stick Vacuum,Power Tools,https://www.blackanddecker.com/products/bhfea18d1,http://www.blackanddecker.com/cdn/shop/products/Ecomm_Large-BHFEA18D1_5.jpg?v=1667919818
3,WEL-MAC-STA-MIG160,UNIT,Starweld Skill Welding Machine 1KG Acc,Welding,https://b2b.sunwaywinstar.com/en/starweld-skill-welding-machine-1kg-cw-accmig160,https://myhwwsstorprod01.obs.my-kualalumpur-1.alphaedge.tmone.com.my/product_images/0000631_r-nietz-starweld-skill-welding-machine-1kg-cw-accessories-mig160-skill_510.jpeg?AccessKeyId=IDRIC5ESEFAJ08W4Q4Q9&Expires=1787516013&Signature=PxentwuLrSHIUOiVL62maYn%2BRmc%3D
4,SIN-CAB-CKS315,PCS,Cabana S/steel Kitchen Sink CKS315,Kitchen & Sinks,https://cabana.com.my/index.php/products/kitchen/kitchen-sink/top-mount-kitchen-sink/cks315-01-detail,https://cabana.com.my/images/virtuemart/product/CKS315-01.jpg
5,"FAN-CEI-KDK-K14PH-WA-56""",PCS,56 Kdk DC Ceiling Fan (wood Acacia),Fans & Ventilation,https://www.kdk.com.my/product/k14ph-wa/,https://www.kdk.com.my/wp-content/uploads/2025/12/product-thumbnail_K14PH-WA.png
6,DC-DCKIT36BK,SET,+ (2.0AH X2/3A),Power Tools,https://www.dongchengmalaysia.com/product/dckit36bk/,https://www.dongchengmalaysia.com/wp-content/uploads/2026/03/DCKIT36TYPE-BK.jpg
7,PUM-TSU-HPC6120,UNIT,Tsunami High Pressure Cleaner,Power Tools,https://tsunamipump.com/products/hpc6120-light-home-cleaning-high-pressure-cleaner-1300w/,https://tsunamipump.com/wp-content/uploads/2023/12/HPC6120-with-Transparent-Background.png
8,DC-M1Q-FF-65,SET,Jig Saw / DMQ65,Power Tools,https://www.dongchengmalaysia.com/product/m1q-ff-65/,https://www.dongchengmalaysia.com/wp-content/uploads/2023/10/DMQ65.jpg
9,TAP-CAB-CB4907,UNIT,Cabana Basin Cold Tap CB4907,Bathroom,https://cabana.com.my/index.php/products/bathroom/basin-tap/cb4907-detail,https://cabana.com.my/images/virtuemart/product/CB4907.jpg
10,EXH-FAN-OS-16EF,PCS,Osaki Industrial Exhaust Fan 16 240V,Fans & Ventilation,https://www.yuanming.com.my/product/osaki-industrial-exhaust-fan-16/,https://www.yuanming.com.my/wp-content/uploads/2023/01/OSAKI-16EF.png
