row_id,item_code,uom,display_name,category,official_product_page,official_image_url
1,"FAN-WALL-KDK-KU453-18""",PCS,18 Kdk Wall Fan,Fans & Ventilation,https://www.kdk.com.my/product/ku453/,https://www.kdk.com.my/wp-content/uploads/2020/07/product-thumbnail_Wall-Fans-KU453.png
2,FAN-STA-OS-20SF,PCS,Osaki Commercial Stand Fan 20,Fans & Ventilation,https://www.yuanming.com.my/product/osaki-commercial-stand-fan-20/,https://www.yuanming.com.my/wp-content/uploads/2023/01/OS20SF_FRONT.png
3,BAS-CAB-CWB1409-CB,PCS,Cabana Counter Top Basin,Bathroom,https://cabana.com.my/index.php/products/bathroom/wash-basin/cwb1409-cb-detail,https://cabana.com.my/images/virtuemart/product/CWB1409-33.jpg
4,MIX-CAB-CB4723,PCS,Cabana Bath/shower MIXER-CB4723,Bathroom,https://cabana.com.my/index.php/products/bathroom/shower-series/concealed-shower-set/cb4723-detail,https://cabana.com.my/images/virtuemart/product/CB4723-01.jpg
5,NIP-ODO-SFT-MATT-5L-P,CAN,5L Nippon Odourlite Soft Matt - P,Paint & Sundries,https://www.nipponpaint.com.my/product/odourlite-soft-matt-finish/,https://www.nipponpaint.com.my/wp-content/uploads/2024/11/odourlite-gloss.webp
6,DC-ZIJ-FF04-13(SET),SET,Electric Impact Drill / DZJ04-13,Power Tools,https://www.dongchengmalaysia.com/product/z1j-ff04-13/,https://www.dongchengmalaysia.com/wp-content/uploads/2023/10/DZJ04-13.jpg
7,"FAN-WALL-KDK-KU-408-YG-16""",PCS,Kdk Wall FAN-16 KU408-YG,Fans & Ventilation,https://www.kdk.com.my/product/ku408-yg/,https://www.kdk.com.my/wp-content/uploads/2020/07/product-thumbnail_Wall-Fans-KU408-YG-1.png
8,GAS-STO-BGC-933/305,PCS,Butterfly SS Double G/cooker,Home Appliances,https://www.butterflytraders.com/showproducts/productid/5612619/bgc933305-butterfly-ss-double-gas-cooker-130-130-mm/,https://cdn1.npcdn.net/images/a28d2c56fa9886df278b61ffb83674de_1736491383.webp?md5id=77596ce7097c5f353cffcc865487d9e2&new_width=1000&new_height=1000&size=max&w=-62170008925&from=jpeg&type=9
9,DC-DVC12,SET,12L Vacuum Cleaner (1200W),Chemicals & Adhesives,https://www.dongchengmalaysia.com/product/dvc12/,https://www.dongchengmalaysia.com/wp-content/uploads/2023/10/DVC12.jpg
10,DC-M1B-FF-82X1,SET,Electric Planer,Power Tools,https://www.dongchengmalaysia.com/product/m1b-ff-82x1/,https://www.dongchengmalaysia.com/wp-content/uploads/2023/10/DMB82.jpg
