ordinal,source_position,item_code,uom,display_name,category,stock_qty,price_myr,priority_tier,detected_brand,detected_model,action,prior_decision,prior_page,prior_image,prior_local_asset,prior_source,prior_reason,useful_brand_or_model,ledger_state,ledger_tiers_tried,ledger_researcher_decision,ledger_gate
1,271,AGR-NET-SUN-GLO-70%,MTR,Glotool Sun Shade Netting (70%),"Rope, Chain & Netting",27,2.90,1,Glotool,,search,,,,,,,yes,open,1,pending,
2,284,"PIP-HDPE-25MM-3/4""",MTR,"HDPE Pipe 25MM (3/4"") PN12.5(MS-1058)",Plumbing,20,3.20,1,,PN12.5,search,,,,,,,yes,open,1,pending,
3,257,TAR-SHT-GT2-O/B-6',MTR,Glotool PE Trap (GT-02) 6'X70YDS,Plumbing,10,8.90,1,Glotool,GT-02,search,,,,,,,yes,open,1,pending,
4,296,NAI-COM-65MM-20KG,PCK,2 1/2 Wire Nail,Fasteners & Fixings,35,3.20,1,,,search,,,,,,,no,open,1,reject,
5,299,NAI-COM-50MM-20KG,PCK,2 Wire Nail,Fasteners & Fixings,25,3.20,1,,,search,,,,,,,no,open,1,reject,
6,289,IND-WIR-MES-1212-20GX100,FTS,Wire Mesh 1/2/ X 1/2 X 3 X 20G X 100,Electrical,15,2.90,1,,,search,,,,,,,no,open,1,reject,
7,544,GLO-COT-700-ZS70,PAIR,Cotton Glove ZS70,Safety & Workwear,73,1.20,2,Glotool,ZS70,search,,,,,,,yes,open,1,reject,
8,816,GLO-COT-104-WHI,PAIR,Cotton Glove B104,Safety & Workwear,22,1.20,2,Glotool,B104,search,,,,,,,yes,open,1,reject,
9,562,IND-SCO-SMR-S501TY,PCS,Samurai King Steel Shovel S501TY,Building Materials,5,16.90,2,Samurai,S501TY,search,,,,,,,yes,open,1,pending,
10,924,GLO-SEM-GT891/RED,PAIR,Semi Leather Gloves - 800 Sn/red,Safety & Workwear,5,8.50,2,Glotool,,search,,,,,,,yes,open,1,pending,
11,989,GLO-SEM-GT891/YEL,PAIR,Semi Leather Gloves - 800 Sn/yellow,Safety & Workwear,4,8.50,2,Glotool,,search,,,,,,,yes,open,1,pending,
12,393,GLO-WEL-GT900/BLU,PAIR,Welding Glove - 900GT/BLUE,Safety & Workwear,2,15.90,2,Glotool,900GT/BLUE,search,,,,,,,yes,open,1,pending,
13,394,GLO-WEL-GT900/RED,PAIR,Welding Glove - 900GT/RED,Safety & Workwear,2,15.90,2,Glotool,900GT/RED,search,,,,,,,yes,open,1,pending,
14,794,GLO-WEL-SUP-500SPG,PAIR,Welding Glove - 500SP/GREEN,Safety & Workwear,2,9.90,2,Glotool,500SP/GREEN,search,,,,,,,yes,open,1,pending,
15,4189,"BRA-STEEL-L-1""X1""",PCS,"Steel L Bracket 1""X1 (BC185K)",Plumbing,508,0.70,3,,BC185K,search,,,,,,,yes,open,1,reject,
16,3994,"BRA-STEEL-L-1.5""X1.5""",PCS,"Steel L Bracket 1.5""X1.5 (BC185K)",Plumbing,464,0.90,3,,X1.5,search,,,,,,,yes,open,1,reject,
17,4550,ELE-CLI-CON-10A-2WAY,PCS,Double Sided Connector Clip-white (5PCS/PCK),Electrical,440,1.00,3,,5PCS/PCK,search,,,,,,,yes,open,1,reject,
18,2859,ELE-CAB-WIR-ASIA-2.5BK*,MTR,"Asia PVC Cable, Black - MTR",Electrical,434,1.60,3,,2.5MM2,search,,,,,,,yes,open,1,pending,
19,4548,BNW-NUT-SS304-M06,PCS,SS 304 Nut - M06,Fasteners & Fixings,431,0.50,3,,M06,search,,,,,,,yes,open,1,reject,
20,2996,PLUG-TOP-SIR-13AMP,PCS,Isafe Plug Top With SIRIM,Electrical,277,3.90,3,,13AMP,search,,,,,,,yes,open,1,pending,
21,4800,NAIL-RETAINING- CLIP-PVC-S110,PCK,PVC Retaining Nail Clip S110 (2PCS/PCK),Fasteners & Fixings,190,1.00,3,,S110,search,,,,,,,yes,open,1,reject,
22,3719,SWI-LAM-HOL-B218E27,PCS,E27 Hanging Holder Blk,Electrical,174,2.10,3,,E27,search,,,,,,,yes,open,1,pending,
23,3770,SWI-LAM-HOL-W218E27,PCS,E27 Hanging Holder Wh,Electrical,169,2.10,3,,E27,search,,,,,,,yes,open,1,pending,
24,4955,ELE-CAB-TWI-B/W-MAXWELL,MTR,"Scinet Twin Cable, Blue/white",Electrical,166,1.80,3,,23/0.14MM,search,,,,,,,yes,open,1,pending,
25,4926,BNW-NUT-SS304-M10,PCS,SS 304 Nut - M10,Fasteners & Fixings,155,0.90,3,,M10,search,,,,,,,yes,open,1,reject,
26,3297,SHH-BELL-SINGL-PSC115,PCS,Single Fishing Bell PSC115,Fishing & Tackle,148,1.40,3,,PSC115,search,,,,,,,yes,open,1,reject,
27,3403,ELE-HOL-SE3831,PCS,Kingsway E27 Wedge Holder,Electrical,147,3.80,3,,E27,search,,,,,,,yes,open,1,pending,
28,2945,ABR-PAP-621-527,SHT,G60 Ewd Hand Sanding Sheet,Abrasives & Cutting,147,2.30,3,,G60,search,,,,,,,yes,open,1,reject,
29,4103,WAL-PLU-S/S-CC225-M6X60MM,PCS,S/steel Wall Plug - K103-304 M6X60MM CC225,Fasteners & Fixings,147,1.70,3,,K103-304,search,,,,,,,yes,open,1,pending,
30,3088,"CLI-HOS-GP-1/2""",PCS,Gp S/steel Hose CLIP-1/2 (6-12MM),Outdoor & Garden,147,1.00,3,,CLIP-1/2,search,,,,,,,yes,open,1,reject,
31,5550,FIT-PVC-SOC-REC-20MMX15MM,PCS,"PVC Fitting Soc Red 3/4""X1/2",Plumbing,146,0.70,3,,X1/2,search,,,,,,,yes,open,1,reject,
32,3005,"CLI-HOS-GP-5/8""",PCS,Gp S/steel Hose CLIP-5/8 (9-16MM),Outdoor & Garden,145,1.10,3,,CLIP-5/8,search,,,,,,,yes,open,1,reject,
33,4317,FIT-PVC-ELB-20MMX15MM,PCS,"PVC Fitting Elbow Reducing 3/4""X1/2",Plumbing,138,1.80,3,,X1/2,search,,,,,,,yes,open,1,reject,
34,3003,ABR-PAP-621-533,SHT,G220 Ewd Hand Sanding Sheet,Abrasives & Cutting,136,2.00,3,,G220,search,,,,,,,yes,open,1,reject,
35,3002,ABR-PAP-621-532,SHT,G180 Ewd Hand Sanding Sheet,Abrasives & Cutting,134,2.30,3,,G180,search,,,,,,,yes,open,1,reject,
36,3027,ABR-PAP-621-536,PCS,G400 Ewd Hand Sanding Sheet,Abrasives & Cutting,133,2.00,3,,G400,search,,,,,,,yes,open,1,reject,
37,4221,WAL-PLU-S/S-60MM,PCS,304 S/steel Wall Plug M6 X 60MM,Fasteners & Fixings,133,1.60,3,,CC220,search,,,,,,,yes,open,1,reject,
38,5508,ELE-CAB-WIR-1.5-YELLOW*,MTR,"Win PVC Cable, Yellow 100M",Electrical,130,1.00,3,,1.5MM2,search,,,,,,,yes,open,1,pending,
39,5904,ELE-PVC-SOC-TC1820MM,PCS,Tc PVC Socket,Electrical,129,0.40,3,,18-20MM,search,,,,,,,yes,open,1,reject,
40,3224,FAS-BOL-EXP-12100,PCS,Sh Expansion Bolt M12 X 100,Fasteners & Fixings,127,4.30,3,,M12,search,,,,,,,yes,open,1,reject,
41,3162,ROP-WIR-GAL-6.0MM,MTR,Galv Wire Rope-cnn 6.0MMX6X19,Lifting & Rigging,124,2.80,3,,6.0MMX6X19,search,,,,,,,yes,open,1,reject,
