source_position,item_code,uom,official_image_url,image_sha256,image_px_w,image_px_h,image_bytes
2671,WEL-MAC-FIG-MMA160,UNIT,https://static.wixstatic.com/media/f9a5b1_9d0d7a1416bc449fbf4a2e45c146b996~mv2.jpg,2165b9ca94c608ef942646291845ef950772894884edb0d62bef01a01e1f5067,700,700,190796
3418,X-TOO-WOR-5503-12V,SET,https://cdn1.npcdn.net/images/162738158020eae05548ea46a69fbc0b18a5394f03.jpg?md5id=29ebacd5f103d32a0f2fda45fccd4a5c&new_width=1200&new_height=1200&w=1526956020,54df417b446c32e3e19a3c91f70a1cb6c027d9ae0e3a24403684ba79177bd551,1200,1200,794042
4466,ADH-ALT-110,PCS,https://alteco.com.sg/wp-content/uploads/2020/09/110-3g-twin-pack.png,8cea5610d84454dd27c554ec6229e6973afc92ac7e7deb8061f7d52bd27d3ba5,381,740,411610
4794,IND-COO-MID-C20-RT2002,PCS,https://www.midea.com/content/dam/midea-aem/my/my-new/pdp/kitchen-appliances/cooking-appliances/induction-cooker/c20-rt2000/PD-kitchen-appliances-Cooking%20Appliances-C20-RT2000-HK2002E-new-1040x1040.jpg,67ef81a4fcaf7a83a4390648bb0dd55e08b8d6611323b86f3c535177198a1ef5,1040,1040,153309
6132,TOO-CUT-STA-992014564,PCS,https://theleedenstore.com.my/wp-content/uploads/2025/07/STANLEY-HAND-TOOLS_STANLEY-14-562-22LEFT14-563-22STRAIGHT14-564-22RIGHT-MAXSTEEL-AVIATION-SNIPS-PHOTO-8.jpg,03e35f83a18a67cf92513d4a66683d27b1fdf3b01a140f23ae18286507d8af52,1000,1000,84840
6180,TOO-CUT-STA-992014562,PCS,https://theleedenstore.com.my/wp-content/uploads/2025/07/STANLEY-HAND-TOOLS_STANLEY-14-562-22LEFT14-563-22STRAIGHT14-564-22RIGHT-MAXSTEEL-AVIATION-SNIPS-PHOTO-6.jpg,3baf32a89135321ad2dea3ebeaa53a9513949b32da9090ed7c037cb1ebea1d7d,1000,1000,114987
6387,TOO-PLI-COM-STA-150,PCS,https://www.stanleytools.co.uk/EMEA/PRODUCT/IMAGES/HIRES/STHT0-74456_1.jpg,f32179dcfd45a2487cad5b745f948ce07848413f0e92d189e78267550a54087b,2000,2000,99650
6438,DOR-SOC-SGD-100MMSS,PCS,https://gw-assets.assaabloy.com/is/image/assaabloy/SGDS-106%20-%2001,10c01c10ecc6bf48c51aad19529071115fe718c36867405243791e2f71b6ce45,1280,1280,60372
6566,TOO-CHI-STA-16MM,PCS,https://www.stanleytools.co.uk/EMEA/PRODUCT/IMAGES/HIRES/0-16-876_1.jpg,b220588b15ee8991cf7ebb22aed8d1fe74ceac41237c2c71bfb7b9b7471f16fb,2000,2000,72115
6647,PEN-108-4L,PAIL,https://ancventure.sgp1.cdn.digitaloceanspaces.com/128655832/pentens-latex-108-1.jpeg,,0,0,0
6793,CAR-MULT-CLEA-500ML,BTL,https://armorall.com/global-media/wp-content/uploads/sites/6/product-images/E303218500_01.png,ead4e14e93d710cd8c9fb0cb2129efb35a0109b51683ed865f7b7d5162c5712a,1000,1000,480922
6971,RAI-BOO-BLA-RUB-038#,PAIR,https://coveitchi.com.my/wp-content/uploads/2024/11/8834_Left-2.jpg,18f3f742276823041ad30f9987f14028c5a3a3411f10c721d85e593e575ccd73,2042,2200,469389
7270,DOR-SOC-SGD-13MMSN,PCS,https://gw-assets.assaabloy.com/is/image/assaabloy/SGDS-13%20-%2001,a32d3cd923d258de58c40bad692c54457ed8e3e04159a451458e5f36ab37206d,1280,1280,44646
7479,"TOO-FIL-ORE-3/16""",PCS,https://shop.oregonproducts.com/cdn/shop/files/lihrmvp5op4tqbazs2iy_1de0803a-6103-41cc-badd-07bf2844de50.jpg?v=1786658587,5045d5219f2eeb3b72cc574456fc6e5c254a8a38c803472e44dd7df223d6846e,2048,2048,62465
7549,GUN-TAC-REF-TR45-10MM,SET,https://cdn11.bigcommerce.com/s-4ytrikgs1c/images/stencil/3840w/products/16710/43285/506IP-CWP_1__36783.1780929985.jpg?compression=lossy,773babd409d2f9c397d4756f27fc434036ec104e6a85f43486ac3cfe21b2a01b,2000,2000,311097
