source_position,item_code,uom,display_name,category,detected_brand,detected_model,action,start_tier,tried,prior_decision,prior_page,prior_image,prior_reason,ledger_state
963,ADH-TAP-WAR70,ROLL,Glotool Warning Tape 70MM X 70M,Chemicals & Adhesives,Glotool,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
996,HOS-GAR-MARK-X-DB-13MTR,ROLL,Mark-x Gar UV Net Hose 4PLY Dark,Outdoor & Garden,,4PLY,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
395,NIP-ECO-B,CAN,1L 811-9907 Black B,Paint & Sundries,Nippon Paint,ECO100,reopen,2,,pending,,,Fail-closed: evidence insufficient for VERIFIED. Exact current Nippon product page and colour/package image not preserved.,open
902,ELE-D/L-MGM-MQTL1119-RD-3000K,PCS,"Mgm 6""/RD LED Panel Light (sr) MQTL1119-Y/15W 15W/3000K",Lighting,,MQTL1119-Y/15W,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
672,PAI-SPR-SAM-058,PCS,Samurai Spray Paint Fluorescent Blue,Paint & Sundries,Samurai,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
984,TOO-NIE-PLU-COU-30SH,PCS,Nietz Quick Coupler Socket 30SH,Electrical,Nietz,30SH,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
888,SAF-SPE-GT460,PAIR,Glotool Safety Eyewear Clear,Safety & Workwear,Glotool,GT460,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
678,PAI-SPR-SAM-056,PCS,Samurai Spray Paint Fluorescent Yellow,Paint & Sundries,Samurai,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
1042,BOS-2608-585-889,PCS,Hss-g Cobal Bit 6.0MM (SET),Power Tools,Bosch,,duplicate_listing,1,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
907,BOS-2608-595-068,PCS,Hss-g Metal Bit 6.5MM,Power Tools,Bosch,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
913,SAF-SPE-GT470,PAIR,Glotool Safety Eyewear Black,Safety & Workwear,Glotool,GT470,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
400,NIP-QGL-5L-P,CAN,5L Nippon Q-glo Pastel Base,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,Fail-closed: evidence insufficient for VERIFIED. Official page confirms Q-Glo family but not exact 5L Pastel Base package/image.,open
