source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,model_exact,finish_exact,match_confidence,tiers_run,queries_log,pages_log,notes
103,ELE-D/L-MEG-YTPDGLE5-70W,PCS,reject,,,,,,YTPDGLE5-70W,,,T2,,p:https://megaman.com.my/product/high-lumen-t-bulb/ (200),Reopened prior lead high-lumen-t-bulb: spec table lists YTPDGLE5-50W and YTPDGLE5-70W under cap PLC (PLC cell directly follows the YTPDGLE5-50W/70W model cells); separate E27 table uses different codes. Confirms prior finding: no official E27 YTPDGLE5-70W variant; row cap claim mismatches. gallery hero 2020/12/1-2.jpg shared across wattages/caps (family shot).
260,BOS-0611-272-1L4,UNIT,pending,,,,,,GBH 2-24 DRE,,,T2,,p:https://www.bosch-pt.com.my/my/en/products/gbh-2-24-dre-06112721L0 (200) | p:https://www.bosch-pt.com.sg/sg/en/products/gbh-2-24-dre-06112721L4 (404) | p:https://www.bosch-pt.com.hk/hk/en/products/gbh-2-24-dre-06112721L4 (404) | p:https://www.bosch-professional.com/my/en/products/gbh-2-24-dre-06112721l4 (404) | p:https://www.bosch-pt.com.my/my/en/products/gbh-2-24-dre-06112721L4 (404),"Lead still open: live MY PDP quotes sku/mpn 06112721L0 (JSON-LD) with ocsmedia application-image full PNG available; ordered set-variant 06112721L4 re-verified 404 on MY, SG, HK and global-MY this round. No official 1L4 anywhere probed; keep pending unless Ekoway confirms L0/L9 substitution."
261,NIP-WTRB-18L-WHITE,CAN,reject,https://www.nipponpaint.com.my/product/weatherbond-quartz/,,,,,Weatherbond Quartz,,,T2,,p:https://www.nipponpaint.com.my/product/weatherbond-quartz/ (200),"Line PDP reopened (200): single lifestyle hero wp-content/uploads/2024/12/weatherbond-quartz-best-in-class.webp; page never enumerates pack sizes, bases or colour codes (no 18L/15004/White-base text). No SKU-alone official imagery exists for the 18L white-base pack; colour '145' not printed anywhere official. Terminal reject - do not force family hero."
238,NIP-SEA-5170-20L,DRUM,reject,https://www.nipponpaint.com.my/product/acrylic-5170-wall-sealer/,,,,,Acrylic 5170 Wall Sealer,,,T2,,p:https://www.nipponpaint.com.my/product/acrylic-5170-wall-sealer/ (200),"PDP reopened (200): og:image acrylic-5170-wall-sealer.webp is the line hero shared across all pack sizes; page prints NO pack-size info (grep for 20L/pack/litre: no content hits). 20L drum size cannot be quoted from official page text, so bar-1 UOM consistency unverifiable; no per-SKU official image. Terminal reject."
263,NIP-WTRB-WHI-15004,CAN,reject,https://www.nipponpaint.com.my/product/weatherbond-quartz/,,,,,Weatherbond Quartz,,,T2,,p:https://www.nipponpaint.com.my/product/weatherbond-quartz/ (200),Same line page reopened (200): code 15004 WS White never printed on official site; only lifestyle group hero published; no per-base SKU imagery. Terminal reject.
259,BOS-0611-338-5L0,UNIT,candidate,https://web.archive.org/web/20190819024207/https://www.bosch-pt.com.my/my/en/products/gsh-500-06113386L0,https://media.bosch-pt.com.my/binary/ocsmedia/o285351v54_lv-166873-12-Openbox_GSH500_2.png,515,600,619792,GSH 500 (sku 06113386L0),,0.7,T3-T4,q:web.archive.org CDX url=bosch-pt.com.my/my/en/products/gsh-500* | q:web.archive.org CDX url=bosch-pt.com.sg matchType=domain filter original contains gsh-500,p:http://web.archive.org/cdx/search/cdx?url=bosch-pt.com.my/my/en/products/gsh-500* (200) | p:https://web.archive.org/web/20190819024207/https://www.bosch-pt.com.my/my/en/products/gsh-500-06113386L0 (200) | p:https://media.bosch-pt.com.my/binary/ocsmedia/o285351v54_lv-166873-12-Openbox_GSH500_2.png (200 image/png 619792 bytes 515x600),"Prior 'GSH 500 nowhere' overturned: archived official MY PDP (snapshot 20190819, status 200 in CDX) titled 'GSH 500 Demolition hammer/Breaker with Hex', JSON-LD/WP.pn_sku quote sku 06113386L0; og:image/JSON-LD image = the PNG above, which still returns 200 image/png 619792B from the official Bosch MY media CDN today (byte-checked). Image shows GSH 500 tool alone (open-box shot). CAVEAT: item_code strips to 06113385L0 while sole official GSH 500 hex article ever published on bosch-pt.com.my/.sg is 06113386L0 (single-digit delta; SDS-max sibling was 06113382C0) - treated as supplier transcription error, flagged for downstream veto."
33,TOI-TRP-WC2098RL-S,SET,reject,https://saniware.com/product/wc-2098-s300/,,,,,WC-2098-S300,,,T2,,p:https://saniware.com/?s=rimless (200) | p:https://saniware.com/page/2/?s=rimless (200),"Exhausted official-site rimless search (both result pages): rimless washdown closets listed are WC-2400, WC-2123A, WC-2124A, WC-2100, WC-2090 only - NO WC-2098 RL variant. Combined with prior probes (/product/wc-2098rl-s250/ 404; ?s=WC-2098 yields only S300), rimless WC-2098 250mm is not an official SKU. rimless_variant_not_listed."
273,MIR-SBC-600603A,SET,reject,https://saniware.com/search/SBC/,,,,,SBC-600603A,,,T2-T3,"q:""S600"" bathroom cabinet set 610x475x450 Malaysia","p:https://www.pantimurpandoor.com/showproducts/productid/5346487/s600-basin-cabinet-set-sbc600606/ (200 via search excerpt) | p:https://saniware.com/?s=SBC (200) | p:https://saniware.com/?s=600603 (200, zero product hits) | p:https://saniware.com/?s=SBC-600603 (200, zero product hits) | p:https://saniware.com/product/bathroom-cabinet-set-sbc-600603a/ (404) | p:https://saniware.com/page/2/?s=SBC (404)","Brand identified as Saniware basin cabinets (SBC-xxxxxxA; official site filenames literally tagged '-S600'). Official saniware.com lists SBC-600407A/600408A/600409A/600410A + SSBC series ONLY; SBC-600603A absent (search zero hits, slug 404). Only sibling SBC-600606 appears on non-authorised retailer pages (Pan Timur, homeaccessoriesmalaysia). Exact model has no official page/image -> reject."
32,JOV-WAT-HEA-SL30IP-WHI-AWB,PCS,reject,https://www.joven-electric.com/my/sl30ip-wb-instant-water-heater.html,,,,,SL30iP(WB),white,0.35,T2,,p:https://www.joven-electric.com/my/products/instant-water-heater/sl30-series.html (200) | p:https://www.joven-electric.com/my/sl30ip-wb-instant-water-heater.html (200),"Both leads reopened: official MY SL30 lineup = SL30iP-RS, SL30iP, SL30e-RS, SL30e, SL30iP(WB) (category page dataLayer). WB PDP quotes H1 'SL30iP(WB) Instant Water Heater', sku sl30ip-wb, white casing with Inclinable Wall Bracket; og:image media/catalog/product/.../sl30ip_white_wall_bracket.jpg. String 'AWB' appears NOWHERE on either official page -> AWB remains dealer-side nomenclature, suffix mismatch vs official ordering code stands. Reject maintained."
145,FAN-WAL-TAICON-TC-11006,SET,reject,,,,,,TC-11006,,,T2,"q:Taicon wall fan 16"" TC-11006 Malaysia official",,Fresh tier-2 search confirms prior: Taicon fans exist only on Shopee/Lazada seller stores (excluded); taicon.com is an unrelated aluminum-electrolytic-capacitor manufacturer; no official fan brand site or verifiable authorised distributor page with TC-11006. no_official_taicon_website.
244,NIP-WTRB-18L-A,DRUM,reject,https://www.nipponpaint.com.my/product/weatherbond-quartz/,,,,,Weatherbond Quartz,,,T2,,p:https://www.nipponpaint.com.my/product/weatherbond-quartz/ (200),Line page reopened (200): Accent Base variant never enumerated on official site; only lifestyle group hero published; no per-base SKU imagery. Terminal reject.
245,NIP-WTRB-18L-T,DRUM,reject,https://www.nipponpaint.com.my/product/weatherbond-quartz/,,,,,Weatherbond Quartz,,,T2,,p:https://www.nipponpaint.com.my/product/weatherbond-quartz/ (200),Line page reopened (200): Tint Base variant never enumerated on official site; only lifestyle group hero published; no per-base SKU imagery. Terminal reject.
