source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,model_exact,finish_exact,match_confidence,tiers_run,queries_log,pages_log,notes
7722,PAI-SPR-ANC-004,PCS,pending,,,,,,,,,T1,"q:""Anchor"" spray paint 400ml Malaysia official ""executive grey"" | q:Anchor spray paint Malaysia official website DPI aerosol | q:""DPI Chemicals"" Anchor spray paint official website",p:https://dpiaerosol.com/anchor/ (200) | p:https://dpiaerosol.com/product-category/standard (200),Anchor #4 Executive Grey: no per-colour PDP on OEM site (only generic 'DPI Anchor Standard Grey'); OEM DPI Holdings (dpiaerosol.com) Standard range lists 12 colour PDPs; official DPI Anchor Digital Color Chart 2026 PDF https://dpiaerosol.com/wp-content/uploads/2026/04/DPI-Anchor-Digital-Color-Chart-2026-.pdf is the crop-source lead; retailer PDPs (mltech/bwengtat/rakanjaya/lipex-sg) fail the authorised-MY-distributor test.
7151,PAI-SPR-ANC-015,PCS,pending,,,,,,,,,T1,"q:""Anchor"" spray paint 400ml Malaysia official ""executive grey"" | q:Anchor spray paint Malaysia official website DPI aerosol | q:""DPI Chemicals"" Anchor spray paint official website",p:https://dpiaerosol.com/anchor/ (200) | p:https://dpiaerosol.com/product-category/standard (200),Anchor #15 Vermillion: no Vermillion PDP in OEM Standard range (colour appears only on retailer variant lists); OEM DPI Holdings (dpiaerosol.com) Standard range lists 12 colour PDPs; official DPI Anchor Digital Color Chart 2026 PDF https://dpiaerosol.com/wp-content/uploads/2026/04/DPI-Anchor-Digital-Color-Chart-2026-.pdf is the crop-source lead; retailer PDPs (mltech/bwengtat/rakanjaya/lipex-sg) fail the authorised-MY-distributor test.
7186,PAI-SPR-ANC-030,PCS,candidate,https://dpiaerosol.com/product/dpi-anchor-standard-black/,https://dpiaerosol.com/wp-content/uploads/2025/04/Anchor-Spray-Paint_Anchor-Standard-Black01-scaled.jpg,2560,2560,314867,DPI Anchor Standard Black / variant 30 Black,high gloss black,high,T1,"q:""Anchor"" spray paint 400ml Malaysia official ""executive grey"" | q:Anchor spray paint Malaysia official website DPI aerosol | q:""DPI Chemicals"" Anchor spray paint official website",p:https://dpiaerosol.com/product-category/standard (200) | p:https://dpiaerosol.com/product/dpi-anchor-standard-black/ (200),"Opened OEM PDP this round; page HTML quotes title 'DPI Anchor Standard Black', variant option '30 Black', 'Volume: 400ml'; byte-check this round: status 200 image/jpeg 314867 bytes 2560x2560."
7154,PAI-SPR-ANC-803,PCS,candidate,https://dpiaerosol.com/product/dpi-anchor-standard-silver/,https://dpiaerosol.com/wp-content/uploads/2025/04/Anchor-Spray-Paint_Anchor-Standard-Silver01-scaled.jpg,2560,2560,272929,DPI Anchor Standard Silver / option 803 Silver,metallic silver high gloss,high,T1,"q:""Anchor"" spray paint 400ml Malaysia official ""executive grey"" | q:Anchor spray paint Malaysia official website DPI aerosol | q:""DPI Chemicals"" Anchor spray paint official website",p:https://dpiaerosol.com/product-category/standard (200) | p:https://dpiaerosol.com/product/dpi-anchor-standard-silver/ (200),Opened OEM PDP this round; page HTML quotes option '803 Silver' and SDS link filename 'SDS-HDK_No.803-Silver-No.808-Gold-Bronze.pdf'; byte-check this round: status 200 image/jpeg 272929 bytes 2560x2560.
6554,PAI-TIG-250ML-ALUM,TIN,pending,,,,,,,,,T1|T3,"q:Tiger ""G.P 203"" aluminium 250ml paint",p:https://www.tigerpaints.com.sg/02-tiger-brand-top-coats/ (200),"Official Tiger Brand OEM site (Seng Fong Paints, tigerpaints.com.sg) top-coats page HTML quotes 'Tiger Aluminum 203 (AP-203)' but contains ZERO product images (logo assets only); SG retailer images (Horme/Eezee/HardwareCity) fail authorised-MY-distributor bar; item is 250ML tin vs OEM industrial pack sizes; next pass T4 official brochure PDF / web.archive.org."
7733,"DRI-AUG-SDS-3/8""""",PCS,reject,,,,,,,,,,,,Unbranded commodity power-tool accessory; no brand/model token beyond generic 'SDS Plus'; no OEM exists to match; marketplace-only category.
7627,PLA-BAG-BLA-06X09,KG,reject,,,,,,,,,,,,Unbranded commodity packaging (PE bag defined only by size 6x9 and 1KG weight); no OEM product page possible.
7749,X-CAB-VGA-1.5M,PCS,reject,,,,,,,,,,,,Generic VGA cable 1.5m; no brand/model in item identity; commodity cable assembly.
6696,CHA-ANI-6FT-45,PCS,reject,,,,,,,,,,,,'Animal chain' is the Malaysian trade term for general-purpose galvanised chain sold loose by length; unbranded commodity; no OEM.
7629,CUT-SAW-WAL-BOA-2120,PCS,pending,,,,,,,,,T1,"q:""board saw"" 2120 wall board Malaysia | q:Marksman wall board saw 2120",,Display 'M'man' resolves to MARKSMAN - 'MARKSMAN WALL BOARD SAW (NO:2120)' 6-inch confirmed via MY Shopee/Lazada listings ONLY; no official Marksman OEM/distributor site surfaced in T1; park for T2/T3 distributor-catalogue/archive pass.
