source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,model_exact,finish_exact,match_confidence,tiers_run,queries_log,pages_log,notes
6422,LOC-TRI-263,PCS,candidate,https://www.amatrix.com.my/safes-locks/Tri-Circle-263-brass-padlock-32mm-VISUAL-PACK,https://www.amatrix.com.my/image/amatrix/image/data/all_product_images/product-4111/tri-circle-brass-padlock-38mm.jpg,458,458,22851,Tri-Circle 263,brass body / steel shackle,medium,T1,"q:""263"" tricycle padlock Malaysia",p:https://esales.com.my/product/tri-circle-padlock-263/ (401) | p:https://www.amatrix.com.my/safes-locks/Tri-Circle-263-brass-padlock-32mm-VISUAL-PACK (200),"display name 'Tricycle' = Tri-Circle brand; page title/desc quote 'Tri-Circle 263 brass padlock,32mm VISUAL PACK'; single-product photo only; CAUTION: og:image filename says 38mm - possible sibling-size photo reuse on amatrix; esales.com.my (Tong Seng Locksmith) bot-walled with 401"
7379,PVC-STRAPPING-APPLE GREEN,KGS,reject,,,,,,,apple green,,T1,"q:""PVC strapping"" green packaging roll supplier Malaysia",,unbranded commodity packaging strap sold by weight; no OEM/brand PDP exists anywhere (only Shopee/Lazada/marketplace and generic packaging suppliers); duplicate_listing row; honest reject
7380,PVC-STRAPPING-GREEN,KGS,reject,,,,,,,green,,T1,"q:""PVC strapping"" green packaging roll supplier Malaysia",,"same commodity situation as apple-green sibling: unbranded, marketplace-only; mkhardware.com.my has a generic PVC STRAPPING category page but no colour-specific PDP and no model string to quote; honest reject"
6811,PVC-STRAPPING-PIN,KGS,reject,,,,,,,pink-tint,,T1,"q:""PVC strapping"" green packaging roll supplier Malaysia",,'Pink-t' = pink-tint PVC strapping; unbranded commodity sold by weight; no official/brand source exists; honest reject rather than force a match
7605,TOO-PLI-DIA-K0011,PCS,reject,,,,,,,,,"T1,T2","q:""Standard"" 9421 diagonal cutting plier 6"" | q:""9421"" diagonal cutting pliers Taiwan",,no identifiable manufacturer: 'Standard 9421' is a generic Taiwanese-made 6in diagonal plier; T2 found only unrelated Taiwan OEM factories (Top Well/Sergia/Silver Both) and Western retail brands (Klein D210-6C etc.); no official page quotes model 9421; honest reject
7575,IND-CAS-SOF-50MM,SET,reject,,,,,,,black rubber (typical),,T1,"q:""sofa"" caster wheel 2 inch Malaysia supplier",,unbranded 2in sofa-type caster set; MY hits are generic caster suppliers (Kyoto/JGS/Hommit/KSW) without this SKU; no OEM PDP or model string exists; honest reject
7329,DRI-BIT-116G,PCS,pending,,,,,,,,,"T1,T2","q:""Hitmax diamond core bit 19mm Malaysia"" | q:""HITMAX"" diamond core bit",,"HITMAX is a real MY-market brand: litaventure.com.my (Lita Venture Hardware, Prai) lists 'HITMAX BRAND DIAMOND CORE BIT HTD116A HTD116B HTD116C ...HTD116R' but it is one generic multi-model NEWPAGES family page with no per-size PDP and boilerplate text (item code DRI-BIT-116G suggests HTD116-series G size = 19mm); no official HITMAX OEM site found; all other listings are Shopee-only; lead parked for next pass: open litaventure family page and confirm 19mm mapping"
7602,SHH-FROG-359114,PCS,reject,,,,,,Santec COMBAIT POISONFROX 35 (359114),soft hollow body frog,,"T1,T3","q:Santec ""poison frog"" combait 35mm lure | q:""359114"" Santec poisonfrox",,"Santec lures are made in Thailand and distributed via Shopee/Lazada/TikTok Shop only; sibling COMBAIT MASHFROX 35 = 359113 is documented on marketplaces, POISONFROX = 359114 has NO official OEM/distributor PDP anywhere; santec.com hits are an unrelated Japanese optical company; marketplace links not eligible; reject"
7635,REM-CON-RC/M-AUN787,PCS,reject,,,,,,IHandy IH-AUN787 universal fan remote,,,T1,"q:""Huayu"" fan remote control AUN787",,AUN787 is actually the IHandy IH-AUN787 intelligent-fan remote (for Midea/Khind/Gree/Panasonic/Hatari/Hisense fans); sold only via AliExpress/Alibaba/Shopee-type channels; huayu.cc (Anhui Huayu Electronic) official site lists no such model - 'Huayu' in the display name appears to be a mislabel; no authorised Malaysian distributor PDP; reject
7724,GAR-SPR-CR8448CPT,PCS,reject,,,,,,CR8448CPT (unverified),,,T1,q:CR8448CPT adjustable cone nozzle spray gun,,"model string CR8448CPT returns zero OEM/distributor results globally; only unrelated brands make adjustable cone nozzles (Hypro 3381, Jacto, ARAG, Gloria); cannot confirm brand/model/finish against any official page; honest reject"
