source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,model_exact,finish_exact,match_confidence,tiers_run,queries_log,pages_log,notes
613,NIP-QGL-1L-A,TIN,pending,https://www.nipponpaint.com.my/product/q-glo/,https://www.nipponpaint.com.my/wp-content/uploads/2024/11/q-glo-new.webp,1000,1000,241746,Q-Glo,Satin Finish Interior Wall Paint (PDP title),low-medium,"T2,T3",q:websearch MCP provider down HTTP 429 all sitting (Bing/DDG-lite/Mojeek bot-walled fallbacks) | q:nipponpaint.com.my ?s=Q-GLO wordpress search | q:direct PDP slug nipponpaint.com.my/product/q-glo/ | q:PDP text grep accent|pastel|base|pack|size|litre|1L | q:local nippon_tds.pdf grep Q-Glo/Q-Lac (no match),p:https://www.nipponpaint.com.my/?s=Q-GLO (200) | p:https://www.nipponpaint.com.my/product/q-glo/ (200),"Official MY PDP live and hero image byte-checked OK this round (200 image/webp 241746 B, 1000x1000). Page text NEVER states pack sizes nor an Accent base variant, so 1L/Accent-Base claims stay unverified -> cannot clear bar #1; prior fail-closed stands. Next pass: official TDS/pack-shot showing 1 L accent base."
781,PAI-SPR-SAM-Y017,PCS,candidate,https://samuraipaint.com/products/c017-candy-green,https://cdn.shopify.com/sfiles/1/0795/8714/8096/files/C017.jpg?v=1754291360,1080,1080,107560,C017 Candy Green,Candy Green gloss aerosol finish,medium-high,"T2,T3",q:websearch MCP provider down HTTP 429 all sitting (Bing/DDG-lite/Mojeek bot-walled fallbacks) | q:samuraipaint.com homepage fetch (official MY store) | q:samuraipaint.com/wp-json wp/v2 search Y017 (404 REST disabled) | q:samuraipaint.com/sitemap.xml -> sitemap_products_1.xml grep y017|candy|green | q:/products/c017-candy-green.json Shopify product API | q:byte check cdn C017.jpg,p:https://samuraipaint.com/ (200) | p:https://samuraipaint.com/wp-sitemap.xml (404) | p:https://samuraipaint.com/sitemap_index.xml (404) | p:https://samuraipaint.com/sitemap.xml (200) | p:https://samuraipaint.com/sitemap_products_1.xml?from=8491269194048&to=10236652159296 (200) | p:https://samuraipaint.com/products/c017-candy-green.json (200),"Official Samurai Paint Malaysia Shopify store (samuraipaint.com, self-styled Official Store). Product page title 'C017 Candy Green', variant sku FG-AE-C017; first product image C017.jpg 1080x1080 jpeg byte-checked 200 OK. DISCREPANCY FLAG: Ekoway item_code says Y017 but no Y-series/y017 product exists on the official store - official candy green is C017; colour name matches display_name exactly. Verifier: confirm image shows single can (not swatch/catalogue sheet SKU_CATALOG-06.jpg which was rejected as family shot)."
881,BOS-2608-585-888,PCS,pending,https://www.bosch-pt.com.my/my/en/pro-stainless-steel-hss-co-twist-drill-bit-3089844-ocs-ac/?sku=2608585888,,,,,PRO Stainless Steel HSS-Co Twist Drill Bit 5.5 x 57 x 93 mm,"HSS-Co DIN 338 twist drill bit, 10-pc OEM pack",n/a-image-missing,"T2,T3,T4","q:websearch MCP provider down HTTP 429 all sitting (Bing/DDG-lite/Mojeek bot-walled fallbacks) | q:Bing/DDG/Mojeek bare model 2608585888 (bot-walled junk/captcha) | q:CDX bosch domains filter original:*2608585888* -> archived metal-drill-bits-hss-co-din-338-202066-2608585888.html (status 200) | q:bosch-professional.com ocsmedia 2608585888 live GET 544x306+767x431 (placeholder slivers) | q:archived old-PDP prodimg images.bosch-pt.com.my ...800x800 jpg (live host dead, wayback im_ 404) | q:archived PDP prodimg ids x96635-56708/-57818 extracted",p:https://www.bosch-pt.com.my/my/en/products/2608585888 (404) | p:https://www.bosch-pt.com.my/my/en/products/metal-drill-bits-hss-co-din-338-202066-2608585888 (200 redirect -> https://www.bosch-pt.com.my/my/en/pro-stainless-steel-hss-co-twist-drill-bit-3089844-ocs-ac/?sku=2608585888) | p:https://www.bosch-pt.com.my/my/en/pro-stainless-steel-hss-co-twist-drill-bit-3089844-ocs-ac/?sku=2608585888 (200) | p:https://web.archive.org/web/2019id_/http://www.bosch-pt.com.my/my/en/metal-drill-bits-hss-co-din-338-202066-2608585888.html (200 (60921 B)),"Official live Bosch MY PDP confirmed this round (?sku=2608585888; title PRO Stainless Steel HSS-Co Twist Drill Bit; display_name 'Cobal' = HSS-Co cobalt, DIN 338). ALL image sources fail the bar: ocsmedia PNGs are placeholder slivers (~27x431 px, 10.8-18.4 KB <20 KB); media.bosch-pt.com.my blob 404; legacy images.bosch-pt.com.my connection refused; archived prodimg 800x800 jpgs never captured by Wayback (CDX EMPTY). Next pass: ask distributor for current Bosch MY eShop packshot or crop catalogue."
945,BOS-2608-608-T73,PCK,pending,"https://www.bosch-pt.com.my/my/en/ (accessories catalogue price list PDF, local cache bosch-acc-cat.pdf p.51)",,,,,Hook-and-loop disc C411 125 mm 8 hole G320 (2608608T73),"8-hole hook-and-loop sanding disc, grit 320",n/a-image-missing,"T2,T3,T4",q:websearch MCP provider down HTTP 429 all sitting (Bing/DDG-lite/Mojeek bot-walled fallbacks) | q:CDX bosch-pt/bosch-professional/bosch-diy filter *260860873* and *2608608t73* (none) | q:local official Bosch MY accessories price-list PDF p51 name/article alignment -> 2608608T73 = Hook-and-loop disc-C411-125 mm-8 hole-320P | q:live slug probes hook-and-loop-disc-c411-125-mm-8-hole-320p-2608608t73 on bosch-pt.com.my/.sg (404 x3),"p:https://www.bosch-pt.com.my/my/en/products/hook-and-loop-disc-c411-125-mm-8-hole-320p-2608608t73 (404) | p:https://www.bosch-pt.com.sg/sg/en/products/hook-and-loop-disc-c411-125-mm-8-hole-320p-2608608t73 (404) | p:local-cache:bosch-acc-cat.pdf p51 (offline; downloaded by earlier sitting, article verified in official text)","Article EXISTS officially: Bosch Malaysia accessories price list p51 lists 2608608T73 = Hook-and-loop disc C411 125 mm 8 hole G320 (display_name 'Velcro Disc 125MM Holes G320' matches; EAN 6949509218148; sold 50/100-pc boxes vs Ekoway 5PCS/PCK repack). No online OEM image found: no archived/live PDP, ocsmedia slivers only. Image still needed before candidate."
414,"HOS-FLE-GLO-24""",PCS,reject,,,,,,"Glotool Flexible Tube F1/2 x F12 x 24""",garden-hose flexible connector tube,n/a,"T2,T3","q:websearch MCP provider down HTTP 429 all sitting (Bing/DDG-lite/Mojeek bot-walled fallbacks) | q:https://www.glotool.com/ probe -> redirects glotool.co.za (South African firm, unrelated brand) | q:glotool.com.my / glotool.my / glotool.asia DNS getaddrinfo failed (NXDOMAIN) | q:Sonic Hardware (Sarawak) dealer site robots.txt + sitemap hunt (no sitemap; jmap endpoint 500) | q:Wayback CDX sonichardware.com.my filter glotool|flexible-tube|sds (0 hits)","p:https://glotool.com/ (200 final glotool.co.za) | p:https://www.sonichardware.com.my/robots.txt (200, no Sitemap line) | p:https://www.sonichardware.com.my/index.php?option=com_jmap&view=sitemap&format=xml (500) | p:cache:pg_glotool.html sonichardware.com.my pipe wrench (Glotool) page from earlier sitting (dealer-only evidence)","No official Glotool (MY) OEM site exists/findable: glotool.com is an unrelated SA company, no .com.my DNS, zero Wayback captures, only unarchived Sarawak retailer listings (authorisation unverifiable -> fails bar #2). Commodity accessory - honest reject per saturation rules."
957,BOS-2608-585-885,PCS,pending,https://www.bosch-pt.com.my/my/en/pro-stainless-steel-hss-co-twist-drill-bit-3089844-ocs-ac/?sku=2608585885,,,,,PRO Stainless Steel HSS-Co Twist Drill Bit 5.0 x 52 x 86 mm,"HSS-Co DIN 338 twist drill bit, 10-pc OEM pack",n/a-image-missing,"T2,T3,T4","q:websearch MCP provider down HTTP 429 all sitting (Bing/DDG-lite/Mojeek bot-walled fallbacks) | q:Bing/DDG/Mojeek bare model 2608585885 (bot-walled junk/captcha) | q:CDX bosch domains filter original:*2608585885* -> archived metal-drill-bits-hss-co-din-338-202066-2608585885.html (status 200) | q:bosch-professional.com ocsmedia 2608585885 live GET 544x306+767x431 (placeholder slivers) | q:archived old-PDP prodimg images.bosch-pt.com.my ...800x800 jpg (live host dead, wayback im_ 404) | q:archived old-PDP HTML fetch throttled 503; prodimg id not captured",p:https://www.bosch-pt.com.my/my/en/products/2608585885 (404) | p:https://www.bosch-pt.com.my/my/en/products/metal-drill-bits-hss-co-din-338-202066-2608585885 (200 redirect -> https://www.bosch-pt.com.my/my/en/pro-stainless-steel-hss-co-twist-drill-bit-3089844-ocs-ac/?sku=2608585885) | p:https://www.bosch-pt.com.my/my/en/pro-stainless-steel-hss-co-twist-drill-bit-3089844-ocs-ac/?sku=2608585885 (200) | p:https://web.archive.org/web/2019id_/http://www.bosch-pt.com.my/my/en/metal-drill-bits-hss-co-din-338-202066-2608585885.html (503 (Wayback throttle)),"Official live Bosch MY PDP confirmed this round (?sku=2608585885; title PRO Stainless Steel HSS-Co Twist Drill Bit; display_name 'Cobal' = HSS-Co cobalt, DIN 338). ALL image sources fail the bar: ocsmedia PNGs are placeholder slivers (~27x431 px, 10.8-18.4 KB <20 KB); media.bosch-pt.com.my blob 404; legacy images.bosch-pt.com.my connection refused; archived prodimg 800x800 jpgs never captured by Wayback (CDX EMPTY). Next pass: ask distributor for current Bosch MY eShop packshot or crop catalogue."
408,"HOS-FLE-GLO-18""",PCS,reject,,,,,,"Glotool Flexible Tube F1/2 x F12 x 18""",garden-hose flexible connector tube,n/a,"T2,T3","q:websearch MCP provider down HTTP 429 all sitting (Bing/DDG-lite/Mojeek bot-walled fallbacks) | q:https://www.glotool.com/ probe -> redirects glotool.co.za (South African firm, unrelated brand) | q:glotool.com.my / glotool.my / glotool.asia DNS getaddrinfo failed (NXDOMAIN) | q:Sonic Hardware (Sarawak) dealer site robots.txt + sitemap hunt (no sitemap; jmap endpoint 500) | q:Wayback CDX sonichardware.com.my filter glotool|flexible-tube|sds (0 hits)","p:https://glotool.com/ (200 final glotool.co.za) | p:https://www.sonichardware.com.my/robots.txt (200, no Sitemap line) | p:https://www.sonichardware.com.my/index.php?option=com_jmap&view=sitemap&format=xml (500) | p:cache:pg_glotool.html sonichardware.com.my pipe wrench (Glotool) page from earlier sitting (dealer-only evidence)","Same verdict as 24"" sibling: no official Glotool MY OEM presence findable this pass; retailer-only evidence insufficient -> reject."
956,BOS-2608-585-884,PCS,pending,https://www.bosch-pt.com.my/my/en/pro-stainless-steel-hss-co-twist-drill-bit-3089844-ocs-ac/?sku=2608585884,,,,,PRO Stainless Steel HSS-Co Twist Drill Bit 4.8 x 52 x 86 mm,"HSS-Co DIN 338 twist drill bit, 10-pc OEM pack",n/a-image-missing,"T2,T3,T4","q:websearch MCP provider down HTTP 429 all sitting (Bing/DDG-lite/Mojeek bot-walled fallbacks) | q:Bing/DDG/Mojeek bare model 2608585884 (bot-walled junk/captcha) | q:CDX bosch domains filter original:*2608585884* -> archived metal-drill-bits-hss-co-din-338-202066-2608585884.html (status 200) | q:bosch-professional.com ocsmedia 2608585884 live GET 544x306+767x431 (placeholder slivers) | q:archived old-PDP prodimg images.bosch-pt.com.my ...800x800 jpg (live host dead, wayback im_ 404) | q:archived PDP prodimg ids x96636-56708/-57818 extracted",p:https://www.bosch-pt.com.my/my/en/products/2608585884 (404) | p:https://www.bosch-pt.com.my/my/en/products/metal-drill-bits-hss-co-din-338-202066-2608585884 (200 redirect -> https://www.bosch-pt.com.my/my/en/pro-stainless-steel-hss-co-twist-drill-bit-3089844-ocs-ac/?sku=2608585884) | p:https://www.bosch-pt.com.my/my/en/pro-stainless-steel-hss-co-twist-drill-bit-3089844-ocs-ac/?sku=2608585884 (200) | p:https://web.archive.org/web/2019id_/http://www.bosch-pt.com.my/my/en/metal-drill-bits-hss-co-din-338-202066-2608585884.html (200 (60921 B)),"Official live Bosch MY PDP confirmed this round (?sku=2608585884; title PRO Stainless Steel HSS-Co Twist Drill Bit; display_name 'Cobal' = HSS-Co cobalt, DIN 338). ALL image sources fail the bar: ocsmedia PNGs are placeholder slivers (~27x431 px, 10.8-18.4 KB <20 KB); media.bosch-pt.com.my blob 404; legacy images.bosch-pt.com.my connection refused; archived prodimg 800x800 jpgs never captured by Wayback (CDX EMPTY). Next pass: ask distributor for current Bosch MY eShop packshot or crop catalogue."
952,DRI-SDS-GT02-08160,PCS,reject,,,,,,Glotool SDS-plus drill bit 8 x 160 mm (series GT-A02),SDS-plus masonry drill bit,n/a,"T2,T3","q:websearch MCP provider down HTTP 429 all sitting (Bing/DDG-lite/Mojeek bot-walled fallbacks) | q:https://www.glotool.com/ probe -> redirects glotool.co.za (South African firm, unrelated brand) | q:glotool.com.my / glotool.my / glotool.asia DNS getaddrinfo failed (NXDOMAIN) | q:Sonic Hardware (Sarawak) dealer site robots.txt + sitemap hunt (no sitemap; jmap endpoint 500) | q:Wayback CDX sonichardware.com.my filter glotool|flexible-tube|sds (0 hits)","p:https://glotool.com/ (200 final glotool.co.za) | p:https://www.sonichardware.com.my/robots.txt (200, no Sitemap line) | p:https://www.sonichardware.com.my/index.php?option=com_jmap&view=sitemap&format=xml (500) | p:cache:pg_glotool.html sonichardware.com.my pipe wrench (Glotool) page from earlier sitting (dealer-only evidence)","No official Glotool MY OEM site findable (glotool.com=unrelated .co.za firm, no .com.my DNS, CDX empty, Sonic dealer site has no sitemap/archives). GT-A02 series SDS bits are commodity accessories - honest reject."
946,DRI-SDS-GT02-07160,PCS,reject,,,,,,Glotool SDS-plus drill bit 7 x 160 mm (series GT-A02),SDS-plus masonry drill bit,n/a,"T2,T3","q:websearch MCP provider down HTTP 429 all sitting (Bing/DDG-lite/Mojeek bot-walled fallbacks) | q:https://www.glotool.com/ probe -> redirects glotool.co.za (South African firm, unrelated brand) | q:glotool.com.my / glotool.my / glotool.asia DNS getaddrinfo failed (NXDOMAIN) | q:Sonic Hardware (Sarawak) dealer site robots.txt + sitemap hunt (no sitemap; jmap endpoint 500) | q:Wayback CDX sonichardware.com.my filter glotool|flexible-tube|sds (0 hits)","p:https://glotool.com/ (200 final glotool.co.za) | p:https://www.sonichardware.com.my/robots.txt (200, no Sitemap line) | p:https://www.sonichardware.com.my/index.php?option=com_jmap&view=sitemap&format=xml (500) | p:cache:pg_glotool.html sonichardware.com.my pipe wrench (Glotool) page from earlier sitting (dealer-only evidence)","No official Glotool MY OEM site findable (glotool.com=unrelated .co.za firm, no .com.my DNS, CDX empty, Sonic dealer site has no sitemap/archives). GT-A02 series SDS bits are commodity accessories - honest reject."
