source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,model_exact,finish_exact,match_confidence,tiers_run,queries_log,pages_log,notes
258,NIP-ROOF-20L-T,UNIT,reject,,,,,,,,low,2,q:(parallel.ai websearch 429 entire sitting; direct crawls only),p:https://www.nipponpaint.com.my/product/roof-coating/ (200) | p:https://resourcehub.enipponpaint.com/my/filestore/0/9/0/0/8_bc133cea30385ce/80090_6d0b7b3035a2d62.pdf (200),"Lead closed out. Official TDS fetched+parsed THIS round: 'ROOF COATING ... Pack Size 5 Litres, 18 Litres'. No 20L pack and no tint-base SKU documented anywhere; line hero roof-coating.webp is a line shot, not this SKU alone. Bar#1 fails (20L/Tint Base contradicted by official TDS)."
45,TOI-TRP-WC-8826-S,SET,reject,,,,,,SRTWC8826-RL (official),,low,2,"q:bing:""SRTWC8826-S"" (localized junk SERP)",p:https://www.sorento.com.my/sorento-bathroom/water-closet/close-coupled-wc/srtwc8826-detail (200) | p:https://www.sorento.com.my/sorento-bathroom/water-closet/close-coupled-wc/srtwc8826-s-detail (404),"Official PDP reopened THIS round: H1 'CLOSE-COUPLED: SRTWC8826-RL'; only SKUs on page are SRTWC8826-RL / SRTWC8826-RL-01; img SRTWC8826.jpg belongs to -RL sibling. 'S-Trap: Bottom Outlet 250mm' is outlet-config text, not an -S SKU. No official SRTWC8826-S anywhere -> suffix variance unresolvable."
161,BOS-AJS37PC,UNIT,reject,,,,,,AJS37PC (not found on OEM site),,low,2,q:bing:adelino pump jet 0.5HP PC self-priming (junk) | q:ddg-html/lite:blocked | q:mojeek:blocked,p:http://adelinopump.com/fr-fr/surface_pump/394.html (200) | p:http://adelinopump.com/fr-fr/surface_pump/ (200) | p:http://adelinopump.com/fr-fr/surface_pump/361.html (200) | p:http://adelinopump.com/fr-fr/surface_pump/362.html (200) | p:http://adelinopump.com/fr-fr/surface_pump/364.html (200) | p:http://adelinopump.com/fr-fr/surface_pump/365.html (200) | p:http://adelinopump.com/fr-fr/surface_pump/366.html (200) | p:http://adelinopump.com/fr-fr/surface_pump/367.html (200) | p:http://adelinopump.com/fr-fr/surface_pump/391.html (200) | p:http://adelinopump.com/fr-fr/surface_pump/393.html (200) | p:http://adelinopump.com/fr-fr/surface_pump/395.html (200) | p:http://adelinopump.com/fr-fr/surface_pump/410.html (200) | p:http://adelinopump.com/fr-fr/surface_pump/411.html (200) | p:http://adelinopump.com/fr-fr/surface_pump/412.html (200) | p:http://adelinopump.com/fr-fr/surface_pump/413.html (200) | p:http://adelinopump.com/fr-fr/surface_pump/414.html (200) | p:http://adelinopump.com/fr-fr/surface_pump/415.html (200) | p:http://adelinopump.com/fr-fr/surface_pump/416.html (200) | p:http://adelinopump.com/fr-fr/surface_pump/417.html (200) | p:http://adelinopump.com/fr-fr/surface_pump/396.html (404),Prior lead 394.html is an AHI multistage pump page (not jet). Full sweep of every surface_pump detail page on OEM site: ZERO 'AJS' model tokens anywhere; jet-pump series pages publish no per-model codes matching AJS37PC. Item model unverifiable against OEM -> reject honestly.
123,LOC-YALE-Y120B-50-KA5,SET,pending,,,,,,Y120B-50-KA5 (unverified officially),,low,2,"q:""Y120B"" padlock KA5 keyed alike (bing->localized junk; ddg/mojeek bot-walled; parallel.ai 429)","p:https://www.yalehome.com/my/en/products/padlocks/outdoor-environment/y120b-series (200) | p:https://www.yalehome.com/my/en/search?query=Y120B (200, no KA5 tokens) | p:https://www.yalehome.com/global/en/products/padlocks/outdoor-environment/y120b-series (404) | p:https://www.yalehome.com/id/en/products/padlocks/outdoor-environment/y120b-series (200, no KA5) | p:https://www.yalehome.com/my/en/products/padlocks/outdoor-environment/y120b-series/y120b-50-ka5.html (404)","Family page reopened THIS round: still family-hero only, KA5 keyed-alike code never printed as official SKU. Regional probes (global/au/nz/sg/th/vn/ph) 404 or KA5-less. Needs authorised-MY-dealer page quoting KA5; search engines unavailable this sitting -> parked."
235,STA-PLA-STEL630,UNIT,reject,,,,,,STEL630-XD,,low,2,q:bing:STEL630 stanley planer 82mm (junk) | q:ddg/mojeek:blocked,p:https://my.stanleytools.global/product/stel630-xd/750w-9mm-planer (200) | p:https://sg.stanleytools.global/product/stel630-xd/750w-9mm-planer (200),"Official MY + SG PDPs reopened THIS round: both titled '750W 9mm Planer', raw HTML contains NO '82 mm' spec anywhere (specs JS-rendered, only depth-of-cut/chamfer copy present). Display_name's 82MM cannot be quoted from any official source; prior 9mm-vs-82MM conflict unresolved -> reject rather than force."
14,TAP-SAN-SWP-RG-304-3905,PCS,reject,,,,,,SWP-RG-304-3905 (absent),,low,2,"q:bing:""SWP-RG-304-3905"" saniware (junk)",p:https://saniware.com/product-category/faucet/saniware-premier/ (200) | p:https://saniware.com/product-sitemap.xml (200; 802 product URLs parsed),"Closure evidence: full official product-sitemap.xml grepped THIS round -> swp-rg=0 hits, '3905'=0 hits, '3915'=0 hits; Premier category lists SS-finish siblings only. Model does not exist in official catalogue (catalogue_only_not_on_site confirmed) -> reject."
156,TAP-SAN-SWP-B-304-3915,PCS,reject,,,,,,SWP-B-304-3915 (absent),,low,2,,p:https://saniware.com/product-sitemap.xml (200; 802 product URLs parsed) | p:https://saniware.com/product-category/faucet/saniware-premier/ (200),Same sitemap evidence as row 14: '3915'=0 hits across all 802 official product URLs; black-finish Premier wall tap absent from official catalogue. Prior reject upheld with stronger proof.
223,PSN-TK-CS200C-EX,PCS,candidate,http://web.archive.org/web/20260511115005/https://www.panasonic.com/my/consumer/kitchen-appliance/water/cartridge/tk-cs200c-ex.html,http://web.archive.org/web/20250423223154im_/https://www.panasonic.com/content/dam/pim/my/en/TK/TK-CS2/TK-CS200C/ast-1885802.png,613,460,116788,TK-CS200C-EX,,high,2,q:(live panasonic.com/my bot-walled 403 both passes; wayback route used),p:https://www.panasonic.com/my/consumer/kitchen-appliance/water/cartridge/tk-cs200c-ex.html (403 live) | p:http://archive.org/wayback/available?url=panasonic.com/my/consumer/kitchen-appliance/water/cartridge/tk-cs200c-ex.html (200) | p:http://web.archive.org/web/20260511115005/https://www.panasonic.com/my/consumer/kitchen-appliance/water/cartridge/tk-cs200c-ex.html (200) | p:http://web.archive.org/web/20250423223153im_/https://www.panasonic.com/content/dam/pim/my/en/TK/TK-CS2/TK-CS200C/ast-1885804.jpg (200 image/jpeg 2400836B 3750x2000 lifestyle-with-bubbles) | p:http://web.archive.org/web/20250423223154im_/https://www.panasonic.com/content/dam/pim/my/en/TK/TK-CS2/TK-CS200C/ast-1885802.png (200 image/png 116788B),"Archived OFFICIAL panasonic.com/my PDP opened THIS round: <title> 'Cartridge Replacement Cartridge TK-CS200C - Panasonic Malaysia', H1 'TK-CS200C-EX Replacement Cartridge for Water Purifier' -> model string quoted from page HTML. og:image ast-1885802.png fetched via web.archive.org im_: HTTP 200 image/png 116788 bytes >=20000; visually verified THIS round: Panasonic water cartridge ALONE on white (no group shot). ast-1885804.jpg rejected as banner-style. Tier-4 archive of official OEM page since live host 403s bots."
278,DC-20V-SETS-XB,SET,reject,,,,,,DCZC0424Z+DCPB488Z (unmapped),,low,2,"q:bing:dongcheng ""DCZC0424Z"" OR ""DCPB488Z"" (localized junk) | q:ddg/mojeek:blocked",p:http://www.dongchengmalaysia.com/ (ERR conn-reset host dead) | p:https://www.dongchengtool.com/ (200) | p:https://www.dongchengtool.com/product?cid=1478757267868041217 (200) | p:https://www.dongchengtool.com/product?cid=1478757270158131201 (200) | p:https://www.dongchengtool.com/product?cid=1478757331961200641 (200) | p:https://www.dongchengtool.com/product?cid=1478757361845616642 (200) | p:https://www.dongchengtool.com/product?cid=1478945818375176193 (200) | p:https://www.dongchengtool.com/product?cid=1494555823736426497 (200) | p:https://www.dongchengtool.com/search?keyword=DCZC0424Z (404) | p:https://www.dongchengtool.com/product/search?keyword=DCZC0424Z (404) | p:https://www.dongchengtool.com/sitemap.xml (404),"dongchengmalaysia.com confirmed dead (connection reset). Global OEM dongchengtool.com alive (200) but Nuxt SPA: SSR category pages carry only featured items, zero DCZC0424Z/DCPB488Z tokens; no search endpoint (404s), no sitemap. Combo codes appear distributor-assembled (XB set) with no OEM PDP. Downgrade pending->reject: no official trace findable with engines down; revisit if dongchengtool JS API discovered later."
279,DC-20V-XA,SET,reject,,,,,,DCZC22Z+DCJZ2060IZ (unmapped),,low,2,"q:bing:dongcheng ""DCZC22Z"" OR ""DCJZ2060IZ"" (localized junk) | q:ddg/mojeek:blocked","p:https://www.dongchengtool.com/ (200) | p:https://www.dongchengtool.com/product?cid=1494555823736426497 (200) | p:https://www.dongchengtool.com/product?keyword=DCZC0424Z (200, 0 details) | p:https://www.dongchengtool.com/sitemap.xml (404)",Same evidence as row 278: OEM global site has no trace of DCZC22Z / DCJZ2060IZ combo (XA set); MY distributor host dead; search engines unavailable. Reject: no official page/image exists to satisfy THE BAR.
