source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,model_exact,finish_exact,match_confidence,tiers_run,queries_log,pages_log,notes
7555,TAP-SKC-UNC-14MM,SET,pending,,,0,0,0,,,low,1,"q:""SKC"" hand tap UNC Malaysia",p:http://www.skc-taps.com/english/03/index.html (200) | p:http://taikuang.com.my/products/cutting-tools/hss-taps-dies/hss-hand-taps/hss-unc-hand-taps/skc-hand-taps-unc-8-detail.html (200),Official OEM page of SKC Thread Tool Mfg (tap maker) opened this round for UNC hand taps; page size table quotes 9/16 among UNC sizes; only official image is one shared series photo _image/unc.jpg covering ALL UNC sizes -> FAMILY-HERO risk vs per-size SKU so parked; MY distributor Tai Kuang page photo skc24.png also generic; unc.jpg not byte-checked (host stalled)
6756,BLI-HSS-HOL-SAW-60MM,PCS,pending,,,0,0,0,,,low,1,q:Navato hole saw cutter Malaysia [fallback engines unusable] | q:Navato hole saw cutter [no results],,websearch provider HTTP 429 all sitting; fallback engines unusable; no lead; T1 incomplete - park
7145,MAC-OIL-RUB-5A,SET,pending,,,0,0,0,,,low,1,q:Orkit rubber oil ring kit [no usable results],,no official Orkit page found; 5A kit variant unresolved; search provider outage - park
7146,MAC-OIL-RUB-5C,SET,pending,,,0,0,0,,,low,1,q:Orkit rubber oil ring kit [no usable results],,no official Orkit page found; 5C kit variant unresolved; search provider outage - park
7626,GUN-MII-6159#,PCS,pending,,,0,0,0,,,low,1,q:MII spray waxing gun 6159 [irrelevant hits only],,brand MII unconfirmed for waxing/spray gun model 6159 (hits were insurance institute / Nintendo); park
7160,CUT-KNIFE,PCS,reject,,,0,0,0,,,low,1,,,Unbranded commodity knife (Foochow-pattern cleaver); no brand/model in item code; no official PDP possible - honest reject
5110,TOI-ACC-URI,SET,reject,,,0,0,0,,,low,1,,,Generic category-level urinal accessory set; unbranded commodity - honest reject
7189,AIR-CHU-E-111-3,PCS,reject,,,0,0,0,,,low,1,,,Unbranded commodity air accessory; quasi-model E-111 not attributable to any OEM - honest reject
5721,IND-CAS-NYL-75MM,SET,reject,,,0,0,0,,,low,1,,,Unbranded commodity caster wheel - honest reject
7584,TAP-SKC-UNC-12MM,SET,pending,,,0,0,0,,,low,1,"q:""SKC"" hand tap UNC Malaysia",p:http://www.skc-taps.com/english/03/index.html (200) | p:http://taikuang.com.my/products/cutting-tools/hss-taps-dies/hss-hand-taps/hss-unc-hand-taps/skc-hand-taps-unc-8-detail.html (200),Official OEM page of SKC Thread Tool Mfg (tap maker) opened this round for UNC hand taps; page size table quotes 1/2 among UNC sizes; only official image is one shared series photo _image/unc.jpg covering ALL UNC sizes -> FAMILY-HERO risk vs per-size SKU so parked; MY distributor Tai Kuang page photo skc24.png also generic; unc.jpg not byte-checked (host stalled)
7615,X-BOS-2608-579-507,PCS,candidate,https://www.machinerytools.com.my/index.php?ws=showproducts&products_id=3638892,https://cdn1.npcdn.net/image/16276359550d440f716344f954b2508f1eb7867ec4.jpg?md5id=29ebacd5f103d32a0f2fda45fccd4a5c&new_width=1000&new_height=1000&w=1526956020,0,0,418603,yes,yes,medium,1,q:2608579507 Bosch drill bit | q:Bosch Expert Ceramics drill bit 7 x 90 mm CYL-9,p:https://www.machinerytools.com.my/index.php?ws=showproducts&products_id=3638892 (200),Sui U Machinery & Tools (M) Sdn Bhd KL authorised Bosch distributor PDP opened via webfetch this round; HTML title quotes BOSCH 2608579507 Hex-9 Hard Ceramic Drill Bit (7mm) matching display Ceramic Expert Drill Bit 7X90MM; image byte check THIS round HTTP 200 / 418603 bytes .jpg; og:image shared across sibling variants 2608579507/508/509/510 (7/8/10/12mm) on same listing so packaging not size-isolated; px dims unrecorded
5099,HHD-CIS-HIGH,SET,pending,,,0,0,0,,,low,1,q:Weser plastic high level cistern [no results],,Weser sanitaryware exists as brand but no cistern PDP found this pass; provider outage - park
