source_position,item_code,uom,display_name,category,detected_brand,detected_model,action,start_tier,tried,prior_decision,prior_page,prior_image,prior_reason,ledger_state
479,NIP-QGL-15L-P,DRUM,15L Nippon Q-glo Pastel Base,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,Fail-closed: evidence insufficient for VERIFIED. Official page confirms family but not exact 15L Pastel Base package/image.,open
910,NIP-SEA-5400-20L,DRUM,18L Nippon Vinlex 5400 Wall Sealer,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
980,BOS-0601-1A0-3L0,UNIT,Gsb 600 Impact Drill,Power Tools,Bosch,,reopen,2,,pending,,,Fail-closed: evidence insufficient for VERIFIED. NOT_PRESERVED,open
792,TAP-SAN-SWP-B-3202,PCS,Basin Pillar Cold Tap SWP-SS-304-3202,Bathroom,,SWP-SS-304-3202,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
604,NIP-SAT-GLO-5L-A,CAN,5L Nippon Satin Glo Accent Base,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
573,NIP-SAT-GLO-5L-D,CAN,5L Nippon Satin Glo Deep Base,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
576,NIP-VIN-EAS-5L-T,CAN,5L Nippon Vinilex Easywash Tint Base,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
304,COC-BAS-SRTWT7445,PCS,Sorento Basin Cold Tap - SRTWT7445,Bathroom,Sorento,SRTWT7445,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
588,NIP-UND-9000-5L,CAN,5L Nippon 9000 Undercoat White,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
609,NIP-QGL-5L-D,CAN,5L Nippon Q-glo Deep Base,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
636,NIP-SEA-5100-05L,CAN,5L Nippon Vinilex 5100 Wall Sealer,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
895,COC-SOR-SRTWT2203,UNIT,Sorento Pillar Mounted Kitchen,Plumbing,Sorento,TAP-SRTWT2203,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
327,BAS-SAN-WB-206,PCS,Saniware Wall Hung Basin-above Counter Mounting (440X355X170MM),Bathroom,Saniware,440X355X170MM,reopen,2,,pending,,,Fail-closed: evidence insufficient for VERIFIED. Direct image URL not exposed in preserved extraction.,open
