source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,model_exact,finish_exact,match_confidence,tiers_run,queries_log,pages_log,notes
540,HOL-TUB-T8-G13,PCK,pending,,,,,,,,low,2,"q:""MQTL1119"" MGM LED panel light (websearch HTTP 429) | q:Buteline ""female swivel elbow"" 20mm 25mm PE fitting (websearch HTTP 429) | q:""Glotool"" tape Malaysia hardware brand (websearch HTTP 429) | q:Bosch 2608608 hook and loop sanding sheet 125 mm P500 8 holes (websearch HTTP 429) | q:Samurai spray paint ""81"" metallic black aerosol (websearch HTTP 429) | q:Taicon G13 lamp holder LED tube Malaysia (websearch HTTP 429) | q:taicon g13 tube holder malaysia (DuckDuckGo HTML HTTP 202 bot-challenge) | q:Taicon G13 LED tube holder Malaysia (Bing scrape returned junk/canned YouTube results) | q:Taicon G13 LED tube holder Malaysia (Mojeek captcha)",p:http://www.taicon.com.my/ (DNS NXDOMAIN) | p:https://www.kiongjounghardware.com (brand index seen in shared cache: TAICON (8)),taicon.com.my does not exist. Only lead: kiongjounghardware.com (Sibu-area retailer) lists TAICON brand with 8 products - retailer status/authorisation unverified and product pages not yet opened; NOT bar-eligible without authorisation evidence. All websearch calls HTTP 429 this entire pass (provider outage); re-run T1/T3 next sitting.
720,"FAN-BLA-LWD-12""",PCS,pending,,,,,,,,low,2,q:Taicon fan blade 12 inch 0055 (not reached - websearch HTTP 429) | q:taicon g13 tube holder malaysia (DuckDuckGo HTML HTTP 202 bot-challenge),p:http://www.taicon.com.my/ (DNS NXDOMAIN),Taicon has no resolvable official domain. Spare-part fan blade (0055) unlikely to have own PDP even on distributor shops. Lead carried over: kiongjounghardware.com TAICON (8 products) - open their Taicon listing next pass. websearch HTTP 429 whole pass.
684,ELE-D/L-MGM-MQTL1119-RD,PCS,pending,,,,,,"MQTL1119-Y/15W (from display_name only, unverified)",RD = round 6in; 6500K daylight (unverified),low,2,"q:""MQTL1119"" MGM LED panel light (websearch HTTP 429 x2)","p:https://www.mgm.com.my/ (DNS NXDOMAIN) | p:https://www.mgmlighting.com/ (resolves 15.197.148.33, not probed further)","mgm.com.my does not exist; mgmlighting.com looks parked (AWS edge IP). Model string MQTL1119-Y/15W never seen on any page this pass (search provider 429 all pass). Next: retry websearch T1, try Chinese name if MGM is a PRC OEM."
597,"FIT-BUT-ELB-FEM-SWI-25MMX3/4""",PCS,pending,,,,,,"EF7C (Buteline PE Female Swivel Elbow, 3/4"" BSPT x 25mm)",black engineering polymer,"medium (code verified, no image)","2,4","q:""MQTL1119"" MGM LED panel light (websearch HTTP 429) | q:Buteline ""female swivel elbow"" 20mm 25mm PE fitting (websearch HTTP 429) | q:""Glotool"" tape Malaysia hardware brand (websearch HTTP 429) | q:Bosch 2608608 hook and loop sanding sheet 125 mm P500 8 holes (websearch HTTP 429) | q:Samurai spray paint ""81"" metallic black aerosol (websearch HTTP 429) | q:site probe buteline.com/nz/buteline-pb/buteline-pb-fittings (HTTP 404)",p:https://www.buteline.com/ (200) | p:https://www.buteline.com/my (200) | p:https://www.buteline.com/my/buteline-pe/buteline-pe-fittings (200) | p:https://www.buteline.com/my/faqs/what-fittings-are-available-in-the-malaysian-buteline-pe-range (200) | p:https://www.buteline.com/nz (200) | p:https://www.buteline.com/nz/pexline/pexline-fittings (200) | p:https://www.buteline.com/asset/10878.pdf (200),"PROGRESS: exact part code EF7C confirmed in official Buteline MALAYSIA PRODUCT WALLCHART PDF (/asset/10878.pdf): 'FEMALE SWIVEL ELBOWS - EF7C 3/4"" BSPT x 25mm' under the PE (20/25/32mm) section. But buteline.com/my has NO per-product PDPs or fitting photos (only generic category art); NZ/Pexline/Gasline ranges use different code families so no cross-market image. Wallchart drawings are embedded in PDF with no hostable per-SKU image URL. Next pass: authorised-MY-distributor shop pages for 'Buteline EF7C', or crop wallchart drawing offline."
552,"FIT-BUT-STR-HOS-20MMX1/2""",PCS,pending,,,,,,"SFL6B (Buteline PE Straight Hose Plate, 1/2"" BSPT x 20mm)",black engineering polymer,"medium (code verified, no image)","2,4","q:""MQTL1119"" MGM LED panel light (websearch HTTP 429) | q:Buteline ""female swivel elbow"" 20mm 25mm PE fitting (websearch HTTP 429) | q:""Glotool"" tape Malaysia hardware brand (websearch HTTP 429) | q:Bosch 2608608 hook and loop sanding sheet 125 mm P500 8 holes (websearch HTTP 429) | q:Samurai spray paint ""81"" metallic black aerosol (websearch HTTP 429) | q:site probe buteline.com/nz/buteline-pb/buteline-pb-fittings (HTTP 404)",p:https://www.buteline.com/ (200) | p:https://www.buteline.com/my (200) | p:https://www.buteline.com/my/buteline-pe/buteline-pe-fittings (200) | p:https://www.buteline.com/my/faqs/what-fittings-are-available-in-the-malaysian-buteline-pe-range (200) | p:https://www.buteline.com/nz (200) | p:https://www.buteline.com/nz/pexline/pexline-fittings (200) | p:https://www.buteline.com/asset/10878.pdf (200),"PROGRESS: exact part code SFL6B confirmed in official Buteline Malaysia Product Wallchart PDF (/asset/10878.pdf): 'STRAIGHT HOSE PLATE - SFL6B 1/2"" BSPT x 20mm' (PE section) - resolves the prior 'exact configuration missing' blocker at code level. Still no hostable per-SKU image anywhere on buteline.com (no PDPs on MY site). Next: authorised distributor pages for 'Buteline SFL6B'."
962,ADH-TAP-CLO-RED,PCS,reject,,,,,,,red cloth tape 48mm x 7yd,none,2,"q:""MQTL1119"" MGM LED panel light (websearch HTTP 429) | q:Buteline ""female swivel elbow"" 20mm 25mm PE fitting (websearch HTTP 429) | q:""Glotool"" tape Malaysia hardware brand (websearch HTTP 429) | q:Bosch 2608608 hook and loop sanding sheet 125 mm P500 8 holes (websearch HTTP 429) | q:Samurai spray paint ""81"" metallic black aerosol (websearch HTTP 429)",p:http://www.glotool.com/ (200 -> redirects to glotool.co.za),"glotool.com resolves to GloTool SOUTH AFRICA (glotool.co.za - hardware/tools/decor, contact hello@glotool.co.za), an unrelated business, not the Malaysian tape brand. No MY OEM/distributor page exists; brand appears to be a local import label on generic tape. Honest reject: no official source can satisfy the bar."
680,BOS-2608-608-T75,PCK,pending,,,,,,"Bosch order-code family 2608608xxx suspected (NOT verified; detected_model col '5PCS/PCK' is pack qty, not a model)","125mm hook-and-loop disc, 8 holes, grit P500, 5-pack",low,2,"q:Bosch 2608608 hook and loop sanding sheet 125 mm P500 8 holes (websearch HTTP 429) | q:Bosch ""2608608"" hook and loop sanding sheet 125 mm (retry, HTTP 429)",,"Item code implies Bosch 10-digit accessory code starting 2608608 (sanding-disc range) but exact suffix unproven; never guess URLs. websearch provider HTTP 429 the whole pass and Bing/DDG/Mojeek scrapes all blocked, so no Bosch PDP opened. Next pass: T1 retry then bosch-pt.com.my / bosch-diy.com accessories finder for 125mm 8-hole P500 5-pack."
692,"FIT-BUT-ELB-FEM-SWI-1/2""BSPTX20",PCS,pending,,,,,,"EF6B (Buteline PE Female Swivel Elbow, 1/2"" BSPT x 20mm)",black engineering polymer,"medium (code verified, no image)","2,4","q:""MQTL1119"" MGM LED panel light (websearch HTTP 429) | q:Buteline ""female swivel elbow"" 20mm 25mm PE fitting (websearch HTTP 429) | q:""Glotool"" tape Malaysia hardware brand (websearch HTTP 429) | q:Bosch 2608608 hook and loop sanding sheet 125 mm P500 8 holes (websearch HTTP 429) | q:Samurai spray paint ""81"" metallic black aerosol (websearch HTTP 429) | q:site probe buteline.com/nz/buteline-pb/buteline-pb-fittings (HTTP 404)",p:https://www.buteline.com/ (200) | p:https://www.buteline.com/my (200) | p:https://www.buteline.com/my/buteline-pe/buteline-pe-fittings (200) | p:https://www.buteline.com/my/faqs/what-fittings-are-available-in-the-malaysian-buteline-pe-range (200) | p:https://www.buteline.com/nz (200) | p:https://www.buteline.com/nz/pexline/pexline-fittings (200) | p:https://www.buteline.com/asset/10878.pdf (200),"PROGRESS: exact part code EF6B confirmed in official Buteline Malaysia Product Wallchart PDF (/asset/10878.pdf): 'FEMALE SWIVEL ELBOWS - EF6B 1/2"" BSPT x 20mm' (PE section). No hostable per-SKU image exists on buteline.com (MY site has no PDP imagery). Next: authorised distributor pages for 'Buteline EF6B'."
922,ADH-TAP-WAR50,ROLL,reject,,,,,,,warning tape 50mm x 50m,none,2,"q:""MQTL1119"" MGM LED panel light (websearch HTTP 429) | q:Buteline ""female swivel elbow"" 20mm 25mm PE fitting (websearch HTTP 429) | q:""Glotool"" tape Malaysia hardware brand (websearch HTTP 429) | q:Bosch 2608608 hook and loop sanding sheet 125 mm P500 8 holes (websearch HTTP 429) | q:Samurai spray paint ""81"" metallic black aerosol (websearch HTTP 429)",p:http://www.glotool.com/ (200 -> redirects to glotool.co.za),"glotool.com resolves to GloTool SOUTH AFRICA (glotool.co.za - hardware/tools/decor, contact hello@glotool.co.za), an unrelated business, not the Malaysian tape brand. No MY OEM/distributor page exists; brand appears to be a local import label on generic tape. Honest reject: no official source can satisfy the bar."
966,IND-CEM-GREY-20KG,BAG,pending,,,,,,,"grey adhesive cement, 20kg bag",low,2,q:Topfit adhesive cement grey 20kg Malaysia (not reached - websearch HTTP 429),p:https://www.topfit.com.my/ (DNS NXDOMAIN),topfit.com.my does not exist; no official domain located this pass because websearch was HTTP 429 throughout (Bing/DDG/Mojeek scrapes also blocked). TOPFIT is a known Malaysian tile-adhesive label - do NOT reject yet; retry T1 fresh next sitting before considering honest reject.
