source_position,item_code,uom,display_name,category,detected_brand,detected_model,action,start_tier,tried,prior_decision,prior_page,prior_image,prior_reason,ledger_state
755,"NIE-HAN-L-3/4""",PCS,Nietz Dr L Hdl (CRV)50068718 18IN,Hand Tools,Nietz,3/4IN,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
357,MIX-KHI-SM220,SET,Khind Stand Mixer (white),Bathroom,Khind,SM220,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
374,SHO-SOR-SRTSS5660,PCS,Sorento ABS Hand Shower 3FUNCTIONS SRTSS5660,Bathroom,Sorento,3FUNCTIONS,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
377,SHO-SOR-SRTSH22914-GM,PCS,Sorento Rain Shower Head,Bathroom,Sorento,SRTSH22914-GM,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
384,TOW-SAN-SWP-BF-3714,PCS,Saniware Premier Double Tower BAR (630X148X48MM),Bathroom,Saniware,630X148X48MM,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
493,TOO-COM-SET-GT832,SET,Glotool Combination Wrench Set 14 X 8-32MM,Hand Tools,Glotool,8-32MM,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
381,TAP-SAN-SWP-SS-304-3937-SS,PCS,Saniware Premier Kitchen Pillar Sink Tap-ss,Kitchen & Sinks,Saniware,SWP-SS-304-3937,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
375,BID-SOR-SRT93-SS,PCS,Sorento Hand Bidet 1.2M Flex Hose,Bathroom,Sorento,SUS304,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
842,TAR-SHT-GT2-15X25,SHT,Glotool PE Tarp Sheet - 15 X 25 (GT02),Building Materials,Glotool,GT02,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
416,GRA-SAN-SWFG-SS304-6605-GM,PCS,Saniware Floor Grating (150X150MM)-GUN Metal,Bathroom,Saniware,150X150MM,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
386,BLE-KHI-BL1220,SET,Khind Blender 1.2L (1J1M) (winter Grey),Home Appliances,Khind,1J1M,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
