source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,model_exact,finish_exact,match_confidence,tiers_run,queries_log,pages_log,notes
288,TOO-BOS-BAG-101,PCS,reject,,,,,,,,,2,"q:""Bossman"" ""BAG-101"" angle grinder (search-api 429) | q:Bossman power tools Malaysia official angle grinder BAG-101 20V (search-api 429) | q:""Bossman"" ""BAG-101"" angle grinder Malaysia",,"T2 normalisation (BAG-101/BAG101) returns only Malaysian dealer listings: Cheng Huat Hardware, Sui U Machinery, Jun Seng, Lazada/Shopee/Carousell. No manufacturer/OEM site exists for Bossman power tools; consistent with prior dealer_only_no_oem finding."
297,ELE-CAB-ZI-C70763G-ROLL,ROLL,reject,,,,,,,,,2,"q:""Zi"" PVC flexible cord ""70/076"" grey Malaysia (search-api 429) | q:PVC flexible cord ""70/0.076"" OR ""70/076"" 3 core grey wire brand Malaysia",,"70/0.076 x 3C grey flexible cord is a commodity made/sold under many unrelated house brands (SMJ, Million, Magnum, Rapid-Tech, ASTRAWIRE, Sayang, FB, Q-LITE); no manufacturer named 'Zi' found. Unbranded commodity - no OEM page possible."
706,SWI-SOC-BS-13A,PCS,reject,,,,,,TC-13SS (unverified),white (unverified),,2,"q:Taicon 13A switched socket Malaysia | q:Taicon TC-3300 plug top 13A SIRIM (search-api 429 x2) | q:""Taicon"" switch socket ""TC-13SS"" OR ""taicon.com.my"" OR ""Taicon Industries""",p:http://taicon.com.my (transport-error) | p:https://www.taicon.com.my (transport-error),Only taicon.com exists and it is a Taiwanese aluminium-electrolytic-capacitor maker - wrong brand. Malaysian TAICON switch/socket brand has no findable manufacturer site; kiongjounghardware/shopee are dealers only. Cannot meet source bar.
639,ELE-TUB-LED-CAS-1200MM,PCS,reject,,,,,,,,,2,q:T8 LED tube light casing holder 4ft empty brand Malaysia supplier official product page,,"Item is unbranded ('4FT T8 LED Empty Casing', no detected brand/model). All hits are dealer listings (Wesotech, Brilliant Electrical, Samajaya/Avance, Mesal, Perkunas). No OEM exists to source an official image from - honest reject."
985,ADH-TAP-MAS-36MM,PCS,reject,,,,,,,,,2,"q:""Glotool"" masking tape",,"Glotool masking tape sold only by Malaysian dealers (Wang Thong Hardware wthardware.my, Sonic Hardware Sarawak, Shopee SG/MY); glotool.co.za is an unrelated South African hardware retailer. No manufacturer/OEM site for the tape brand."
876,ELE-CAB-SPEAKER-COSTA-30/0.18MMX2C-MTR,MTR,pending,,,,,,30/0.18 x 2C speaker cable,pink/blue,,"2,4","q:""Fajar"" speaker cable wire ""30/0.18"" pink Malaysia",p:https://fajarcables.com.my (200) | p:https://fajarcables.com.my/our-products-other/ (200) | p:https://fajarcables.com.my/wp-content/uploads/2020/10/24.PVC-Speaker-Cable.pdf (download-timeout),"STRONG LEAD PARKED: Fajar Cables Sdn Bhd official manufacturer site confirmed (fajarcables.com.my, Cheras Selangor); its 'Other' products page links the OFFICIAL spec-sheet PDF '24.PVC-Speaker-Cable.pdf'. G&H dealer page confirms variant '30/0.18 X 2c Speaker Cable (Pink/Blue)' exists under Fajar Twin Flat Cable. PDF host (shared-IP wordpress) timed out on download this round - retry T4 next sitting: open PDF, quote 30/0.18 x 2C from text, crop/cite product photo."
974,ADH-TAP-MAS-48MM,PCS,reject,,,,,,,,,2,"q:""Glotool"" masking tape",,"Same evidence base as 36mm row: dealer listings only (Wang Thong, Sonic Hardware, marketplaces); no OEM site for Glotool tapes."
999,CIMA-DL-L/199Y/RND/18W/SEN/840,SET,candidate,https://www.cimawholesale.com/led-downlight/cielo-gen-iii-199y-f-12w-18w-round-square-led-downlight-2-year-warranty,https://cimawholesale.com/image/cimawholesale/image/data/all_product_images/product-2214/DL-L-199-CIE%20(1).jpg,1024,768,177404,DL-L/199/CIE (MODEL 199Y),"round, cool white 840",medium,2,"q:""Ceilo III"" downlight 18W sensor Malaysia",p:https://www.cimawholesale.com/led-downlight/cielo-gen-iii-199y-f-12w-18w-round-square-led-downlight-2-year-warranty (200),"Cima Wholesale Sdn Bhd (Malaysian electrical wholesaler, Kajang; item-code prefix CIMA matches this supplier) PDP opened this round: Product SKU 'DL-L/199/CIE', BRAND: Cielo, MODEL: 199Y/199F, WATTAGE 12W/18W, COLOR incl 'Cool White 840', ROUND/SQUARE - matches display_name (rnd/840). Primary product photo DL-L-199-CIE(1).jpg byte-checked 200 image/jpeg 177404B. Caveats: Cielo brand-owner site not found so authorised-distributor status not explicitly stated; page spans 199Y/F 12/18W variants (single-unit shot, size/wattage not visually distinguishable); '/SEN/' token not explained on page. Confidence medium."
721,FIT-BUT-ELB-20X20MM,PCS,candidate,https://www.buteline.com/my/buteline-pe/buteline-pe-fittings/equal-elbows,https://www.buteline.com/asset/10907/w1200-h1200-q90.jpeg,510,320,36581,EE66,black PE,high,"2,3",q:Buteline equal tee 25mm PE fitting (search-api 429) | q:Buteline female swivel elbow 25mm x 1/2 (search-api 429),p:https://www.buteline.com (200) | p:https://www.buteline.com/my (200) | p:https://www.buteline.com/my/buteline-pe/buteline-pe-fittings (200) | p:https://www.buteline.com/my/buteline-pe/buteline-pe-fittings/equal-elbows (200),"Official Buteline Malaysia site (Buteline Marketing Sdn Bhd, KL) - manufacturer-owned. Equal Elbows PDP quotes in page text: 'EE66 - 20mm x 20mm' (pack 100 Each). Image asset 10907 byte-checked 200 image/jpeg 36581B >=20000. Photo shows a single equal-elbow fitting alone; OEM reuses one shot across EE66/EE77/EE99 sizes (sizes not visually distinguishable on black PE fittings) - noted for transparency, not a sibling-type substitution."
742,FIT-BUT-TEE-EQU-25X25X25MM,PCS,candidate,https://www.buteline.com/my/buteline-pe/buteline-pe-fittings/equal-tees,https://www.buteline.com/asset/10909/w1200-h1200-q90.jpeg,510,320,25840,TE777,black PE,high,"2,3",q:Buteline equal tee 25mm PE fitting (search-api 429),p:https://www.buteline.com/my/buteline-pe/buteline-pe-fittings (200) | p:https://www.buteline.com/my/buteline-pe/buteline-pe-fittings/equal-tees (200),"Official Buteline Malaysia Equal Tees PDP quotes in page text: 'TE777 - 25mm x 25mm x 25mm' (pack 50 Each) - exact match to display_name. Image asset 10909 byte-checked 200 image/jpeg 25840B >=20000 (plain /asset/10909.jpeg is only 17416B, hence w1200-q90 variant used). Single equal-tee unit shown; same OEM shot serves TE666/TE777/TE999 sizes."
