source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,model_exact,finish_exact,match_confidence,tiers_run,queries_log,pages_log,notes
6124,LOC-TRI-264,PCS,reject,,,,,,,,,"T1,T2,T4",q:tricycle padlock 264 | q:Tri-Circle 264 padlock official tricircle,"p:https://search.yahoo.com/search?p=tricycle+padlock+264 (200) | p:https://search.yahoo.com/search?p=Tri-Circle+264+padlock+official+tricircle (200) | p:https://lockwiki.com/index.php/Tri-Circle_264 (200) | p:http://tri-circlelocks.com/en/pro_detail.asp?P_ID=87 (404) | p:http://tri-circlelocks.com/ (200) | p:http://tri-circlelocks.com/en/class-14-1-0.html (200) | p:http://tri-circlelocks.com/en/products-17.html (200) | p:http://tri-circlelocks.com/en/search.asp?skey=264 (200) | p:http://archive.org/wayback/available?url=tri-circlelocks.com/en/pro_detail.asp?P_ID=87 (200,no-snapshot)","'Tricycle'=Tri-Circle 264 38mm brass padlock confirmed (lockwiki + MY/UK sellers dextrous.my, barnsleylock.co.uk). Official OEM tri-circlelocks.com (Yantai/Pujiang Tri-Circle) live but rebuilt: only generic family pages ('Middle Type Polished Brass Padlock' products-17), no '264' model string anywhere in HTML incl site search skey=264 which returns unfiltered catalogue; old lockwiki-linked 260-series brief P_ID=87 dead and not archived (CDX only 404s). No authorised MY distributor page verifiable. BAR #2+#6 unmet"
7703,COC-BAL-L602,PCS,reject,,,,,,,,,"T1,T2","q:Vovo ball cock brass Malaysia | q:""Vovo"" ""ball cock""","p:https://search.yahoo.com/search?p=Vovo+ball+cock+brass+Malaysia (200) | p:https://www.heapwah.com.my/product-category/valves/ (200) | p:https://search.yahoo.com/search?p=%22Vovo%22+%22ball+cock%22 (200,polluted-results)",No Vovo plumbing OEM presence found. Only Shopee/Lazada generic ball cocks and MY wholesalers (Heap Wah/Newflo/Kinda) carrying own-label MIHA/NEWFLO brands; Heap Wah valves category HTML has zero 'vovo' matches; second query returned polluted results. Model L602 appears nowhere. Untraceable brand -> honest reject
7047,DOR-INS-KIT-26095(5),SET,reject,,,,,,BR4009 5pcs door lock installation kit (Blackrino),black,medium,"T1,T2","q:""4009"" lockset installation kit Malaysia | q:Blackrino BR4009 door lock installation kit",p:https://search.yahoo.com/search?p=%224009%22+lockset+installation+kit+Malaysia (200) | p:https://search.yahoo.com/search?p=Blackrino+BR4009+door+lock+installation+kit (200) | p:https://blackrino.net/ (NXDOMAIN),"'Br 4009' decoded = BLACKRINO BR4009 5PCS door-lock installation kit (hole saws 1-1/4,1-1/2,2,2-1/8in + mandrel) - model string quoted verbatim from multiple Shopee MY/SG listings. But Blackrino has NO official website (blackrino.net NXDOMAIN); every listing is Shopee/Lazada marketplace resellers. BAR #2 fails (marketplace-only brand) -> reject"
7553,PAI-GAL-606S,PCS,reject,,,,,,,,,"T1,T2","q:rayaco 606S 6 gallon pail | q:""606S"" pail",p:https://search.yahoo.com/search?p=rayaco+606S+6+gallon+pail (200) | p:https://search.yahoo.com/search?p=%22606S%22+pail (200),"Unbranded commodity pail. '606S' matches no pail anywhere (only Dutton-Lainson/Goldenrod 606S pistol oiler, wrong product). Rayaco's 6-gallon pail is model 9600, not 606S - claiming it would be a model mismatch (BAR #1). No official source exists -> reject"
7250,BLI-HSS-HOL-SAW-26MM,PCS,reject,,,,,,,,,"T1,T2",q:Navato hole saw Malaysia | q:Navato hole saw cutter Malaysia | q:Navato brand official website tools,"p:https://www.bing.com/search?q=%22Navato%22+hole+saw+26mm (200,garbage-results) | p:https://search.yahoo.com/search?p=Navato+hole+saw+Malaysia (200) | p:https://search.yahoo.com/search?p=Navato+brand+official+website+tools (200)","NAVATO is an import accessories brand sold almost exclusively via Shopee/Lazada MY; 26mm HSS hole saw exists only on marketplace listings. No navato.com or any OEM domain resolves; MY retailers lionmachinerysupply/vrdiy list other Navato SKUs (tile cutters, PVC cutters) without authorisation statements and not this SKU. No OEM page -> BAR #2 fails -> reject"
7571,TOO-FIL-SENSUI-SNF001-B,PCS,reject,,,,,,SNF001-A/-B flat steel file family (Sensui),black oxide,medium,"T1,T2",q:Sensui flat file 8 inch Malaysia,p:https://search.yahoo.com/search?p=Sensui+flat+file+8+inch+Malaysia (200),"Sensui 8in metal flat file is real (Shopee 'Sensui 8 Metal Heavy Duty Flat File') but brand has no official site anywhere; only distributor-style listing found is litaventure.com 'SENSUI BRAND FLAT STEEL FILE 6/8/10/12in - SNF001A' which is sibling code SNF001A vs our SNF001-B (suffix mismatch, BAR #1) and litaventure authorisation unverifiable. Rest is Shopee/Lazada -> reject"
6145,IND-SCO-WOO-501,PCS,reject,,,,,,,,,"T1,T2","q:wooden handle shovel head ""501"" OR ""503"" Malaysia",p:https://search.yahoo.com/search?p=wooden+handle+shovel+head+%22501%22+OR+%22503%22+Malaysia (200),Unbranded local shovel head; supplier codes 501/503 appear only on Shopee reseller listings of unrelated branded shovels (SCOP S501Y). Input action=duplicate_listing noted - no standalone official product exists either way. No OEM source -> reject
5267,IND-SCO-WOO-503,PCS,reject,,,,,,,,,"T1,T2","q:wooden handle shovel head ""501"" OR ""503"" Malaysia",p:https://search.yahoo.com/search?p=wooden+handle+shovel+head+%22501%22+OR+%22503%22+Malaysia (200),"Unbranded local shovel head, no brand/model trail beyond Ekoway supplier numbering; search yields marketplaces and foreign retailers only. No official source -> reject"
7554,"SHH-CAGE-2RING-12""-2",PCS,reject,,,,,,,,,T1,q:ring cage fishing trap Malaysia,p:https://search.yahoo.com/search?p=ring+cage+fishing+trap+Malaysia (200),"Local handmade fishing-tackle accessory (2-ring bait cage, spec '210/5 X 12inch' = twine size/rings x length). Only Shopee/Lazada/Facebook-marketplace and generic net manufacturers (Weihai Huaxing) surface; nothing ties an official page to this exact item code/spec. No OEM -> reject"
6540,TOO-COM-GD29,PCS,reject,,,,,,GD combination wrench 29mm,chrome vanadium satin,low-medium,"T1,T2","q:""combination wrench"" 29mm ""GD""",p:https://search.yahoo.com/search?p=%22combination+wrench%22+29mm+%22GD%22 (200),"'GD' is a generic China-import wrench marking, not a traceable OEM brand: hits are one Shopee MY listing ('29MM GD COMBINATION WRENCH') and sonichardware.com.my retailer variant listing (Combination Wrench (GD): Pcs 29MM) - a Sarawak hardware shop whose GD-brand authorisation cannot be established; Gedore 'GD-' prefix hits are a different brand entirely. No official OEM/distributor PDP -> reject"
