source_position,item_code,uom,display_name,category,detected_brand,detected_model,action,start_tier,tried,prior_decision,prior_page,prior_image,prior_reason,ledger_state
570,GRA-SAN-SWFG-SS304-6606,PCS,Saniware Floor Grating (150X150),Bathroom,Saniware,150X150,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
569,GRA-SAN-SWFG-SS304-6604,PCS,Saniware Floor Grating Washing Machine Outlet,Bathroom,Saniware,SWFG-SS304-6604,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
595,SHO-SAN-SWP-SA-150B,PCS,Saniware Premier Shower Arm-black SWP-SA-150B,Bathroom,Saniware,SWP-SA-150B,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
788,"NIE-SOC-IMP-3/4""-34MM",PCS,Nietz Dr Impact Socket (6PT) 50160034 34MM,Power Tools,Nietz,6PT,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
787,"NIE-SOC-IMP-3/4""-33MM",PCS,Nietz Dr Impact Socket (6PT) 50160033 33MM,Power Tools,Nietz,6PT,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
785,"NIE-ADA-IMP-1/2""X3/4""",PCS,Nietz Impact Adaptor 50146746,Power Tools,Nietz,1/2X3/4IN,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
828,"NIE-SOC-IMP-1/2""-32MM",PCS,Nietz Dr Impact Socket (6PT) 50140032 32MM,Power Tools,Nietz,6PT,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
786,"NIE-SOC-IMP-1/2""-30MM",PCS,Nietz Dr Impact Socket (6PT) 50140030 30MM,Power Tools,Nietz,6PT,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
838,"NIE-SOC-IMP-3/4""-26MM",PCS,Nietz Dr Impact Socket (6PT) 50160026 26MM,Power Tools,Nietz,6PT,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
849,"NIE-SOC-IMP-3/4""-29MM",PCS,Nietz Dr Impact Socket (6PT) 50160029 29MM,Power Tools,Nietz,6PT,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
837,"NIE-SOC-IMP-3/4""-23MM",PCS,Nietz Dr Impact Socket (6PT) 50160023 23MM,Power Tools,Nietz,6PT,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
903,GRA-CUT-BRU-1004526-16,PAIR,Brush Pair Type 1004526-16 Stanley,Outdoor & Garden,Stanley,STEL630,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
877,"NIE-SOC-IMP-1/2""-28MM",PCS,Nietz Dr Impact Socket (6PT) 50140028 28MM,Power Tools,Nietz,6PT,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
