source_position,item_code,uom,display_name,category,detected_brand,detected_model,action,start_tier,tried,prior_decision,prior_page,prior_image,prior_reason,ledger_state
709,BOS-0601-596-0L0,UNIT,Gho 6500 Planer,Power Tools,Bosch,,reopen,2,,pending,,,Fail-closed: evidence insufficient for VERIFIED. NOT_PRESERVED,open
387,STA-GRI-STGS8100,UNIT,Stanley Grinder 4 850W,Power Tools,Stanley,STGS8100,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
521,NIP-SAT-GLO-5L-P,CAN,5L Nippon Satin Glo Pastel Base,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
575,FAN-CEI-PSN-F-M15A0VBWH,PCS,Panasonic 60 Basic C Fan,Fans & Ventilation,Panasonic,,reopen,2,,pending,,,Fail-closed: evidence insufficient for VERIFIED. NOT_PRESERVED,open
731,NIP-TIM-FIN-5L-T/RED,CAN,5L Nippon Timber Finish T/red Base,Building Materials,Nippon Paint,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
860,ELE-LED-FLO-IP66-150W-6500K-NEW,PCS,LED Floor Light -150W New,Lighting,,6500K,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
908,BOS-BAT-1600-A00-HR3,PCS,Battery Charger,Electrical,Bosch,AL1210CV,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
935,COC-BIB-SRTWT2216,PCS,Sorento 1/2 Hose Bib Tap - SRTWT2216,Plumbing,Sorento,SRTWT2216,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
655,BOS-2608-585-593,PCS,Hss-g Metal Bit 14MM,Power Tools,Bosch,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
730,NIP-QLA-1L-P,CAN,1L Nippon Q-lac Pastel Base,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
758,NIP-QSH-EXT-1L-P,CAN,1L Nippon Q-shield Extra Pastel Base,Paint & Sundries,Nippon Paint,,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
765,TAR-SHT-GT2-09X15,SHT,Glotool PE Tarp Sheet - 9 X 15 (GT02),Building Materials,Glotool,GT02,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
612,SWI-T/SOC-40/016-3G,PCS,Taicon 3G 40/016 Nut Box,Fasteners & Fixings,Taicon,EXTENSION-5M,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
606,BOS-F016-F04-558,PCS,Cutting Line Cartridge For Art 23SL,Power Tools,Bosch,23SL,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
898,TOO-HAM-SLE-GT04LB,PCS,Glotool Sledge Hammer 4LB,Hand Tools,Glotool,4LB,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
407,ELE-D/L-TC-2260-24W-4000K,PCS,Taicon 24W Adjusted LED Dl Round (TC-2260),Lighting,Taicon,TC-2260,reopen,2,,pending,,,"Fail-closed: evidence insufficient for VERIFIED. Exact manufacturer/model, suffix, variant, package and image were not preserved; no family image substituted.",open
