source_position|item_code|uom|display_name|category|detected_brand|detected_model
4399|TAP-BIB-QBC01W|PCS|Jopex PVC BIBTAP-QBC01W|Plumbing||BIBTAP-QBC01W
4518|BAT-PSN-LIT3V-CR-1620/5BE|PCS|CR-1620/5B Lithium 3V|Electrical||CR-1620/5B
4758|TOO-DRV-108LY-VISON|PCS|Vison Screw Driver|Fasteners & Fixings||108LY
3849|SHH-SINKER-NO.4|PCK|Single Head Sinker No. 4 (2PCS/PCK)|Fishing & Tackle||2PCS/PCK
4119|SHH-LINE-WHI-NO.120|PKT|(sf) Round White M. L. No. 120|Fishing & Tackle||NO.120
3976|CUT-ELE-EDM-4080|PCS|4 X 80 Gold Elephant Mop Disc|Housewares||EDM-4080
4427|SHH-LINE-WHI-NO.10|PCS|(bs)long White M. L No. 10|Fishing & Tackle||NO.10
4204|PAI-BRU-RAD-2642R|PCS|2"X642R Radiator Paint Brush|Automotive||X642R
4428|SHH-LINE-WHI-NO.40|PCS|(bs)long White M. L No. 40|Fishing & Tackle||NO.40
1100|AGR-NET-SUN-GLO-50%|MTR|Glotool Sun Shade Netting (50%)|Rope, Chain & Netting|Glotool|
4187|BNW-BOL-SS304-M10-45MM|PCS|SS 304 Bolt - M10 X 45MM|Fasteners & Fixings||M10
6237|TOO-DRV-2WAY|PCS|K 2WAY Screw Driver|Fasteners & Fixings||2WAY
6815|SOC-BOX-2G13A|PCS|13A Switch Soket 2GANG Box|Electrical||2GANG
3796|SWI-SOC-ULT-M0815MG|PCS|Ultra 15A Round Pin Swi Soc Neon-mat Grey (M0815MG)|Electrical||M0815MG
3756|ELE-D/L-MGM-MQTL2048-6500K|PCS|Mgm 2 1/2 7W Eye Ball Dl|Electrical||MQTL2048
3206|LOC-DEL-TZ-DL3871SS|PCS|Deluxe Cylindrical Lock|Locks & Security||DL3871SS
4356|VAL-BAL-VIP-MF12MM|PCS|1/2 Vip Chrome Mini Valves 323MF|Plumbing||323MF
4627|FAS-BOL-EXP-OAC130-M8X90X50|PCS|Brain Expansion Eye Bolt OAC130 M8X90X50|Fasteners & Fixings||OAC130
5152|TOO-DRV-MAG-M1065|PCS|Spandek Screw Adaptor M10X65MM|Fasteners & Fixings||M10X65MM
3134|IND-SCP-FR9788-1|PCS|1 Faris W Handle Finishing Scraper|Doors & Hardware||FR9788
3028|DOR-LOC-CAM-30MMX90|PCS|Degree Excel Camlock|Doors & Hardware||30MMX90
4484|SHH-LINE-WHI-NO.100|PCS|(bs)long White M. L No. 100|Fishing & Tackle||NO.100
4485|SHH-LINE-WHI-NO.70|PCS|(bs)long White M. L No. 70|Fishing & Tackle||NO.70
4278|BNW-B&N-RBN-212|PCK|Sr G. I Boit & Nut 1/4 X 1 1/4 (5PCS/PCK)|Fasteners & Fixings||5PCS/PCK
6449|NAI-CON-GAL-3"-PCK|PCK|3 Galvanised Steel Nail (10PCS/PCK)|Fasteners & Fixings||10PCS/PCK
6441|FIT-PVC-ELB-45DEG40MM|PCS|PVC Fitting Elbow 40MM (4.5') 1.1/2|Plumbing||45-DEG
7315|FAS-SCR-DRY-WHI-6#1"|PCK|Hunter/wh - Drywall Screw 6 X1 (20PCS/PCK)|Fasteners & Fixings||20PCS/PCK
3593|HHD-FLU-M0676-L110W-50MM|PCS|L110-W'TECHPLAS Flapper Outlet Valve|Plumbing||L110-W
3466|AER-S/S-DIA-2"-2WAY-FN910D|PCS|Double Divider Valve 6MM V/p|Plumbing||FN910D
4508|SAS-HOR-BH-12|BOX|Sasaki Back Up Horn|Other||BH-12
3044|AUT-POL-AUT-MET75ML|PCS|Autosol Metal|Other||POLISH-75ML
4314|FDD-CON-FEM-YEL-5.5|PCK|Female Disconnect - Yellow (5.5) (20PCS/PCK)|Electrical||20PCS/PCK
2656|TOO-DRV-STA-PH0-1/8"X4"-9960651580|PCS|Cushion Grip S/dr PHILIPS-1/8"X4"X0PT ( 0X100MM)|Power Tools||PHILIPS-1/8
4488|SWI-SOC-ULT-M011MG|PCS|Ultra 16A 1 GANG 1 Way-matte Grey (M011MG)|Electrical||M011MG
4613|NAI-ROO-SUP-T65MM|PKG|E. G Roofing Nail - Twist 65MM 1KGS|Fasteners & Fixings||1KGS
4570|VAL-ANG-JOP-MQWC02-SB|PCS|Jopex Angle VALVE-MQWC02SB|Plumbing||VALVE-MQWC02SB
3042|WAL-PLU-JWP-8MM|PCK|Jaw Wall Plug 8MM (10PCS/PCK)|Fasteners & Fixings||10PCS/PCK
1787|PAI-SPR-PMT-040|CAN|Paint Master Spray Paint - No. 40 White|Paint & Sundries||NO.40
2971|IND-SCP-FR9788-2-1/2|PCS|2-1/2 Faris W Handle Finishing Scraper|Doors & Hardware||FR9788
3053|HOS-CON-EG-314-13MM-1/2"|PCS|Eagle (EG-314) : Hose Connecter Adapter|Outdoor & Garden||EG-314
3538|HOS-GAR-GRE-160330-MTR|MTR|Br 83030 PVC Green Garden Hose 16X3.0MM|Outdoor & Garden||16X3.0MM
4094|SPO-SCO-QB-3M-5PCS|PCS|Atlas 27NM 6 X 9 Handpad-maroon|Other||27NM
3038|SELF-HOO-SIN-GS304SH|PCS|No Drill Self Adhesive Single Hook|Power Tools||SUS304
4082|CUT-ELE-EDM-4180|PCS|4 X 180 Gold Elephant Mop Disc|Housewares||EDM-4180
