source_position|item_code|uom|display_name|category|detected_brand|detected_model
4034|PLA-BAG-W500-1518|PCK|15 X 18 X Tbag (aa)|Packaging||WHITE/500G
5389|CAB-LUG-10-8|PCK|Cable Lug 10-8 (10PCS/PCK)|Electrical||10PCS/PCK
4033|PLA-BAG-W500-1114|PCK|11 X 14 X Tbag (aa)|Packaging||WHITE/500G
4107|APR-PVC-YEL|PCS|Thin PVC APRON-YELLOW24IN X 36IN0.18MM|Safety & Workwear||APRON-YELLOW24IN
4210|SHH-HOOK-SC4063|PKT|Surecatch Biru 406 No. 3(20'S)|Fishing & Tackle||NO.3
5582|CAB-LUG-25-8|PCK|Cable Lug 25-8 (4PCS/PCK)|Electrical||4PCS/PCK
3513|BNW-B&N-RBN-230|PCK|Sr G. I Boit & Nut 1/4 X 3 (10PCS/PCK)|Fasteners & Fixings||10PCS/PCK
5569|SWI-SOC-ULT-M011W|PCS|Ultra 16A 1 GANG 1 Way-white (M011W)|Electrical||M011W
4426|SHH-HOOK-45708-NO.11|PKT|2908 No. 6 Eupro Prawn Hook (15'S)|Fishing & Tackle||NO.6
5477|FIT-SS225-BUS-3/4"X1/2"-SUS304|PCS|SS Hex Bushing 3/4"X1/2|Plumbing||X1/2
5802|GUN-GRE-NIP-90 M10X1.0|PCS|S. K 90 Degree Grease Nipple M10 X 1.0|Fasteners & Fixings||M10
5696|FIT-YG239R-SOC-MXF-1/2"X3/8"-BRA|PCS|Reduced Mxf Brass Socket 1/2"X3/8|Electrical||X3/8
5882|TOO-DRI-MAG-BSP037-F|PCS|Box Bit Socket|Electrical||13X65MM
4754|SHH-SWIVEL-SNAP-NO.8|PKT|Nickel Snap Swivel No. 8|Fishing & Tackle||NO.8
6065|CAB-LUG-01.5-5|PCK|Cable Lug 1.5-5 (10PCS/PCK)|Electrical||10PCS/PCK
3893|FIT-YG251A-SOC-10MM-BRA|PCS|T Brass Connector 10MM|Plumbing||YG251
4832|SHH-HOOK-4310N-NO.8|PKT|No. 8 Exori Super Strong Hook (20'S)|Fishing & Tackle||4310N
3892|FIT-YG251-SOC-08MM-BRA|PCS|Y Brass Connector 8MM|Plumbing||YG251
4954|CUT-SAW-IND-14J|PCS|Sr India Junior Saw 14J|Abrasives & Cutting||14J
4358|BNW-B&N-RBN-112|PCK|Sr G. I Boit & Nut 3/16 X 1 1/4 (12PCS/PCK)|Fasteners & Fixings||12PCS/PCK
6249|CLI-BAT-CLI-0025AMP|SET|L/duty Battery Clip 25AMP|Electrical||25AMP
6434|BNW-WAS-SPR-16MM|PCK|Bsw Spring Washer 5/8 (8PCS/PCK)|Fasteners & Fixings||8PCS/PCK
6601|BNW-WAS-SPR-14MM|PCK|Bsw Spring Washer 9/16 (8PCS/PCK)|Fasteners & Fixings||8PCS/PCK
4818|BNW-B&N-RBN-115|PCK|Sr G. I Boit & Nut 3/16 X 1 1/2 (7PCS/PCK)|Fasteners & Fixings||7PCS/PCK
3484|TAP-PIL-OTO-966-1|PCS|966-1 OTOSANI'304 S/steel Pillar Swan Tap|Plumbing||304#S/STEEL
3874|SWI-SOC-ELE-E20AB|PCS|Elegance 20A Double Pole Swi Neon-blk (E20AB)|Electrical||E20AB
3463|VAL-BAL-VIP-343-25MM|PCS|Full Bore Ball VALVE:PN25 343 1.0|Plumbing||VALVE:PN25
2910|RAI-BOO-KRK-Y41#|PAIR|Rainshoes - 41 (8) 7000YLW|Curtains & Blinds||7000YLW
2881|BOS-1/4-12|PCS|Sumo Router Bit 1/4 Shark (each)|Power Tool Accessories|Bosch|
3055|IND-WHE-TYR-AIR-ST22|PCS|ST22 Air Wheel|Building Materials||ST22
3938|VAL-BAL-VIP-343-18MM|PCS|Full Bore Ball VALVE:PN25 343 3/4|Plumbing||VALVE:PN25
3057|LOC-GLO-BRA-GLBBC40|PCS|Glocks Brass Padlock GLBBC40|Locks & Security||GLBBC40
2929|CUT-PRU-PAS-W815|PCS|W815 By-pass Pruner 200MM|Abrasives & Cutting||W815
3014|GRE-TOYO-450GM|TIN|Toyo Eaj 8000 Hi-temp Bentonite Grease|Other||450GM
3030|GRE-TOYO-350GM|TIN|Toyo MP2 Lithium Ep Grease|Other||MP2
3200|CUT-DEW-DW4785|PCS|Diamond Blade, Dry 4|Abrasives & Cutting||DW4785
3257|BRA-SHE-S/S-G785-08"|SET|G785 304 H/duty Shelf Bracket 8|Housewares||G785
3436|RAI-BOO-KRK-B42M9000|PAIR|Korakoh Rain Shoes Blk - 9/42|Curtains & Blinds||M9000
4434|SWI-SOC-ULT-M08913W|PCS|Ultra 13A Multiple Swi Soc Neon-whi (M08913W)|Electrical||M08913W
4473|ELE-PVC-CAS-2"X2"|LGTH|Kancil 2 X 2 X6FT PVC Casing|Electrical||X6FT
3380|RAI-BOO-KRK-B38M|PAIR|Rainshoes - 38 (5) 6000BLK|Curtains & Blinds||6000BLK
