source_position|item_code|uom|display_name|category|detected_brand|detected_model
4693|SHH-SINKER-HOLE-NO.3|PCK|Hole Sinker No. 3 (5PCS/PCK)|Fishing & Tackle||5PCS/PCK
5906|FIT-YG225-BUSH-3/8"X1/4"-BRA|PCS|Brass Bushing 3/8 X 1/4|Plumbing||YG225
4192|CLI-HOS-GP-3"|PCS|Gp S/steel Hose CLIP-3 (52-76MM)|Outdoor & Garden||CLIP-3
6329|MET-WAT-WASHER-1/2"|PCK|Water Meter Washer 1/2 (2PCS/PCK)|Fasteners & Fixings||2PCS/PCK
4928|CEI-ROSE-408A-131-CR3|PCS|408A 131 CR3 Ceiling Rose|Building Materials||CR3
4925|BNW-B&N-RBN-110|PCK|Sr G. I Boit & Nut 3/16 X 1 (7PCS/PCK)|Fasteners & Fixings||7PCS/PCK
5587|FAS-SCR-DRY-BLA-6#1-1/2"|PCK|Hunter/bk - Drywall Screw 6 (20PCS/PCK) X1-1/2|Fasteners & Fixings||20PCS/PCK
3155|ELE-CAB-VDE-BLK|MTR|Taicon 23/0.15 X 2 Core Vde Cable - Black|Electrical|Taicon|
3284|GUN-T-7006-MINI|PCS|Fiesto Mini Tufting Gun|Fasteners & Fixings||T-7006
2823|RAI-BOO-KRK-Y38#|PAIR|Rainshoes - 38 (5) 7000YLW|Curtains & Blinds||7000YLW
3852|SWI-SOC-ULT-M20AMG|PCS|Ultra 20A Dou Pole Swi Neon-mat Grey (M20AMG)|Electrical||M20AMG
5460|REC--SQL-1200V|PCS|Rectifier 1200V|Other||SQL-100A
3831|VAL-ANG-CVL-CA9009|PCS|Cavallo 304 SS Angle Valve|Plumbing||CA9009
3213|TOO-HAM-WOOD-BLI-27MM|PCS|Blimax Wood Claw|Hand Tools||HAMMER-27MM
4407|BLA-SAW-TCT-4X30T|PCS|Blimax Tct Saw BLADE-4"X30T|Power Tool Accessories||BLADE-4
4592|SIN-WAS-SSS-A110|PCS|2.1/2 S/s Waste A110|Plumbing||A110
3231|PLA-BAG-W1000-2227|PCK|22 X 27 X Tbag Aa|Packaging||WHITE/1KG
3543|SAF-HEL-YEL|PCS|PVC Uvee Safety Helmet-yel|Safety & Workwear||810-YL
3523|LOC-GLO-BRA-GLBBC20|PCS|Glocks Brass Padlock GLBBC20|Locks & Security||GLBBC20
4705|DRI-SET-WOO|SET|GW5 Wood Drill Bit Set 5PCS|Power Tool Accessories||GW5
3708|HHD-DKI-FLO-VAL|PCS|Dki Isb Cistern Float|Fishing & Tackle||VALVE-440
2710|BRO-MOP-350|PCS|No. 350 Mop Broom With Handle|Doors & Hardware||NO.350
4680|ELE-ADA-3WAY-BER-YK368|PCS|Pro-smart 33N 3WAY Adaptor W/neon|Electrical||33N
3752|CR-1220/5BE|PCS|CR-1220/5B Lithium 3V|Other||CR-1220/5B
3848|SHH-HOO-4206-NO.1|PKT|4206 No. 1 Galah Hook (20'S)|Fishing & Tackle||NO.1
3877|TOO-COM-W0305G-10*12MM|PCS|2 Open Wrench (10*12MM)|Hand Tools||10*12MM
1870|PAI-SPR-PMT-039|CAN|Paint Master Spray Paint - No. 39 Black|Paint & Sundries||NO.39
3015|HOS-SPA-TAP-C222|PCS|C222 Spare Cartridge (for L Handle)|Doors & Hardware||C222
4066|TOO-FIL-BCC-5.5200MM|PCS|Bahco Chain Saw File 168-8-5.5-3P 7/321IN|Hand Tools||168-8-5.5-3P
3052|GAR-SPR-E93/G851|PCS|Water Sprayer 1000CC|Outdoor & Garden||1000CC
5185|BIB-G501B|PCS|Bib Tap Truflo|Plumbing||G501B
5390|CAB-LUG-300AMP|PCK|Cable Lug (white) 300AMP 2PCS/PCK|Electrical||300AMP
2551|SHH-YEL-HOSE-10MMX2MM|FTS|Yellow Hose (10MMX2MM)|Outdoor & Garden||10MMX2MM
4162|FLO-MOC-KV910|PCS|Kv 910 12"X12 Homotile|Flooring||X12
3454|HOS-CON-MEN-40200012|PCS|Ecogreen- Hose Mender / 1/2|Outdoor & Garden||EG4035
5785|NAIL-TUFTING-TN-8316-PCK|PCK|Round Plate Tufting Nail (10PCS/PCK) 16MMX8.5MM|Fasteners & Fixings||10PCS/PCK
4559|IND-RAG-COL-1KGS|KGS|Cotton Rag - Colour 1KGS|Building Materials||1KGS
5784|NAIL-TUFTING-TN-7316-PCK|PCK|Round Plate Tufting Nail (10PCS/PCK) 16MMX7.3MM|Fasteners & Fixings||10PCS/PCK
4339|CUT-ELE-EDM-4240|PCS|4 X 240 Gold Elephant Mop Disc|Housewares||EDM-4240
4756|TIE-CAB-BLA-6"|PKT|6 Black Cable Tie (20PCS/PCK)|Rope, Chain & Netting||20PCS/PCK
4725|SHH-LINE-WHI-NO.50|PCS|(bs)long White M. L No. 50|Fishing & Tackle||NO.50
4606|CUT-KNI-HX18|BOX|Tct NT18 N. T Cutter Blade (10PCS/BOX)|Abrasives & Cutting||NT18
4775|SHH-HOOK-12146BN-8|PKT|No. 8 Hytac Hook 20'S|Fishing & Tackle||12146BN
3859|CLI-ELE-CAB-05MM100S|BOX|Cable Clip 5MM/100'S (bd)|Electrical||5MM/100
