ordinal,source_position,item_code,uom,display_name,category,detected_brand,detected_model,prior_page
7163,1525,NIE-SOC-HAN-DEE-06P-1/2-29MM,PCS,Nietz Dr Deep Cr Socket (6PT) 50042029 29MM,Electrical,Nietz,6PT,
7164,2138,SWI-CON-8.3A-100W,PCS,Taicon Power Supply (low Noise) 8.3A 12V 100W,Electrical,Taicon,,
7165,1615,VAL-SOR-SRTWT808,PCS,Sorento Angle Valve Blue S/steel Chrome,Plumbing,Sorento,SRTWT808,
7166,1590,BOS-2608-680-284,PCS,Sds + Drill Bit S3 14 X 400/460MM,Power Tool Accessories,Bosch,400/460MM,
7167,2573,COC-BAS-SSS-LSS101,PCS,Leon Sus 304 S/steel Basin TAP-LSS101,Bathroom,,TAP-LSS101,
7168,2274,TOO-PLI-PUMW5012,PCS,Water Pump Pliers 300MM,Pumps & Water,,WNS5012B,
7169,1595,NIE-SOC-HAN-DEE-06P-1/2-27MM,PCS,Nietz Dr Deep Cr Socket (6PT) 50042027 27MM,Electrical,Nietz,6PT,
7170,1594,NIE-SOC-HAN-DEE-06P-1/2-26MM,PCS,Nietz Dr Deep Cr Socket (6PT) 50042026 26MM,Electrical,Nietz,6PT,
7171,2024,TOO-NIE-SOC-KEY-L14MM,PCS,Nietz 1/2 IN Drive Long Allen Bxsocket 50240114 14MM,Power Tools,Nietz,,
7172,1670,SWI-CON-5A-TC-10991,PCS,Taicon Power Supply 5A 12V 60W (BIG)-(TC-10991),Electrical,Taicon,TC-10991,
7173,1721,TOO-NIE-SOC-HDL-12MM,PCS,Nietz T Hdl Deep Socket Wrch (6PT)50050212 12MM,Electrical,Nietz,6PT,
7174,1753,BOS-2608-680-283,PCS,Sds + Drill Bit S3 14 X 200/260MM,Power Tool Accessories,Bosch,200/260MM,
7175,1727,NIE-SOC-HAN-DEE-12P-1/2-23MM,PCS,Nietz Dr Deep Cr Socket (12PT) 50045023 23MM,Electrical,Nietz,12PT,
7176,2445,SIN-CLE-DRA-H/D-5M,PCS,Heavy Duty Pipe Cleaner 5.0M,Chemicals & Adhesives,,YG577,
7177,2208,TOO-NIE-SOC-KEY-L08MM,PCS,Nietz 1/2 IN Drive Long Allen Bxsocket 50240108 8MM,Power Tools,Nietz,,
7178,1803,"TOO-NIE-SOC-HAN-1/2""-32MM",PCS,Nietz Dr Chrome Socket (12PT)50043032 32MM,Electrical,Nietz,12PT,
7179,1845,NIE-SOC-HAN-DEE-12P-1/2-20MM,PCS,Nietz Dr Deep Cr Socket (12PT) 50045020 20MM,Electrical,Nietz,12PT,
7180,2278,BOS-1617-000-525,SET,Carbon Brush Gbh 2-26 Dre/dfr,Power Tools,Bosch,,
7181,2367,BOS-2608-680-796,PCS,Multi Purpose D/bit 10 X 80 X 120MM,Power Tools,Bosch,,
7182,1868,NIE-SOC-HAN-DEE-12P-1/2-13MM,PCS,Nietz Dr Deep Cr Socket (12PT) 50045013 13MM,Electrical,Nietz,12PT,
7183,1030,BOS-2608-603-360,PCS,Flap Disc 4 P120 (standard For Inox),Power Tools,Bosch,P120,
7184,1867,NIE-SOC-HAN-DEE-12P-1/2-10MM,PCS,Nietz Dr Deep Cr Socket (12PT) 50045010 10MM,Electrical,Nietz,12PT,
7185,2417,BOS-1619-P02-870,SET,Carbon Brush Gws 7-100,Power Tools,Bosch,,
7187,1888,BOS-2608-680-281,PCS,Sds + Drill Bit S3 14 X 100/160MM,Power Tool Accessories,Bosch,100/160MM,
7188,2446,STI-BRU-CUT-DEF,PCS,Deflector Brush Cutter,Outdoor & Garden,STIHL,,
7189,1015,"NIE-SOC-IMP-1/2""-16MM",PCS,Nietz Dr Impact Socket (6PT) 50140016 16MM,Power Tools,Nietz,6PT,
7190,1014,"NIE-SOC-IMP-1/2""-15MM",PCS,Nietz Dr Impact Socket (6PT) 50140015 15MM,Power Tools,Nietz,6PT,
7191,1897,NIE-PLU-SOC-50046616,PCS,Nietz Spark Plug Socket 50046616,Electrical,Nietz,5/8IN,
7192,1448,NIETZ-MOU-FLA-WHE-57121100,PCS,Nietz Mounted Flap Wheel 57121100,Abrasives & Cutting,Nietz,25X20X6,
7193,2037,"TOO-NIE-SOC-HAN-1/2""-19MM",PCS,Nietz Dr Chrome Socket (12PT)50043019 19MM,Electrical,Nietz,12PT,
