ordinal,source_position,item_code,uom,display_name,category,detected_brand,detected_model,prior_page
6773,1851,TOO-NIE-SOC-KEY-L06MM,PCS,Nietz 1/2 IN Drive Long Allen Bxsocket 50240106 6MM,Power Tools,Nietz,,
6774,1843,BOS-1617-014-138,SET,Carbon Brush Gsh 388/ Gsh 500/ Gsh 5,Power Tools,Bosch,,
6775,1116,TOO-HAM-SLE-GT02LB,PCS,Glotool Sledge Hammer 2LB,Hand Tools,Glotool,2LB,
6776,1434,NIE-SOC-HAN-DEE-06P-1/2-22MM,PCS,Nietz Dr Deep Cr Socket (6PT) 50042022 22MM,Electrical,Nietz,6PT,
6777,1917,BOS-TER-FEMALE-CON-IW-TCF10/25,PCS,Terminal Female Connector 10-25,Power Tools,Bosch,,
6778,1103,BOS-2608-595-077,PCS,Hss-g Metal Bit 10.0MM,Power Tools,Bosch,,
6779,1471,NIE-SOC-HAN-DEE-06P-1/2-20MM,PCS,Nietz Dr Deep Cr Socket (6PT) 50042020 20MM,Electrical,Nietz,6PT,
6780,2207,TOO-LEV-W0093B400,PCS,Aluminium Level (400MM),Power Tools,,W0093B,
6781,1626,TOO-COM-GLO-25MM,PCS,Glotool Combination Wrench 25MM,Hand Tools,Glotool,,
6782,1508,NIE-SOC-HAN-DEE-06P-1/2-17MM,PCS,Nietz Dr Deep Cr Socket (6PT) 50042017 17MM,Electrical,Nietz,6PT,
6783,2244,TOO-LEV-W0093A300,PCS,Aluminium Level (300MM),Power Tools,,W0093A,
6784,1538,NIE-SOC-HAN-DEE-06P-1/2-12MM,PCS,Nietz Dr Deep Cr Socket (6PT) 50042012 12MM,Electrical,Nietz,6PT,
6785,1539,NIE-SOC-HAN-DEE-12P-1/2-14MM,PCS,Nietz Dr Deep Cr Socket (12PT) 50045014 14MM,Electrical,Nietz,12PT,
6786,2438,CUT-TUR-BWM-100MM,PCS,Glotool 100MM Turbo Granite Wheel Bwms,Abrasives & Cutting,Glotool,,
6787,1639,TOO-HAM-CLA-GT25MM,PCS,Glotool Claw Hammer 25MM,Hand Tools,Glotool,,
6788,2320,PYE-WOO-VAR-250ML,TIN,PYE Wood VARNISH-250ML,Paint & Sundries,,VARNISH-250ML,
6789,1643,BOS-2608-634-994,PCS,Jigsaw Blade T345XF,Power Tool Accessories,Bosch,T345XF,
6790,1627,"TOO-NIE-SOC-HAN-1/2""-22MM",PCS,Nietz Dr Chrome Socket (12PT)50043022 22MM,Electrical,Nietz,12PT,
6791,2585,TOO-PLI-LOC-GT175,PCS,Glotool Locking Plier 7,Hand Tools,Glotool,,
6792,2027,BOS-2608-900-570,PC,Hex 9 Multi Purpose D/bit 4 X 45 X 90MM,Power Tools,Bosch,,
6793,1688,"TOO-NIE-SOC-HAN-1/2""-20MM",PCS,Nietz Dr Chrome Socket (12PT)50043020 20MM,Electrical,Nietz,12PT,
6794,1742,BOS-2608-634-503,PCS,Jigsaw Blade T118BF,Power Tool Accessories,Bosch,T118BF,
6795,2248,BOS-1619-PC0-389,PCS,Carbon Brush Gsb 600 (c),Power Tools,Bosch,,
6796,1813,TOO-COM-GLO-20MM,PCS,Glotool Combination Wrench 20MM,Hand Tools,Glotool,,
6797,1774,"TOO-NIE-SOC-HAN-1/2""-17MM",PCS,Nietz Dr Chrome Socket (12PT)50043017 17MM,Electrical,Nietz,12PT,
6798,1752,BOS-2608-667-446,PCS,Jigsaw Blade For PVC,Power Tool Accessories,Bosch,T102H,
6799,1861,TOO-COM-GLO-18MM,PCS,Glotool Combination Wrench 18MM,Hand Tools,Glotool,,
6800,1823,BOS-2608-680-259,PCS,Sds + Drill Bit S3 5 X 100/160MM,Power Tool Accessories,Bosch,100/160MM,
6801,1319,NIETZ-MOU-FLA-WHE-57122100,PCS,Nietz Mounted Flap Wheel 57122100,Abrasives & Cutting,Nietz,25X25X6,
6802,1875,"TOO-NIE-SOC-HAN-1/2""-08MM",PCS,Nietz Dr Chrome Socket (12PT)50043008 8MM,Electrical,Nietz,12PT,
