ordinal,source_position,item_code,uom,display_name,category,detected_brand,detected_model,prior_page
6743,1941,SWI-SOC-ELE-TSR913,PCS,13A Universal Track Socket Red-blue LED (R913),Lighting,,R913,
6744,2116,SWI-SOC-ELE-TSBK13,PCS,13A Flat Pin Tracks Socket Black-blue LED (BK13),Lighting,,BK13,
6745,2117,SWI-SOC-ELE-TSGD13,PCS,13A Flat Pin Tracks Socket Gold-blue LED (GD13),Lighting,,GD13,
6746,2115,SPR-BID-HEA-LUX-LT2020,SET,Luxtec Spray Bidet Set,Bathroom,,LT-2020,
6747,1182,MEA-TAP-GLO-A050M,PCS,Glotool Measuring Tape (type A) 50M,Hand Tools,Glotool,,
6748,2065,TOO-BOX-NIE-H/D-175,PCS,Nietz 175 H/d Duty Tool Box 50523175,Hand Tools,Nietz,,
6749,2068,BID-SAN-SBD-304-60075,PCS,S600 S/s Spray Bidet Set HOLDER&1.2MM Flexible Hose,Bathroom,,S600,
6750,1802,TOO-CUT-SNI-W1012B,PCS,Tin Cutter 300MM,Power Tools,,W1012B,
6751,2017,ELE-SOL-W2803,PCS,Electric Solder Iron,Home Appliances,,W2803,
6752,2162,SHO-CAB-CSA404,PCS,Cabana S/steel Shower Arm 450MM - Satin,Bathroom,,CSA404,
6753,2105,TAP-WALL-I301,PCS,Wall Sink Tap I301 Wtc Tic,Kitchen & Sinks,,I301,
6754,2107,BBQ-STO-ZC1115,PCS,"14""X10 Bbq Stove",Home Appliances,,X10,
6755,1218,NIE-PLU-SOC-50046916,PCS,Nietz Spark Plug W/magnetic (6PT) 50046916,Electrical,Nietz,6PT,
6756,2336,WEL-ELE-NSW-308L-3.2MM,KGS,Nihonweld Electrode X 3.2MM,Welding,,NSW308L,
6757,1712,TOO-LEV-SUN-9200MM,PCS,Glotool Magnetic Spirit Level 48,Power Tools,Glotool,,
6758,1262,NIE-SOC-IMP-THI-1/2-21MM,PCS,Nietz Thin Wall Deep Imp Socket 6PT 50141221 21MM,Electrical,Nietz,6PT,
6759,1296,NIE-SOC-IMP-THI-1/2-19MM,PCS,Nietz Thin Wall Deep Imp Socket 6PT 50141219 19MM,Electrical,Nietz,6PT,
6760,1438,TOO-NIE-SOC-HDL-13MM,PCS,Nietz T Hdl Deep Socket Wrch (6PT)50050213 13MM,Electrical,Nietz,6PT,
6761,2220,BOS-2608-603-729,PCS,Diamond Blade For Tile,Abrasives & Cutting,Bosch,,
6762,1814,TOO-LEV-SUN-900MM,PCS,Glotool Magnetic Spirit Level 36,Power Tools,Glotool,,
6763,2213,NIE-JOI-UNI-12MM,PCS,Nietz Dr Universal Joint 1/2 50046840,Hand Tools,Nietz,,
6764,2252,ELE-SOL-W0301C,PCS,Ex Heat Electric Solder Iron 60W,Home Appliances,,W0301C,
6765,1061,TOO-HAM-SLE-GT03LB,PCS,Glotool Sledge Hammer 3LB,Hand Tools,Glotool,3LB,
6766,1475,TOO-NIE-SOC-HDL-08MM,PCS,Nietz T Hdl Deep Socket Wrch (6PT)50050208 8MM,Electrical,Nietz,6PT,
6767,1038,TAR-SHT-GT2-08X10,SHT,Glotool PE Tarp Sheet - 8 X 10 (GT02),Building Materials,Glotool,GT02,
6768,2322,TAP-WAL-JOPEX-QSTW01W,PCS,Jopex Sink Tap,Kitchen & Sinks,,WALL-QSTW01W,
6769,1439,VAL-SAN-SW-SS-AV-77,PCS,Saniware Angle Valve SW-SS-AV-77,Plumbing,Saniware,SW-SS-AV-77,
6770,2270,TAP-PIL-JOPEX-QSTP01W,PCS,Jopex Pillar Sink,Kitchen & Sinks,,TAP-QSTP01W,
6771,1474,TOO-COM-GLO-27MM,PCS,Glotool Combination Wrench 27MM,Hand Tools,Glotool,,
6772,2120,TOO-LEV-W0093D600,PCS,Aluminium Level (600MM),Power Tools,,W0093D,
