ordinal,source_position,item_code,uom,display_name,category,detected_brand,detected_model,prior_page
7133,1399,BID-CAB-CB55CR,UNIT,Cabana Bidet (chrome),Bathroom,,CB55CR,
7134,1025,NIP-HYD-WOD-MET-1L,CAN,1L Nippon Hydro Wood & Metal Primer,Paint & Sundries,Nippon Paint,,
7135,2343,SHO-CAB-CSA300AA,UNIT,Cabana Shower Arm (20X1.0X300MM),Bathroom,,20X1.0X300MM,
7136,1062,TOO-HAM-SLE-GT06LB,PCS,Glotool Sledge Hammer 6LB,Hand Tools,Glotool,6LB,
7137,1380,TOO-NIE-PLU-COU-800PHA,PCS,Nietz High Flow Quick Coupler Plug 50861802,Electrical,Nietz,800PHA,
7138,1859,SWI-CON-TC-10507,PCS,Taicon Power Supply (low Noise) 25A 12V 300W,Electrical,Taicon,,
7139,1370,BOS-2608-680-291,PCS,Sds + Drill Bit S3 20 X 400/460MM,Power Tool Accessories,Bosch,400/460MM,
7140,1392,SEN-VAC-BRA-DHS22,PCS,22MM X M10 Sensui Vacuum Brazed Diamo,Home Appliances,,M10,
7141,1770,NIP-TIM-1L-P,CAN,1L Nippon Timbershade Pastel Base,Paint & Sundries,Nippon Paint,,
7142,2380,GAS-ROL-CLH GAS007,PCS,4 Wheels Premium Gas Tank Stand W/roller,Home Appliances,,GAS007,
7143,1405,SEN-VAC-BRA-DHS20,PCS,20MM X M10 Sensui Vacuum Brazed Diamo,Home Appliances,,M10,
7144,2303,SWI-SOC-ELE-TSB913,PCS,13A Universal Track Socket Blue-red LED (B913),Lighting,,B913,
7145,2304,SWI-SOC-ELE-TSBL13,PCS,13A Flat Pin Tracks Socket Blue-red LED (BL13),Lighting,,BL13,
7146,2305,SWI-SOC-ELE-TSR13,PCS,13A Flat Pin Tracks Socket Red-blue LED (R13),Lighting,,R13,
7147,1925,SWI-CON-15A-180W-TC-10019,PCS,Taicon Power Supply 15A 12V 180W (big),Electrical,Taicon,,
7148,2373,TOO-BOX-NIE-H/D-178,PCS,Nietz 178 H/d Duty Tool Box W 2 Organizer,Hand Tools,Nietz,,
7149,1026,NIP-TIM-1L-T,CAN,1L Nippon Timbershade Tint Base,Paint & Sundries,Nippon Paint,,
7150,1427,BOS-2608-680-292,PCS,Sds + Drill Bit S3 22 X 200/260MM,Power Tool Accessories,Bosch,200/260MM,
7151,2355,NUM-PUNC-50730050,SET,Nietz 0-9 Number Punches 5MM 5730050,Signage & Numbering,Nietz,,
7152,1441,VAL-SOR-SRTWT806,PCS,Sorento S/s Chrome Plated Angle Valve,Plumbing,Sorento,SRTWT806,
7153,1880,BOS-1619-P06-346,SET,Carbon Brush Set (gks 190),Power Tools,Bosch,,
7154,1939,SWI-CON-10A-120W-TC-10990,PCS,Taicon Power Supply 10A 12V 120W (big),Electrical,Taicon,,
7155,1080,NIP-QGL-1L-T,CAN,1L Nippon Q-glo Tint Base,Paint & Sundries,Nippon Paint,,
7156,1444,BOS-2608-680-290,PCS,Sds + Drill Bit S3 20 X 200/260MM,Power Tool Accessories,Bosch,200/260MM,
7157,1497,TOO-NIE-PLU-COU-600PHA,PCS,Nietz High Flow Quick Coupler Plug 50861602,Electrical,Nietz,600PHA,
7158,1614,TOO-COM-GLO-30MM,PCS,Glotool Combination Wrench 30MM,Hand Tools,Glotool,,
7159,1613,TOO-COM-GLO-29MM,PCS,Glotool Combination Wrench 29MM,Hand Tools,Glotool,,
7160,1507,NIE-PLU-SOC-50046921,PCS,Nietz Spark Plug W/magnetic (6PT) 50046921,Electrical,Nietz,6PT,
7161,1943,TOO-NIE-ALL-KEY-14MM,PCS,Nietz E/long Ball Point Satin Wrch 53252140 14MM,Power Tools,Nietz,,
7162,1524,NIE-SOC-HAN-DEE-06P-1/2-28MM,PCS,Nietz Dr Deep Cr Socket (6PT) 50042028 28MM,Electrical,Nietz,6PT,
