ordinal,source_position,item_code,uom,display_name,category,detected_brand,detected_model,prior_page
6803,1876,"TOO-NIE-SOC-HAN-1/2""-13MM",PCS,Nietz Dr Chrome Socket (12PT)50043013 13MM,Electrical,Nietz,12PT,
6804,1992,TOO-COM-GLO-16MM,PCS,Glotool Combination Wrench 16MM,Hand Tools,Glotool,,
6805,2361,"TOO-CHI-NIE-5""",PCS,Nietz Centre Punch 120MM 551-84-412,Power Tools,Nietz,,
6806,1951,FIT-BUT-ELB-32X32MM,PCS,Buteline PE Elbow 32X32MM,Plumbing,Buteline,32X32MM,
6807,1258,BOS-2608-578-114,PCS,Masonry Drill Bit 3MM X,Power Tool Accessories,Bosch,30/60MM,
6808,1313,BRU-END-HAW-509062,PCS,Glotool E/brush (b) 19MM,Power Tool Accessories,Glotool,509062-9009C,
6809,2307,TOO-COM-GLO-07MM,PCS,Glotool Combination Wrench 07MM,Hand Tools,Glotool,,
6810,1139,BATH-CBFAL5568,PCS,Cab 5IN1 Bath Furn. Set-blk (alum),Bathroom,,5IN1,
6811,1179,BOS-GMAW-180DH,UT,I-weld MIG Welding Machine 180A,Welding,Bosch,,
6812,1654,PUM-WTR-IPA370IQC,UNIT,I-pump Auto Peripheral Pump 0.5HP,Pumps & Water,,0.5HP,
6813,1208,SIN-CAB-CKS317,PCS,Cabana S/steel Kitchen Sink CKS317,Kitchen & Sinks,,CKS317,
6814,1211,BATH-CBF3611,PCS,Cab Bath Furn.-bl,Bathroom,,CBF3611,
6815,1212,BATH-CBF3612,PCS,Cab Bath Furn.-wh,Bathroom,,CBF3612,
6816,1788,PUM-WTR-IPA750,UNIT,I-pump Automatic Pump,Pumps & Water,,IPA750,
6817,2325,BOX-ICE-200LTR,PCS,Insulated Ice Box (ks) 200LTR,Housewares,,200LTR,
6818,2420,LAD-ALU-WEL-D08,UNIT,Alum Welded Ladder - D08,Ladders & Access,,D08,
6819,1298,SIN-CAB-CKS319,PCS,Cabana S/s Kitchen Sink,Kitchen & Sinks,,CKS319,
6820,2166,WEL-MAC-STW-160E,UNIT,Starweld Welding Machine Acc. Mma 160E,Welding,,160E,
6821,1885,PAI-SPR-GUN-TM-71,UNIT,Haupon Eletric Paint Spray Gun (home Painter),Paint & Sundries,,TM-71,
6822,2501,LAD-ALU-WEL-D07,UNIT,Alum Welded Ladder - D07,Ladders & Access,,D07,https://nietz.com.my/product-category/general-hardware/ladders/
6823,1260,FAN-STA-OS-26SF,PCS,Osaki Industrial Stand Fan 26,Fans & Ventilation,,OS-26SF,
6824,1323,SHO-CAB-CSS8801,PCS,Cab Exposed Shower Set,Bathroom,,CSS8801,
6825,1324,SHO-SAN-SSP-6005503SS,PCS,S600 3WAY Bath Shower Set For Water Heater,Bathroom,,S600,
6826,1980,DC-S1P-FF02-180,SET,Polisher / DSP02-180,Power Tools,,DSP02-180,
6827,1327,TOW-SRT764-24-CR,PCS,Srt Moveable Towel Shelf 600MM (chrome),Bathroom,,SRT764-24-CR,
6828,1979,DC-M1Y-FF02-185,SET,Electric Circular Saw (1100W),Power Tools,,DMY02-185,
6829,1291,FAN-CEI-KDK-K14X2,SET,Kdk Ceiling Fan 56 Pbr,Fans & Ventilation,,K14X2,
6830,1325,TAP-CAB-CB4942-BL,PCS,Cabana High Basin Cold Tap (matt Black),Bathroom,,CB4942-BL,
6831,1353,GAS-STO-BGC-8823,PCS,Butterfly Double Gas Stove BGC-8823,Kitchen & Sinks,,BGC-8823,
6832,2475,SCA-CAM-SP100KG-3100010,PCS,Camry-spring Scale,Housewares,,SP/100KG,
