ordinal,source_position,item_code,uom,display_name,category,detected_brand,detected_model,prior_page
6863,1584,TAP-CAB-CB4934-CR,PCS,Cabana Basin Cold Tap CB4934-CR,Bathroom,,CB4934-CR,
6864,1550,FAN-TAB-PSN-F-MN304-GR,PCS,MN304-12 Table Fan (grape Purple),Fans & Ventilation,,MN304-12,
6865,1767,HOS-GAR-SET-ECO15M1107,SET,Ecogreen- Iron Hose Reel Set 15M,Fishing & Tackle,,EG1107,
6866,2179,BOS-1600-A00-F6X,PCS,Battery Pack 12V 2.0AH,Electrical,Bosch,,
6867,2251,DC-Z1J-FF02-13,SET,Electric Impact Drill / DZJ02-13,Power Tools,,DZJ02-13,
6868,1526,NIP-ZIN-GRE-GRE-5L,CAN,5L Nippon Zinc Phosphate Pr Fd Grey Green,Building Materials,Nippon Paint,,
6869,1520,"FAN-VEN-KDK-25TGQZ-10""",PCS,Kdk Ventilator FAN-10 25TGQ7,Fans & Ventilation,,FAN-10,
6870,1536,"FAN-VEN-KDK-25AQM7-10""",PCS,Kdk Ventilator FAN-10 25AQM7,Fans & Ventilation,,FAN-10,
6871,1665,OVEN-DEKKA-OV19N,PCS,Dekka Electric Oven OD-19N,Home Appliances,,OD-19N,
6872,1692,ELE-PEN-88001/B-E27,PCS,Aluminium Pendant Lamp 88001/B,Lighting,,88001/B,
6873,1605,"FAN-VEN-KDK-20AWM8-8""",PCS,Kdk Ventilator FAN-8,Fans & Ventilation,,FAN-8,
6874,1635,LIG-ECON-LED-LE908,SET,Econlite Keluar Sign (PC)10X White LED (jkr Approved),Lighting,,10X,
6875,1661,GAS-STO-MQL-C30,SET,Lgp Cast Iron Gas Stove Mql C-30,Kitchen & Sinks,,C-30,
6876,1671,TAP-PRE-TK-4506S,PCS,Premio: Wall Sink Tap TK-4506S,Kitchen & Sinks,,TK-4506S,
6877,1693,ELE-PEN-88005/A-E27,PCS,Aluminium Pendant Lamp 88005/A,Lighting,,88005/A,
6878,1738,SHO-CAB-CSA401,UNIT,Cabana S/steel Arm 451MM,Bathroom,,CSA401,
6879,1710,SINK-TAP-DE115A-RP,NOS,Doe Cp Brs P. Sink Tap W/ A. Line ABS Hdl,Kitchen & Sinks,,1/2IN,
6880,1737,ELE-PEN-9393/3,SET,9393/3 Pendant Lamp (E27X3),Lighting,,E27X3,
6881,2407,DC-Q1B-FF-2000,SET,Heat Gun / DQB2000,Power Tools,,DQB2000,
6882,2494,ELE-LED-SOL-40W-6500K,PCS,Solar Panel + Solar Light 40W,Electrical,,6500K,
6883,1240,BOS-F016-800-360,PCS,Hose For Aqt 33-10/ Aqt 35-12/ Aqt 37-13,Outdoor & Garden,Bosch,,
6884,1024,MIR-GLO-S-GLC2004A/G,PCS,(pill-gold) Aluminium Framer Mirror,Bathroom,,700X500X28MM,
6885,1020,BOS-BAT-2607-225-729,PCS,Battery Charge For 180,Electrical,Bosch,AL1820,
6886,1023,MIR-GLO-S-GLC2004A/B,PCS,(pill-black) Aluminium Framer Mirror,Bathroom,,700X500X28MM,
6887,1729,SINK-TAP-DE116A-RP,PCS,Doe Cp Brs Wall Sink W/a. Line ABS Hdl,Kitchen & Sinks,,1/2IN,
6888,1732,BLE-BD335,PCS,Dekka Blender,Home Appliances,,KD-335,
6889,1786,MIR-GLO-S-RD60A282(GGD),PCS,Dia. (round) Aluminium Frame-green Gold RD60A282(GOLD),Bathroom,,RD60A282,
6890,1791,X-ELE-LED-SOL-8032-100W-6500K,PCS,Solar Floodlight,Lighting,,TGS-8032-100W,
6891,2523,"FAS-SCR-CSK-1 1/2"" X 8G-BOX",BOX,Sr Csk Tapping Screw 1 1/2 X 8G (1000PCS/BOX),Fasteners & Fixings,,1000PCS/BOX,
6892,1785,MIR-GLO-S-RD60A282(BK),PCS,Dia. (round) Aluminium Frame-black RD60A282(BK),Bathroom,,RD60A282,
