ordinal,source_position,item_code,uom,display_name,category,detected_brand,detected_model,prior_page
6923,1246,BID-CAB-CB55WH,UNIT,Cabana Bidet (white),Bathroom,,CB55WH,
6924,1269,BOS-2608-680-289,PCS,Sds + Drill Bit S3 18 X 400/460MM,Power Tool Accessories,Bosch,400/460MM,
6925,1294,GRA-SOR-SRT382-6,PCS,Sorento Washing Machine Floor Trap,Plumbing,Sorento,SRT382-6,
6926,1295,MEA-TAP-GLO-A030M,PCS,Glotool Measuring Tape (type A) 30M,Hand Tools,Glotool,,
6927,1367,TOO-COM-GLO-32MM,PCS,Glotool Combination Wrench 32MM,Hand Tools,Glotool,,
6928,1308,VAL-ANG-SRTWT908SS,PCS,Sorento S/steel Angle Valve,Plumbing,Sorento,SRTWT908SS,
6929,1689,BOS-2608-610-001,PCS,Lambwool Bonnet,Power Tools,Bosch,,
6930,2536,TOO-COM-W0287N-21MM,PCS,Com Ratchet Wrench 21MM,Hand Tools,,W0287N,
6931,2567,TOO-COM-W0287M-20MM,PCS,Com Ratchet Wrench 20MM,Hand Tools,,W0287M,
6932,1820,BOS-2605-510-155,PCS,Protection Guard (cover For Gws 060),Power Tools,Bosch,,
6933,1969,TOO-CUT-SNI-W1010B,PCS,Tin Cutter 250MM,Power Tools,,W1010B,
6934,2033,RAINBOW-R007-1KG,BTL,1KG Rainbow Texture Paint R007 Black,Paint & Sundries,,R007,
6935,2583,SHH-FISH-NET-0.15D-30MM-30MD/6A,PCS,30MM (180/5),Fishing & Tackle,,0.15D,
6936,1316,NIE-SOC-HAN-DEE-06P-1/2-30MM,PCS,Nietz Dr Deep Cr Socket (6PT) 50042030 30MM,Electrical,Nietz,6PT,
6937,1317,NIE-SOC-HAN-DEE-06P-1/2-32MM,PCS,Nietz Dr Deep Cr Socket (6PT) 50042032 32MM,Electrical,Nietz,6PT,
6938,1039,TAR-SHT-GT2-09X12,SHT,Glotool PE Tarp Sheet - 9 X 12 (GT02),Building Materials,Glotool,GT02,
6939,2608,TOO-WRE-PIP-W300C,PCS,Heavy Pipe Wrench (300MM),Hand Tools,,W300C,
6940,1034,BOS-2608-585-898,PCS,Hss-g Cobal Bit 10.0MM,Power Tools,Bosch,,
6941,1391,NIE-SOC-HAN-DEE-06P-1/2-25MM,PCS,Nietz Dr Deep Cr Socket (6PT) 50042025 25MM,Electrical,Nietz,6PT,
6942,1476,TOO-NIE-SOC-HDL-14MM,PCS,Nietz T Hdl Deep Socket Wrch (6PT)50050214 14MM,Electrical,Nietz,6PT,
6943,1454,BOS-2608-680-288,PCS,Sds + Drill Bit S3 18 X 200/260MM,Power Tool Accessories,Bosch,200/260MM,
6944,2381,HOL-SET-BUL-SYLVIA-12V,SET,Sylvia/fle E27 12V DC 15W LED Bulb Holder Set (5M),Lighting,,E27,
6945,2403,TAP-BASIN-I601B,PCS,Pillar Basin Tap Katana Wtc Tic,Bathroom,,I601B,
6946,1068,NIE-SOC-IMP-THI-1/2-17MM,PCS,Nietz Thin Wall Deep Imp Skt 6PT 50141217 17MM,Hand Tools,Nietz,6PT,
6947,1192,TOO-HAM-BAL-GT2.0LB,PCS,Glotool Ball Pein Hammer 2.0LB,Hand Tools,Glotool,2.0LB,
6948,1970,TOO-NIE-SOC-KEY-L10MM,PCS,Nietz 1/2 IN Drive Long Allen Bxsocket 50240110 10MM,Power Tools,Nietz,,
6949,1491,NIE-SOC-HAN-DEE-06P-1/2-23MM,PCS,Nietz Dr Deep Cr Socket (6PT) 50042023 23MM,Electrical,Nietz,6PT,
6950,1930,BOS-2604-321-919,SET,Carbon Brush Gst 65,Power Tools,Bosch,,
6951,2505,COC-SINK-K505L-WALL,SET,Sink Tap: Lever Type -wall 1/2,Kitchen & Sinks,,K500L,
6952,1228,TOO-HAM-BAL-GT1.5LB,PCS,Glotool Ball Pein Hammer 1.5LB,Hand Tools,Glotool,1.5LB,
