ordinal,source_position,item_code,uom,display_name,category,detected_brand,detected_model,prior_page
6953,1993,TOO-NIE-SOC-KEY-L05MM,PCS,Nietz 1/2 IN Drive Long Allen Bxsocket 50240105 5MM,Power Tools,Nietz,,
6954,1099,TOR-ENE-LED-2AA,PCK,Eveready 2AA Brilliant,Other,Eveready,2AA,
6955,2044,BOS-TER-MALE-CON-IW-TCM35/50,PCS,Terminal Male Connector 35-50,Power Tools,Bosch,,
6956,2043,BOS-TER-FEMALE-CON-IW-TCF35/50,PCS,Terminal Female Connector 35-50,Power Tools,Bosch,,
6957,1599,"TOO-NIE-SOC-HAN-1/2""-30MM",PCS,Nietz Dr Chrome Socket (12PT)50043030 30MM,Electrical,Nietz,12PT,
6958,2356,RAINBOW-R007-500GM,BTL,Rainbow Texture Paint R007 Black,Paint & Sundries,,R007,
6959,2568,TOR-LIG-HEA-GD-G010,SET,Googda LED Head Light Rechargable,Lighting,,GD-G010,
6960,1621,NIE-SOC-HAN-DEE-12P-1/2-21MM,PCS,Nietz Dr Deep Cr Socket (12PT) 50045021 21MM,Electrical,Nietz,12PT,
6961,1690,BOS-2608-680-282,PCS,Sds + Drill Bit S3 14 X 150/210MM,Power Tool Accessories,Bosch,150/210MM,
6962,2357,SIN-CLE-DRA-H/D-3.2M,PCS,Heavy Duty Pipe Cleaner 3.2M,Chemicals & Adhesives,,YG577,
6963,1227,TOO-HAM-BAL-GT1.0LB,PCS,Glotool Ball Pein Hammer 1.0LB,Hand Tools,Glotool,1.0LB,
6964,1664,NIE-SOC-HAN-DEE-12P-1/2-16MM,PCS,Nietz Dr Deep Cr Socket (12PT) 50045016 16MM,Electrical,Nietz,12PT,
6965,1713,BOS-2608-680-275,PCS,Sds + Drill Bit S3 10 X 200/260MM,Power Tool Accessories,Bosch,200/260MM,
6966,1698,NIE-SOC-HAN-DEE-06P-1/2-16MM,PCS,Nietz Dr Deep Cr Socket (6PT) 50042016 16MM,Electrical,Nietz,6PT,
6967,1697,NIE-SOC-HAN-DEE-06P-1/2-09MM,PCS,Nietz Dr Deep Cr Socket (6PT) 50042009 9MM,Electrical,Nietz,6PT,
6968,2121,TOO-NIE-ALL-KEY-10MM,PCS,Nietz E/long Ball Point Satin Wrch 53252100 10MM,Power Tools,Nietz,,
6969,1760,TOO-COM-GLO-23MM,PCS,Glotool Combination Wrench 23MM,Hand Tools,Glotool,,
6970,1731,"TOO-NIE-SOC-HAN-1/2""-24MM",PCS,Nietz Dr Chrome Socket (12PT)50043024 24MM,Electrical,Nietz,12PT,
6971,1730,"TOO-NIE-SOC-HAN-1/2""-23MM",PCS,Nietz Dr Chrome Socket (12PT)50043023 23MM,Electrical,Nietz,12PT,
6972,2153,BOS-2608-900-571,PCS,Hex 9 Multi Purpose D/bit 5 X 50 X 100MM,Power Tools,Bosch,,
6973,1717,NIE-PLU-SOC-50046621,PCS,Nietz Spark Plug Socket 50046621,Electrical,Nietz,13/16IN,
6974,1318,NIETZ-MOU-FLA-WHE-57121060,PCS,Nietz Mounted Flap Wheel 57121060,Abrasives & Cutting,Nietz,25X20X6,
6975,1775,"TOO-NIE-SOC-HAN-1/2""-21MM",PCS,Nietz Dr Chrome Socket (12PT)50043021 21MM,Electrical,Nietz,12PT,
6976,1779,BOS-2608-633-528,PCS,Jigsaw Blade T234X,Power Tool Accessories,Bosch,T234X,
6977,2314,BOS-1619-P20-086,SET,Carbon Brush For Gbm 350,Power Tools,Bosch,,
6978,1320,NIETZ-MOU-FLA-WHE-57142060,PCS,Nietz Mounted Flap Wheel 57142060,Abrasives & Cutting,Nietz,40X25X6,
6979,1891,DRI-SDS-GT02-15260,PCS,Glotool Sds Drill 15 X 260MM,Power Tool Accessories,Glotool,GT-A02,
6980,1975,BOS-2608-631-017,PCS,Jigsaw Blade T127D,Power Tool Accessories,Bosch,T127D,
6981,1043,BOS-2608-603-703,PCS,Flexible Flap Disc 100MM P120,Power Tools,Bosch,P120,
6982,1044,BOS-2608-603-706,PCS,Flexible Flap Disc 100MM P220,Power Tools,Bosch,P220,
