ordinal,source_position,item_code,uom,display_name,category,detected_brand,detected_model,prior_page
7284,2419,DC-DCQF32DM-02V,SET,Cordless Brushless Blower 20V (4.0AH X1/4A),Power Tools,,X1/4A,
7285,1420,PRO-COAT-Z588-GRY-18KG,TIN,Procoat Z588 Grey 18KG,Paint & Sundries,,Z588,
7286,1052,TAP-SOR-SRTKT68SS-FRG,PCS,Sorento Pillar Mounted Kitchen Tap (full Rose Gold),Plumbing,Sorento,SRTKT68SS-FRG,
7287,2451,DC-ZIC-FF05-26B,SET,Hammer Drill / DZC05-26B,Power Tools,,DZC05-26B,
7288,1800,OVEN-MID-EM825AGS-BK,PCS,Midea Microwave Oven 25L,Home Appliances,,EM825AGS-BK,
7289,1540,PRO-COAT-Z388-GRY-18KG,TIN,Procoat Z388 Grey 18KG,Paint & Sundries,,Z388,
7290,1894,INS-IS8503(B),NOS,Wall Hung Basin IS8503(B),Bathroom,,IS8503,
7291,1328,BOS-0601-394-0L0,UNIT,Gws 750 Angle Grinder,Power Tools,Bosch,,
7292,2209,X-LOC-SGD-PL300-60MM-4PCS,SETS,60MM St. Guchi Armoured Padlock KA-4PCS PL300,Locks & Security,,KA-4PCS,
7293,1860,TAP-PRE-TK-4856Q,PCS,Premio: Double Sink Wall Tap,Kitchen & Sinks,,TK-4856Q,
7294,1883,"FAN-WAL-HIPSON-26""",SET,Hipson 26 Industrial Wall Fan (H638),Fans & Ventilation,,H638,
7295,1901,TAP-CAB-CB5133,UNIT,Cabana Pillar-mounted Sink Filter Tap,Kitchen & Sinks,,CB5133,
7296,1400,BOS-0601-2A8-0L0,UNIT,Gss 140 Orbital Sander,Power Tools,Bosch,,
7297,1109,COC-SOR-SRTWT5827,UNIT,Sorento Flexible Pillar Mounted Kitchen,Plumbing,Sorento,TAP-SRTWT5827,
7298,1468,BOS-0601-072-5K0,UNIT,Glm 30 Laser Rangefinder,Power Tools,Bosch,,
7299,1955,TOI-CER-CS102SQ,NOS,Ceramic Cistern Only - T507(H/L),Bathroom,,T507,
7300,1994,"TOO-VIC-GLO-6""",PCS,Glotool Bench Vice 6,Hand Tools,Glotool,,
7301,2577,HOS-6MTR-6396-736,PCS,"High Pressure Hose 13, MTR",Outdoor & Garden,,5MPA/6,
7302,2018,INS-IS1216(B),NOS,Wall Hung Wash Basin IS1216(B),Bathroom,,IS1216,
7303,1128,"FAN-WALL-TAICON-26""",SET,Taicon Industy Wall Fan 26,Fans & Ventilation,Taicon,,
7304,1403,NIP-FLO-5L-T,CAN,5L Nippon Floor Coating Tint Base,Paint & Sundries,Nippon Paint,,
7305,2007,FAN-CEI-SIB-SA56,SET,Siberiair Ceiling Fan Black - SA56,Fans & Ventilation,,SA56,
7306,2036,TAP-CAB-CB9112,UNIT,Cabana Wall-mounted Sink Tap (double),Kitchen & Sinks,,CB9112,
7307,2039,"TOO-VIC-GLO-5""",PCS,Glotool Bench Vice 5,Hand Tools,Glotool,,
7308,2125,X-ELE-CEI-LIG-38129-96W,PCS,Ceiling Light 38129/96W 3CLR-RD,Lighting,,38129/96W,
7309,2094,"SHO-CAB-CSH2062-10""",UNIT,Cabana 10 S/steel Shower Head (round) CSH2062-10,Bathroom,,CSH2062-10,
7310,2009,OVEN-DEKKA-OV25N,PCS,Dekka Electric Oven OD-25N,Home Appliances,,OD-25N,
7311,2052,MIR-CBMC66414-WH,PCS,Cabana Mirror Cabinet (alum.) CBMC66414-WH,Bathroom,,CBMC66414-WH,
7312,2076,MIR-CBMC66413-BL,PCS,Cabana Mirror Cabinet (alum.) CBMC66413-BL,Bathroom,,CBMC66413-BL,
7313,2259,SIN-MUD-8048,SET,Double Bowl (8048) (L800MM X X D250MM),Kitchen & Sinks,,L800MM,
