ordinal,source_position,item_code,uom,display_name,category,detected_brand,detected_model,prior_page
7467,2217,TOPLUS-HIG-GLO-5L-B,CAN,5L Toplus High Gloss B Base,Paint & Sundries,,,
7468,2184,KGR-ADH-3KG,TIN,Kangaroo Brand 505 Super Adhesive 3KG,Chemicals & Adhesives,,,
7469,1807,ELE-PEN-420-E27-WHI,PCS,420 Pendant Lamp White,Lighting,,,
7470,2218,TOPLUS-HIG-GLO-5L-D,CAN,5L Toplus High Gloss D Base,Paint & Sundries,,,
7471,2222,FAN-WAL-OS-16WF,SET,Osaki 16 Wall Fan,Fans & Ventilation,,,
7472,2379,FAN-TAB-KDK-KB-404,PCS,Kdk Table Fan 16,Fans & Ventilation,,,
7473,2465,TOPLUS-HIG-GLO-5L-A,CAN,5L Toplus High Gloss A Base,Paint & Sundries,,,
7474,2049,ELE-PEN-420-E27-B+G,PCS,420 Pendant Lamp Black + Gold,Lighting,,,
7475,1909,RIC-COO-MRM10010BDG,PCS,Midea 1.0L Jartype Rice Cooker 500W,Home Appliances,,,
7476,2363,WEL-MAC-FIG-MMA200,UNIT,Fighter Inverter Welding Machine 200A,Welding,,,
7477,2296,"BBQ-IEM-PRE-2250CB-22""",UNIT,Iemseb Premium 22 Kettle Grill Charcoal Bbq Set,Home Appliances,,,
7478,2046,DC-DQE1200/30L,SET,Oil-free Air Compressor (30L),Power Tools,,,
7479,2051,JQB-SUNWAVE-65W,UNIT,Jqb Foldable Solar Panel 65W,Power Tools,,,
7480,2460,IND-VEN-AIR-12'',UNIT,Airbank 12 Industrial Ventilator,Fans & Ventilation,,,
7481,2610,ALP-WAT-HEA-EZY,UNIT,Alpha Instant Water Heater Ezy-e,Home Appliances,,,
7482,2352,JQB-SUNWAVE-110W,UNIT,Jqb Foldable Solar Panel 110W,Power Tools,,,
7483,2233,X-ELE-CEI-LIG-1721/1-32PCS,PCS,1721/1 L/ceiling Lamp With I/c Control,Lighting,,,
7484,2234,X-ELE-CEI-LIG-1721/2-32PCS,PCS,1721/2 L/ceiling Lamp With I/c Control,Lighting,,,
