ordinal,source_position,item_code,uom,display_name,category,detected_brand,detected_model,prior_page
7314,2054,TAP-CAB-CB4930-RG,PCS,Cabana Basin Cold Tap Rose Gold,Bathroom,,CB4930-RG,
7315,1241,COC-SIN-SRTKT1832SS,PCS,Sorento Brass Chr Pillar Kitchen Tap - SRTKT1832SS,Plumbing,Sorento,SRTKT1832SS,
7316,1242,COC-SIN-SRTKT1843SS,PCS,Sorento Brass Chr Pillar Kitchen Tap - SRTKT1843SS,Plumbing,Sorento,SRTKT1843SS,
7317,2129,ELE-PEN-8260/3,SET,8260/3 Pendant Lamp (E27X3),Lighting,,E27X3,
7318,1588,BOS-2607-019-116,SET,Hss-g Bit Set 19 Piece,Power Tools,Bosch,,
7319,2031,LETR-PUNC-50731080,SET,Nietz A-z Letter Punches 8MM 50731080,Signage & Numbering,Nietz,,
7320,2204,SIN-CAV-CA819,PCS,S/s Laundry Sink,Kitchen & Sinks,,CA819,
7321,2118,TOI-SQU-PAN-C205,PCS,C205 Squatting Pan W/foot Rest,Bathroom,,C205,
7322,2099,X-ELE-LED-SOL-50W-6500K,EA,Solar Panel + LED Flood Light 50W,Lighting,,6500K,
7323,1255,TAP-SIN-SRTKT1961SS-BL-DIY,PCS,Sorento Pillar Mou Flex Kitchen Tap S/s-matt Blk,Plumbing,Sorento,SRTKT1961SS-BL-DIY,
7324,1257,BAS-SOR-SRTWT5865-GM,PCS,Sorento Hose Bib Tap-gm,Plumbing,Sorento,SRTWT5865-GM,
7325,1205,ELE-CAB-SPEAKER-COSTA-30/0.18MMX2C,COIL,Taicon Speaker Wire Pink,Electrical,Taicon,30/0.18MMX2C,
7326,1492,NIP-IND-ENA-228-800-5L,CAN,5L Nippon Ind Enamel 228 Black 800,Paint & Sundries,Nippon Paint,,
7327,1493,NIP-IND-ENA-228-999-5L,CAN,5L Nippon Ind Enamel 228 White 999,Paint & Sundries,Nippon Paint,,
7328,1131,RIC-COO-PSN-SR-E10A-S,PCS,Panasonic 1.0L Rice Cooker,Home Appliances,Panasonic,,
7329,1286,BAS-SOR-SRTWT5865-GY,PCS,Sorento Hose Bib Tap-golden Ylw,Plumbing,Sorento,SRTWT5865-GY,
7330,2170,GAS-STO-BU01-013,SET,Butterfly Gas Cooker,Home Appliances,,K-30A/BG-30A,
7331,2317,ELE-CEI-LIG-2847/2WH,SET,L/ceiling Lamp,Lighting,,2847/2WH,
7332,2473,LOC-SGD-PL100-50MM3PC,SET,Armor Solid Brass Cp Anti-cut Padlock APL1000-50MM KA3PCS,Locks & Security,,APL1000-50MM,
7333,1088,FAN-PSN-FV-20AUM8,PCS,Panasonic 8 Wall Mounted V Fan,Fans & Ventilation,Panasonic,,
7334,1285,BAS-SOR-SRTWT5865-FRG,PCS,Sorento Hose Bib Tap-frg,Plumbing,Sorento,SRTWT5865-FRG,
7335,2478,TOO-WRE-PIP-W900C,PCS,Heavy Pipe Wrench (900MM),Hand Tools,,W900C,
7336,2215,TAP-PRE-TK-3016Q,PCS,Premio: Pillar Sink Tap TK-3016Q,Kitchen & Sinks,,TK-3016Q,
7337,2257,MIR-CAB-CBM1030,UNIT,Cabana Mirror (black),Bathroom,,500X700,
7338,2258,MIR-CAB-CBM105-BL,PCS,Cabana Mirror CBM105-BL,Bathroom,,CBM105-BL,
7339,2324,X-ELE-CEI-LIG-3011/96W 3CLR,PCS,Ceiling Light 3CLR 3011-96W,Lighting,,3CLR,
7340,1629,BOS-2607-017-409,SET,Bosch V-line Set (68PCS),Power Tools,Bosch,,
7341,1675,BOS-0601-077-0K0,UNIT,Gvd 1000-17 Voltage Tester,Power Tools,Bosch,,
7342,2264,"TOO-VIC-GLO-4""",PCS,Glotool Bench Vice 4,Hand Tools,Glotool,,
7343,1007,TOO-SOC-SET-8-32,SET,Glotool Socket Set,Hand Tools,Glotool,8MM-32MM,
