ordinal,source_position,item_code,uom,display_name,category,detected_brand,detected_model,prior_page
7013,1816,VAC-DEC-BHFEA18D1,UNIT,Black+decker Avenger 20V Cordless Stick Vacuum,Power Tools,,BHFEA18D1,
7014,2364,WEL-MAC-STA-MIG160,UNIT,Starweld Skill Welding Machine 1KG Acc,Welding,,ACC.MIG160,
7015,2421,LAD-ALU-WEL-D12,UNIT,Alum Welded Ladder - D12,Ladders & Access,,D12,
7016,1250,"FAN-CEI-SIB-SI12-52""",SET,Siberiair 52 Ceiling Fan,Fans & Ventilation,,LIGHT-SI12,
7017,1336,SIN-CAB-CKS315,PCS,Cabana S/steel Kitchen Sink CKS315,Kitchen & Sinks,,CKS315,
7018,1245,"FAN-CEI-KDK-K14PH-WA-56""",PCS,56 Kdk DC Ceiling Fan (wood Acacia),Fans & Ventilation,,K14PH-WA,
7019,1889,DC-DCKIT36BK,SET,+ (2.0AH X2/3A),Power Tools,,X2/3A,
7020,1378,MIX-CAB-C8122,PCS,Cabana Bath/shower MIXER-C8122,Bathroom,,MIXER-C8122,
7021,2514,LAD-ALU-WEL-D10,UNIT,Alum Welded Ladder - D10,Ladders & Access,,D10,https://nietz.com.my/product-category/general-hardware/ladders/
7022,1297,PSN-MJ-DJ01SSL,PCS,Juicer-silver,Home Appliances,,MJ-DJ01SSL,
7023,1908,PUM-TSU-HPC6120,UNIT,Tsunami High Pressure Cleaner,Power Tools,,HPC6120,
7024,2030,ELE-LED-FLO-SOR-300W-6500K,PCS,Ilite Solar Spotlite ILS-300W 6500K,Electrical,,ILS-300W,
7025,1384,INS-IS1503,SET,Wall Hung Basin & Pedestal Set,Bathroom,,IS1503,
7026,1351,EXH-FAN-OS-18EF,PCS,Osaki Industrial Exhaust Fan 18 240V,Fans & Ventilation,,OS-18EF,
7027,1341,FAN-CEI-KDK-K14XZ,SET,Kdk Ceiling Fan,Fans & Ventilation,,K14XZ,
7028,1407,VAC-DEC-D1E20V,UNIT,Black+decker 20V Max Pc Dustbuster+ Bat 2.0AH,Home Appliances,,BCHV001D1E,
7029,2057,DC-M1Q-FF-65,SET,Jig Saw / DMQ65,Power Tools,,DMQ65,
7030,2124,X-BOS-0601-216-1L6,UNIT,Gsb 10RE Impact Drill Set,Power Tools,,10RE,
7031,1075,BOS-0603-947-080,UNIT,Bosch 3.6V Cordless Easy Air Pump,Power Tools,Bosch,,
7032,1498,WAS-BAS-IS8025A,NOS,IS8025A Art Basin,Bathroom,,IS8025A,
7033,1086,BOS-2608-615-005,PCS,"Standard For Concrete 300MM (12"")",Power Tools,Bosch,,
7034,2058,DOR-WOO-NA11,PCS,NA11 Solid Door 33 3/4 X 83,Doors & Hardware,,NA11,
7035,2130,LAS-MAC-HTM-5500,SET,Hitmax Laser Level Machine (w,Power Tools,,HTM-5500,
7036,1461,TAP-CAB-CB4907,UNIT,Cabana Basin Cold Tap CB4907,Bathroom,,CB4907,
7037,1456,EXH-FAN-OS-16EF,PCS,Osaki Industrial Exhaust Fan 16 240V,Fans & Ventilation,,OS-16EF,
7038,1517,VAC-DEC-DVA315JF,UNIT,Black+decker 10.8V Mpp Hand Vacuum,Home Appliances,,DVA315JF,
7039,1447,"FAN-WALL-NIKO-26""",PCS,Niko Fi- 26 Ind. Wall Fan 240V,Fans & Ventilation,,FB-65,
7040,1485,MIR-GLO-S-GLC4001N(LED),PCS,Dia. (round) LED Mirror (led),Lighting,,DIA.600X4MM,
7041,2176,TOO-WRE-AIR-EA-1302,UNIT,Esko 1/2 Air Impact Wrench,Power Tools,,EA-1302,
7042,1418,"FAN-WALL-KDK-KU453-18""",PCS,18 Kdk Wall Fan,Fans & Ventilation,,KU453,
