ordinal,source_position,item_code,uom,display_name,category,detected_brand,detected_model,prior_page
7043,2084,DOR-WOO-KY503,PCS,KY503 33 3/4 X 83,Doors & Hardware,,KY503,
7044,1534,FAN-STA-OS-20SF,PCS,Osaki Commercial Stand Fan 20,Fans & Ventilation,,OS-20SF,
7045,2074,GAR-SPR-TAR-BAT-16LTR,SET,Target Sprayer Electric,Outdoor & Garden,,16.0LTR,
7046,1747,"IND-TRO-KINTA-10""",UNIT,"King Kong H/d Two Wheel Hand Trolley- (10"")",Building Materials,,KT-1028,
7047,1574,BAS-CAB-CWB1409-CB,PCS,Cabana Counter Top Basin,Bathroom,,CWB1409-CB,
7048,1636,MIX-CAB-CB4723,PCS,Cabana Bath/shower MIXER-CB4723,Bathroom,,MIXER-CB4723,
7049,1460,NIP-ODO-SFT-MATT-5L-P,CAN,5L Nippon Odourlite Soft Matt - P,Paint & Sundries,Nippon Paint,,
7050,1501,FAN-STA-PSN-F-MX405-CA,PCS,MX405-16 Stand Fan (champagne),Fans & Ventilation,,MX405-16,
7051,1535,FAN-STA-PSN-F-MX405-BC,PCS,MX405-16 Stand Fan (purplish Blue),Fans & Ventilation,,MX405-16,
7052,2193,DC-ZIJ-FF04-13(SET),SET,Electric Impact Drill / DZJ04-13,Power Tools,,DZJ04-13,
7053,1522,GAS-STO-BGC-8826,PCS,Butterfly Double Gas Stove BGC-8826,Kitchen & Sinks,,BGC-8826,
7054,1148,BOS-0601-1C1-0L0,UNIT,Gbm 400 Drill,Power Tools,Bosch,,
7055,1521,"FAN-WALL-KDK-KU-408-YG-16""",PCS,Kdk Wall FAN-16 KU408-YG,Fans & Ventilation,,FAN-16,
7056,1552,GAS-STO-BGC-933/305,PCS,Butterfly SS Double G/cooker,Home Appliances,,BGC-933/305,
7057,1625,TOI-CER-CS102WH,NOS,Ceramic Cistern Only - T506(L/W),Bathroom,,T506,
7058,1856,"IND-TRO-KINTA-8""",UNIT,"King Kong H/d Two Wheel Hand Trolley- (8"")",Building Materials,,KT-0825,
7059,2292,VAC-MID-MVC-V18K-BG,PCS,Midea Bagless Canister Vacuum Cleaner 1800W Black,Chemicals & Adhesives,,MVC-V18K-BG,
7060,2281,DC-DVC12,SET,12L Vacuum Cleaner (1200W),Chemicals & Adhesives,,DVC12,
7061,2301,LET-BOX-S/S-FX-918,UNIT,S/steel Letter Box (FX-918),Doors & Hardware,,FX-918,
7062,2295,BAT-CHA-20A-12/24V,UNIT,20A Battery Charger,Electrical,,12/24V,
7063,2298,DC-M1B-FF-82X1,SET,Electric Planer,Power Tools,,DMB82,
7064,1578,FAN-CEI-ALP-FC38,UNIT,Cosa CX20 5B/56 Ceiling Fan -led Matt Black,Fans & Ventilation,,CX20,
7065,1685,TAP-CAB-CB3804,UNIT,Cabana Pillar-mounted Sink Tap CB3804,Kitchen & Sinks,,CB3804,
7066,1895,LOC-COL-RK505,SET,Colex Key-a-like Anti Cut Padlock RK-505,Locks & Security,,RK-505,
7067,1798,LEO-SUS304-TWI-L2302PF,PCS,Leon Twins Sink SUS-304 TAP-L2302PF,Kitchen & Sinks,,SUS-304,
7068,2415,X-TOO-DRI-SET-MKX-2018-12V,SET,Mark-x 12V Cordless Drill (MKX-2018),Power Tools,,MKX-2018,
7069,1679,FAN-TAB-PSN-F-MN404-GP,PCS,MN404-16 Table Fan (grape Purple),Fans & Ventilation,,MN404-16,
7070,1745,ELE-PEN-88010-E27X3,PCS,Pendant Lamp 88010/A,Lighting,,88010/A,
7071,1878,WAL-FOL-V8500,SET,Vago S/steel Flexible Cloth Han,Lighting,,4FT-6FT,
7072,2424,DC-Q1F-FF-32,SET,Blower Vacuum,Power Tools,,DQF32,
