ordinal,source_position,item_code,uom,display_name,category,detected_brand,detected_model,prior_page
7103,1127,ELE-LED-FLO-IP66-200W-6500K-NEW,PCS,LED Floor Light -200W New,Lighting,,6500K,
7104,1136,TOO-NIE-SOC-COU-800SHA,PCS,Nietz High Flow Quick Coupler Socket 50862802,Electrical,Nietz,800SHA,
7105,1754,BOS-HVLP-888,UNIT,Sumo High Efficiency Paint Spray Gun 1.4MM,Paint & Sundries,Bosch,,
7106,1906,GUIDE BAR-MS170,PCS,14 Stihl Guide BAR,Other,STIHL,,
7107,1426,BOS-2608-615-113,PCS,7 Diamond Cutting Blade Universal,Power Tools,Bosch,,
7108,1170,TOO-NIE-SOC-COU-600SHA,PCS,Nietz High Flow Quick Coupler Socket 50862602,Electrical,Nietz,600SHA,
7109,2029,ELE-CEI-LIG-6615-22W,PCS,6615 3 Colour Ceiling Lamp With I/c Control,Lighting,,2X22W,
7110,2152,X-AMFC-3402,PCS,Aimer Pillar Sink Tap,Kitchen & Sinks,,AMFC-3402,
7111,2323,TOO-WRE-ADJW375,PCS,Adjustable Wrench 375MM,Hand Tools,,WNS375B,
7112,1749,PRO-COAT-Z388-GRY,TIN,Procoat Z388 Grey 4KG,Paint & Sundries,,Z388,
7113,2008,GAS-STO-BUT-HEA,PCS,Butterfly H/p Burner Only,Home Appliances,,5-C/5B,
7114,1225,SOA-CAB-CPA1008C,UNIT,Cabana Soap Dispenser 300ML,Bathroom,,CPA1008C,
7115,1410,BOS-2607-019-115,SET,Hss-g Bit Set 10 Piece,Power Tools,Bosch,,
7116,2050,GAS-STO-GK320,PCS,Dekka Gas Stove KD320,Kitchen & Sinks,,KD320,
7117,1799,MAC-SEA-90000297,PCS,Iron Hand Pressure Sealing Machine/impulse Sealer SF-200/200MM,Paint & Sundries,,SF-200/200MM,
7118,2112,ELE-CEI-LIG-9403/400-3CLR,PCS,Ceiling Light 9403-400 3CLR,Lighting,,3CLR,
7119,1546,BOS-1619-PC1-798,PCS,Mixer Attachment Grw 140,Power Tools,Bosch,,
7120,2079,SEN-VAC-BRA-DCB35,PCS,Blimax Vacuum Diamond Brazed Core Bit,Home Appliances,,DCB35,
7121,2066,"X-CHA-SAW-CHAIN-20""",PCS,"20""M Stihl Chain","Rope, Chain & Netting",STIHL,,
7122,1558,BOS-F016-F04-464,PCS,Trigger Aqt 35-12/ 37-13/ 42-13,Power Tools,Bosch,,
7123,2335,WEL-ELE-KOB-LB52-2.6MM,PCK,Kobelco Welding Electrode LB52 X 2.6MM,Welding,,LB52,
7124,1582,NIP-LAT-118,PAIL,18L Nippon Latex 118,Paint & Sundries,Nippon Paint,,
7125,1239,BOS-2608-680-295,PCS,Sds + Drill Bit S3 25 X 400/460MM,Power Tool Accessories,Bosch,400/460MM,
7126,2187,NIE-KEY-BOX-MET-50528020,PCS,Nietz Metal Key Box 20,Hand Tools,Nietz,,
7127,2277,X-TAB-LAM-016TL-WH,PCS,Table Lamp 016-WH,Lighting,,016-WH,
7128,1758,SWI-CON-30A-360W-TC-10021,PCS,Taicon Power Supply 30A 12V 360W (big),Electrical,Taicon,,
7129,1312,BOS-2608-680-293,PCS,Sds + Drill Bit S3 22 X 400/460MM,Power Tool Accessories,Bosch,400/460MM,
7130,1652,NIP-EAS-6117-7L,CAN,7L Easycoat Emulsion 6127 Precious Pink,Paint & Sundries,Nippon Paint,,
7131,1653,NIP-EAS-6166-7L,CAN,7L Easycoat Emulsion 6166 Moody Blue,Paint & Sundries,Nippon Paint,,
7132,2552,TOO-WRE-PIP-W450C,PCS,Heavy Pipe Wrench (450MM),Hand Tools,,W450C,
