ordinal,source_position,item_code,uom,display_name,category,detected_brand,detected_model,prior_page
7254,2253,GUN-TRA-ST64,PCS,Meite H/duty Pneumatic,Power Tools,,NAILER-ST64,
7255,2159,GRA-CUT-SUMO-SM-43N,UNIT,Sumo Brush Cutter SM43N,Outdoor & Garden,,SM43N,
7256,1143,TOO-MULTI-STMT81243-840,SET,110PCS Stanley Multi Tool Set,Power Tools,Stanley,,
7257,2250,DC-DCPL208AM,SET,Cordless Brushless Impact Drive 20V (2.0AH X2/2A),Power Tools,,X2/2A,
7258,1545,ALP-WAT-HEA-5000EP-WHI,UNIT,Alpha Instant Water Heater 5000EP-WHI,Home Appliances,,5000EP-WHI,
7259,1145,BOS-2608-615-006,PCS,"Standard For Concrete 350MM (14"")",Power Tools,Bosch,,
7260,2349,DC-DCJZ2060iAM,SET,Cordless Brushless Driver/hammer Drill 20V (2.0AH X2/2A) / DCJZ2060IAM,Power Tools,,X2/2A,
7261,1160,BOS-0600-847-ELO,UNIT,Easy Aqt 100 High P/cleaner,Chemicals & Adhesives,Bosch,,
7262,1720,SIN-CAB-CKS7306,PCS,Cabana Kitchen Sink CKS7306,Kitchen & Sinks,,CKS7306,
7263,1723,WAS-BAS-IS8207,NOS,IS8207 Art Basin,Bathroom,,IS8207,
7264,1740,TOI-TRP-WC-CWC605-S,PCS,Cab Close-couple Wash Down,Bathroom,,CWC605-S,
7265,2309,TOO-WRE-KPT-14SHM,UNIT(S),Kawasaki Impact Wrench - Kpt,Power Tools,,14SHM,
7266,2247,BLO-GWC1820PCF,UNIT,Black+decker Power Boost Blower 18V,Power Tools,,GWC1820PCF,
7267,1389,DC-DQE1200/10L,SET,Oil-free Air Compressor (10L),Power Tools,,DQE1200/10L,
7268,1617,FAN-CEI-ALP-FV37,UNIT,Alpha Vannus VC3- 3B/52 LED Ceiling Fan - Matt Black,Fans & Ventilation,,VC3-,
7269,1995,X-LOC-SGD-PL300-60MM-5PCS,SETS,60MM St. Guchi Armoured Padlock KA-5PCS PL300,Locks & Security,,KA-5PCS,
7270,2375,DC-DQU08-160,SET,Electric Mixer (1400W),Power Tools,,DQU08-160,https://www.dongchengtool.com/product/detail/1646877860838
7271,2387,TOO-BOS-HAMM-BRH616,SET,Bossman 20V Brushless Rotary Hammer (BRH616),Power Tools,,BRH616,
7272,1748,MIR-KT8002-500X700,PCS,Mirror Kt 8002-500X700,Bathroom,,8002-500X700,
7273,1213,BOS-0601-083-480,UNIT,Gis 500 Temperature Detector,Power Tools,Bosch,,
7274,2396,DC-DZC03-28,SET,28MM Electric Rotary Hammer,Power Tools,,DZC03-28,
7275,1006,TAP-SIN-SRTKT69SS-GM,PCS,Sorento Pillar Mounted Kitchen Tap (gunmetal),Plumbing,Sorento,SRTKT69SS-GM,
7276,1694,FAN-CEI-ALP-FA113,UNIT,Alpha AF22-BT/56 Ceiling Fan-pwt,Fans & Ventilation,,AF22-BT/56,
7277,1214,BOS-0601-2A6-1L0,UNIT,Ghg 18-60 Hot Air Gun,Power Tools,Bosch,,
7278,1722,"TOO-VIC-GLO-8""",PCS,Glotool Bench Vice 8,Hand Tools,Glotool,,
7279,1741,BATH-CBF66409-WHI,PCS,Cab 6 IN 1 S/steel Bathroom Furnit Set-whi,Bathroom,,CBF66409,
7280,1045,COC-SIN-SRTWT5812,PCS,Sorento Wall Mou. Kitchen Double Tap,Plumbing,Sorento,SRTWT5812,
7281,1097,STA-KAR-VAC-WD1,UNIT,Wd 1 Karcher Vacuum Cleaner,Chemicals & Adhesives,Stanley,,
7282,1029,TAP-SIN-SRTKT72SS,PCS,Sorento Pillar Mounted Kitchen Cold Tap,Plumbing,Sorento,SRTKT72SS,
7283,1300,BOS-0603-264-670,UNIT(S),Pkp 3.6 Li Cordless Hot Glue Gun,Power Tools,Bosch,,
