ordinal,source_position,item_code,uom,display_name,category,detected_brand,detected_model,prior_page
7344,1375,GRA-SOR-SRT6643-GM,PCS,Sorento Anti Odour Floor Trap,Plumbing,Sorento,150X150MM,
7345,1899,PRO-COAT-Z588-WHI,TIN,Procoat Z588 White 4KG,Paint & Sundries,,Z588,
7346,2271,TAP-SINK-QXY-AT-5045,PCS,QXY-AT-5045: Arc / Wall Sink Tap,Kitchen & Sinks,,QXY-AT-5045,
7347,2275,TOO-WRE-PIP-A1200MM,PCS,Glotool Pipe Wrench American Type 48,Hand Tools,Glotool,,
7348,1309,BAT-STA-SCB12S,PCS,Battery 12V Max (10.8V) 1.5AH Stanley,Electrical,Stanley,SCB12S-B1,
7349,2200,LETR-PUNC-50731060,SET,Nietz A-z Letter Punches 6MM 50731060,Signage & Numbering,Nietz,,
7350,2226,LETR-PUNC-50731050,SET,Nietz A-z Letter Punches 5MM 50731050,Signage & Numbering,Nietz,,
7351,1372,COC-SOR-SRTWT2201,UNIT,Sorento Wall Mounted Kitchen,Plumbing,Sorento,TAP-SRTWT2201,
7352,2395,COC-BAS-SSS-L233,PCS,Leon Sus 304 S/steel Basin TAP-L233,Bathroom,,TAP-L233,
7353,2400,SIN-TAP-TWINS-LUX-LT8550B,PCS,Luxtec Twins Spout Pillar Sink Tap,Kitchen & Sinks,,LT-8550B,
7354,2321,SHO-CAB-CSH28211,UNIT,"Cabana ABS Rain Shower Head (200X200-8"")",Bathroom,,200X200-8,
7355,2542,BOS-0600-8A7-508,PCS,(508) 3 IN 1 Nozzle,Power Tool Accessories,Bosch,,https://www.bosch-diy.com/my/en/p/universalaquatak-125-06008a7al0
7356,1022,LOC-YALE-Y124B-70-1,SET,Yale Satin Chrome Boron Shackle Padlock Y124B-70-1,Lifting & Rigging,Yale,Y124B-70-1,
7357,1794,BOS-2608-615-114,PCS,9 Diamond Cutting Blade Standard,Power Tools,Bosch,,
7358,2344,SHO-CAB-CSH7012,UNIT,Cabana ABS Rain Shower (200MM),Bathroom,,CSH7012,
7359,1429,GRA-SOR-SRT6641,PCS,Sorento Anti Odour Floor Trap Satin Finish,Plumbing,Sorento,SRT6641,
7360,1437,SOA-CAB-CPA1088S,UNIT,Cabana Soap Dispenser (1000ML),Bathroom,,CPA1088S,
7361,2268,LETR-PUNC-50731040,SET,Nietz A-z Letter Punches 4MM 50731040,Signage & Numbering,Nietz,,
7362,2345,TAP-CAB-CB5109A,UNIT,Cabana Pillar-mounted Sink Tap CB5109A,Kitchen & Sinks,,CB5109A,
7363,2346,TAP-CAB-CB9109A,UNIT,Cabana Pillar-mounted Sink Tap CB9109A,Kitchen & Sinks,,CB9109A,
7364,2405,TOW-CAB-CB553-26,UNIT,Cabana S/steel Towel BAR 26 (satin),Bathroom,,CB553-26,
7365,2534,PEN-T200-GREY,PAIL,Pentens T200 Fleseal GREY-5KG,Housewares,,T200,https://www.pentens.com/en/product-detail/T-200/
7366,2535,PEN-T200-WHI,PAIL,Pentens T200 Fleseal WHITE-5KG,Housewares,,T200,https://www.pentens.com/en/product-detail/T-200/
7367,1764,BOS-2608-615-118,PCS,Diamond Disc Universal 9,Power Tools,Bosch,,
7368,2097,TAP-CAB-CB9108A,UNIT,Cabana Wall-mounted Sink Tap CB9108A,Kitchen & Sinks,,CB9108A,
7369,2404,TAP-CAB-CB5108,UNIT,Cabana Wall-mounted Sink Tap CB5108,Kitchen & Sinks,,CB5108,
7370,1231,JUG-KHI-KET-EK18SS,SET,Khind - 1.8L Stainless Steel Kettle,Home Appliances,Khind,,
7371,1489,BAS-SOR-SRTW1200-BL,PCS,Sorento Pop Up Waste 80MM W/o Over Flow,Plumbing,Sorento,SRTW1200-BL,
7372,1108,SHH-REEL-SW4000,PCS,Samurai Ocean Reel (8+1BB),Fishing & Tackle,Samurai,8+1BB,
7373,1488,BAS-SOR-SRTW1100-BL,PCS,Sorento Pop Up Waste 80MM Over Flow,Plumbing,Sorento,SRTW1100-BL,
