ordinal,source_position,item_code,uom,display_name,category,detected_brand,detected_model,prior_page
7224,2055,X-WAT-FIL-4000-ACQUA-KH4K,UNIT,ACQUA4000,Power Tools,,ACQUA4000,
7225,1950,DC-DCKIT49BK,SET,+ (4.0AH X2/4A) DCMP6BK DCJZ2060IZ,Power Tools,,X2/4A,
7226,1985,JQB-JUMP-XPRESS-F39,UNIT,Jqb Jump Starter Jumpxpress F39,Power Tools,,F39,
7227,1949,DC-DCKIT47BK,SET,+ (4.0AH X2/4A) DCMQ85EK DCJZ2060IZ,Power Tools,,X2/4A,
7228,1971,TOO-WRE-AIR-RT5562,UNIT,Rotake 3/4 Air Impact Wrench,Power Tools,,RT5562,
7229,1907,PUM-SHOWFOU-SF-0512N,UNIT,Showfou Submersible Pump 2,Pumps & Water,,SF-0512D,
7230,2502,LAD-EXT-DOU-15X15,UNIT,Double Ext Ladder 15X15FT,Ladders & Access,,15X15FT,https://nietz.com.my/product-category/general-hardware/ladders/
7231,1543,SIN-SKS-7645,PCS,Stainless Steel Single Bowl K/sink,Kitchen & Sinks,,SWP-KS-250-7645,
7232,2082,X-BOS-0601-64C-8L0,UNIT,Gsa Sabre Saw,Power Tools,,1100E,
7233,1554,SIN-SWP-10549,PCS,Triple Bowl Kitchen Sink,Kitchen & Sinks,,SWP-KS-230-10549,
7234,1013,BOS-RP15G,UNIT,Robin Power Sprayer Set,Outdoor & Garden,Bosch,,
7235,1990,SUMO-LT1200N-6,UNIT,Sumo Gasoline Generator SM1200N-6,Outdoor & Garden,,SM1200N-6,
7236,1074,BOS-0601-224-1L0,UNIT,Ggs 5000L Straight Grinder,Power Tools,Bosch,,
7237,2040,TOO-WRE-KPT-220P,UNIT(S),Kawasaki Impact Wrench - Kpt - 220P,Power Tools,,220P,
7238,1542,SIN-CAB-CKS6407,PCS,Cabana Kitchen Sink Nanomagma S/steel 750MM,Kitchen & Sinks,,CKS6407,
7239,2028,COM-AIR-AB2.5HPOF,UNIT,Airbank Oil Free Air Compressor 2.5HP 24L,Power Tools,,2.5HP,
7240,1404,RIC-COO-BTY-PL-50,PCS,Butterfly Gas Rice Cooker,Home Appliances,,PL-50,
7241,1416,FAN-CEI-KDK-15Y2-S-004,SET,Kdk Ceiling Fan 60 Copper,Fans & Ventilation,,K15Y2,
7242,2069,COMPRESSOR-AIRBANK-AB2.5HP,UNIT,Airbank 2.5HP 24L Air Compressor,Power Tools,,2.5HP,
7243,2191,BAT-CHA-KENDE-SM2024,UNIT,Kende Battery Charger 24V,Electrical,,20AMP-SM2024,
7244,1093,BOS-0601-3A2-0L0,UNIT,Gpo 950 Polisher,Power Tools,Bosch,,
7245,1668,SIN-S/S-CLN-SXST8650R,UNIT,Sanix S/s Double B/sink + Stand,Kitchen & Sinks,,ST8650R,
7246,1117,BOS-0601-27A-3L0,UNIT,Gbg 35-15 Bench Grinder,Power Tools,Bosch,,
7247,1611,SIN-CAB-CKS7606-GY,PCS,Cabana S/s Undermount Kitchen Sink (gold Ylw),Kitchen & Sinks,,CKS7606-GY,
7248,2221,COM-AIR-ACO-AC24L,UNIT,Air Fighter/ouwenbull 2.5HP 24L Air Compressor,Power Tools,,2.5HP,
7249,1513,RIC-COO-PSN-BRC-6050,PCS,Butterfly 10L Electric Rice Cooker,Home Appliances,,BRC-6050,
7250,1838,DC-DZG06-6,SET,Percussion Hammer / (1400W),Hand Tools,,DZG06-6S,
7251,2236,DC-DCJZ2050IDE,SET,Cordless Brushless Driver/hammer Drill 20V (2.0AH X2/2A) / DCJZ2050I,Power Tools,,X2/2A,
7252,2450,DC-J1G-FF02-355,SET,Electric Cut Off Machine,Power Tools,,DJG02-355,
7253,2188,PUM-SHOWFOU-GF-100N,UNIT,Showfou Pump GF-100N,Pumps & Water,,GF-100N,
