source_position,item_code,uom,display_name,category,priority_score,priority_tier,detected_brand,detected_model,candidate_page_url,candidate_image_url,source_owner,rights_status,match_confidence,review_status,research_state,manufacturer,exact_model,variant_suffix,product_identity,source_url,source_type,source_tier,image_source_url,image_exactness,identity_confidence,image_confidence,research_notes,sibling_elimination,classification_reason,hard_failure,tls_verification_issue,first_pass_status,final_image_status,rights_status_final,evidence_asset_path,evidence_sha256,evidence_bytes
3301,"TOO-DRV-STA-PH0-1/8""X6""-9960651600",PCS,"Cushion Grip S/dr PHILIPS-1/8""X6""X0PT ( 0X150MM)",Power Tools,50.3,3,,PHILIPS-1/8,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3302,TOO-ELE-GUN-GLU-80W,PCS,80W Glue Gun,Chemicals & Adhesives,50.3,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3303,TOO-ELE-TES-PEN-K1304,PCS,Kakc Test Pen,Power Tools,50.3,3,,K1304,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3304,TOO-TYR-LEV-W0014C,PCS,"Type Lever 20""/500MM",Power Tools,50.3,3,,W0014C,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3305,TOPLUS-WEA-PLUS-5L-B,CAN,5L Toplus Weather Plus B Base,Paint & Sundries,50.3,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3306,WAS-TAP-PAI,PCS,Washi Tape 24MMX15M,Other,50.3,3,,24MMX15M,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3307,BNW-B&N-RBN-215-BOX,BOX,Sr G. I Boit & Nut 1/4 X 1 1/2 (box),Fasteners & Fixings,50.2,3,,RBN-215,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3308,BNW-BOL-SS304-M10-30MM,PCS,SS 304 Bolt - M10 X 30MM,Fasteners & Fixings,50.2,3,,M10,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3309,BNW-BOL-SS304-M12-25MM,PCS,SS 304 Bolt - M12 X 25MM,Fasteners & Fixings,50.2,3,,M12,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3310,"BRA-SHE-YG782-10""",PAIR,White H/duty Shelf Bracket 10,Housewares,50.2,3,,YG782,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3311,"CLI-HOS-GP-3/4""",PCS,Gp S/steel Hose CLIP-3/4 (13-19MM),Outdoor & Garden,50.2,3,,CLIP-3/4,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3312,DOR-ROL-TYSON-TY505,PCS,Tyson Sliding Roller,Doors & Hardware,50.2,3,,TY505,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
