source_position,item_code,uom,display_name,category,priority_score,priority_tier,detected_brand,detected_model,candidate_page_url,candidate_image_url,source_owner,rights_status,match_confidence,review_status,research_state,manufacturer,exact_model,variant_suffix,product_identity,source_url,source_type,source_tier,image_source_url,image_exactness,identity_confidence,image_confidence,research_notes,sibling_elimination,classification_reason,hard_failure,tls_verification_issue,first_pass_status,final_image_status,rights_status_final,evidence_asset_path,evidence_sha256,evidence_bytes
3701,DIS-DIA-BOS-100MM,PCS,Blimax Diamond Cup,Other,48.6,3,,WHEEL-Q2,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3702,DOR-CYL-ACL-2000/60MM,PCS,Ss/et Armor Cyl. Lock,Locks & Security,48.6,3,,ACL-2000/60MM,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3703,DOR-H&S-BS065MM,DOZ,Rb Hasp & STAPLE-65MM,Fasteners & Fixings,48.6,3,,STAPLE-65MM,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3704,ELE-ADA-EB2722,PCS,E27 To B22 Lamp Adaptor (black),Lighting,48.6,3,,E27,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3705,FAS-BOL-EXP-TRAC140-M10X110X60,PCS,M10 X 110 X 60 Brain Hook Expansion Bolt,Fasteners & Fixings,48.6,3,,M10,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3706,"FAS-SCR-F/H-5/8"" X 8#",PCK,Sr F/h Self Drilling Screw 5/8 X 8 (20PCS/PCK),Fasteners & Fixings,48.6,3,,20PCS/PCK,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3707,"FAS-SCR-TAP-CSK-6#1-1/2""",PACK,"6 X1-1/2""CSK Self Tap Screw-flat Head (20PCS/PCK)",Fasteners & Fixings,48.6,3,,X1-1/2,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3708,HHD-DKI-FLO-VAL,PCS,Dki Isb Cistern Float,Fishing & Tackle,48.6,3,,VALVE-440,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3709,HOS-CON-EG4027-40200009,PCS,Ecogreen-snap IN Dual Shut Off,Outdoor & Garden,48.6,3,,EG4027,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3710,HOS-GAS-ORA50,ROLL,Glogas Gas Hose Orange Red,Outdoor & Garden,48.6,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3711,IND-CAN-CANVAS,PCS,Kingsjaw Pyramid Canopy Canvas Only,Building Materials,48.6,3,,3X3MTR,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3712,LOC-BR-TZ6491SN,SET,Sn/et *jtc* Tubular Lever Lock,Locks & Security,48.6,3,,JTL-6491,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
