source_position,item_code,uom,display_name,category,priority_score,priority_tier,detected_brand,detected_model,candidate_page_url,candidate_image_url,source_owner,rights_status,match_confidence,review_status,research_state,manufacturer,exact_model,variant_suffix,product_identity,source_url,source_type,source_tier,image_source_url,image_exactness,identity_confidence,image_confidence,research_notes,sibling_elimination,classification_reason,hard_failure,tls_verification_issue,first_pass_status,final_image_status,rights_status_final,evidence_asset_path,evidence_sha256,evidence_bytes
2501,LAD-ALU-WEL-D07,UNIT,Alum Welded Ladder - D07,Ladders & Access,54.7,3,,D07,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2502,LAD-EXT-DOU-15X15,UNIT,Double Ext Ladder 15X15FT,Ladders & Access,54.7,3,,15X15FT,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2503,CHE-LUB-HD4D-200ML,TIN,4D Penetrant/lubricant Spray :,Chemicals & Adhesives,54.6,3,,HD420/200ML,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2504,CIMA-2648,SET,2648 L/ceiling Lamp Ic Control,Lighting,54.6,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2505,COC-SINK-K505L-WALL,SET,Sink Tap: Lever Type -wall 1/2,Kitchen & Sinks,54.6,3,,K500L,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2506,CUT-DIS-MARK-01600,PCS,Mr. Mark 110MM Wet Cutting Diamond Wheel (1.4X5X20MM),Abrasives & Cutting,54.6,3,,1.4X5X20MM,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2507,DC-S1B-FF03-110X100,SET,Orbital Sander,Power Tools,54.6,3,,DSB03-100,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2508,DOR-KEY-SGEP-S3030/60-SN,PCS,"Sn""st Guchi""single Key & Thumbturn Profile Cyl",Doors & Hardware,54.6,3,,SGEP-S3030/60,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2509,ELE-BUL-THL-15W-E14,PCS,Thl E14 15W Fridge Bulb,Lighting,54.6,3,,E14,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2510,FLO-PVC-NO.100-10,ROLL,PVC Flooring No. 100-10,Flooring,54.6,3,,NO.100-10,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2511,FLO-PVC-NO.483-13,ROLL,PVC Flooring No. 524-08,Flooring,54.6,3,,NO.524-08,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2512,GUM-HAR-3000W,PCS,Silicone Hardex G/p White,Chemicals & Adhesives,54.6,3,,HA-3000W,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2513,GUM-RAT-BOSNY-NO.214,CAN,Bosny 400ML Rat Glue (NO:214) (plastic Can),Chemicals & Adhesives,54.6,3,,NO:214,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2514,LAD-ALU-WEL-D10,UNIT,Alum Welded Ladder - D10,Ladders & Access,54.6,3,,D10,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2515,LAD-H/D-STRO-DS07,UNIT,Strongman D/s H/d Ladder DSHD07 7STEP,Ladders & Access,54.6,3,,DSHD07,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2516,SWI-T/SOC-MS3233-1.5M3G,PCS,Morries Extension Socket 3G 1.5M W Neon (pink),Electrical,54.6,3,,MS3233-1.5,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2517,TOO-NIE-ALL-KEY-04MM,PCS,Nietz E/long Ball Point Satin Wrch 53252040 4MM,Power Tools,54.6,3,Nietz,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2518,TOO-SET-W018,SET,W018 18PCS Tool Set,Power Tools,54.6,3,,W018,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2519,TOPLUS-HIG-GLO-1L-A,CAN,1L Toplus High Gloss A Base,Paint & Sundries,54.6,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
