source_position,item_code,uom,display_name,category,priority_score,priority_tier,detected_brand,detected_model,candidate_page_url,candidate_image_url,source_owner,rights_status,match_confidence,review_status,research_state,manufacturer,exact_model,variant_suffix,product_identity,source_url,source_type,source_tier,image_source_url,image_exactness,identity_confidence,image_confidence,research_notes,sibling_elimination,classification_reason,hard_failure,tls_verification_issue,first_pass_status,final_image_status,rights_status_final,evidence_asset_path,evidence_sha256,evidence_bytes
3001,WEL-MAC-STW-200E,UNIT,Starweld Welding Machine Acc. MMA200E,Welding,51.7,3,,MMA200E,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3002,ABR-PAP-621-532,SHT,G180 Ewd Hand Sanding Sheet,Abrasives & Cutting,51.6,3,,G180,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3003,ABR-PAP-621-533,SHT,G220 Ewd Hand Sanding Sheet,Abrasives & Cutting,51.6,3,,G220,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3004,BBQ-GRI-JJD-40X60CM,PCS,40X60CM Bbq Grid,Outdoor & Garden,51.6,3,,40X60CM,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3005,"CLI-HOS-GP-5/8""",PCS,Gp S/steel Hose CLIP-5/8 (9-16MM),Outdoor & Garden,51.6,3,,CLIP-5/8,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3006,COC-BAL-SAN-CKT1512,PCS,Sanwa BALLCOCK-CKT15 1/2,Plumbing,51.6,3,,BALLCOCK-CKT15,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3007,CUT-PIP-W0204PVC,PCS,PVC Pipe Cutter (36MM),Plumbing,51.6,3,,W0204,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3008,DOR-HAN-CH608-NA-R,PCS,Na-r Casement Handle,Doors & Hardware,51.6,3,,CH608,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3009,ELE-CAB-WIR-ML-1.5MM2-RED,ROLL,ML PVC Cable Red 1.5MM2,Electrical,51.6,3,,1.5MM2,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3010,ELE-CEI-LIG-4001/400-CL,PCS,Ceiling Light 4001-400,Lighting,51.6,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3011,"FAS-SCR-CSK-1 1/2"" X 6G - BOX",BOX,Sr Csk Tapping Screw 1 1/2 X 6G (1000PCS/BOX),Fasteners & Fixings,51.6,3,,1000PCS/BOX,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3012,"FAS-SCR-F/H-5/8"" X 8# BOX",BOX,Sr F/h Self Drilling Screw 5/8 X 8 (1000PCS/BOX),Fasteners & Fixings,51.6,3,,1000PCS/BOX,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3013,GAR-HOE-12141,PCS,Gh 202 2WAY Rubber Handle Hoe,Doors & Hardware,51.6,3,,2WAY,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3014,GRE-TOYO-450GM,TIN,Toyo Eaj 8000 Hi-temp Bentonite Grease,Other,51.6,3,,450GM,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3015,HOS-SPA-TAP-C222,PCS,C222 Spare Cartridge (for L Handle),Doors & Hardware,51.6,3,,C222,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3016,LOC-COL-ZK505,SET,Safety Chrome Plated Padlock ZK-505,Safety & Workwear,51.6,3,,ZK-505,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3017,NP-BAR-BS1094-1L,TIN,1L Bintang Automotive Refinish 033 White (premixed),Automotive,51.6,3,,BS1094,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3018,PUM-TSU-HPC6091,UNIT,Tsunami Hpc 6091 High Pressure Pump Cleaner,Chemicals & Adhesives,51.6,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3019,PYE-FIL-WAL-PUTTY-0.5KG-B*,TIN,PYE Wall Filla E Putty 0.5KG (yellow Cap),Paint & Sundries,51.6,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3020,RAI-BOO-KRK-Y40#,PAIR,Rainshoes - 40 (7) 7000YLW,Curtains & Blinds,51.6,3,,7000YLW,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3021,SCP-TOI-CONCR-CLE-1LTR,BTL,1LTR Scp Concrete Cleaner,Chemicals & Adhesives,51.6,3,,1LTR,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3022,SWI-SOC-ALM-MK-G2873,PCS,Mk Alm 15A X 2 M/c S/socket,Electrical,51.6,3,,G2873,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3023,TOO-COM-W0287A-08MM,PCS,Com Ratchet Wrench 08MM,Hand Tools,51.6,3,,W0287A,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3024,TOO-COM-W0287H-15MM,PCS,Com Ratchet Wrench 15MM,Hand Tools,51.6,3,,W0287H,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3025,TOO-PLI-DIA-W608,PCS,C608 Diagonal Cutting Pliers 200MM,Power Tools,51.6,3,,C608,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3026,TOO-WRE-KEY-69251,SET,8PC S/arm Hex Key Set,Power Tools,51.6,3,,1.5MM-6MM,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3027,ABR-PAP-621-536,PCS,G400 Ewd Hand Sanding Sheet,Abrasives & Cutting,51.5,3,,G400,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3028,DOR-LOC-CAM-30MMX90,PCS,Degree Excel Camlock,Doors & Hardware,51.5,3,,30MMX90,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative searches found identity leads for Adelino AWJ2-5, Autosol Metal Polish 75 ml and Black+Decker BW14/BW15 hose, but exact image evidence was not preserved or official access was unavailable. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
