source_position,item_code,uom,display_name,category,priority_score,priority_tier,detected_brand,detected_model,candidate_page_url,candidate_image_url,source_owner,rights_status,match_confidence,review_status,research_state,manufacturer,exact_model,variant_suffix,product_identity,source_url,source_type,source_tier,image_source_url,image_exactness,identity_confidence,image_confidence,research_notes,sibling_elimination,classification_reason,hard_failure,tls_verification_issue,first_pass_status,final_image_status,rights_status_final,evidence_asset_path,evidence_sha256,evidence_bytes
3501,HOS-GAR-ORA-160230,ROLL,Greenland Super Fancy Hose (cb) 5/8 X 2MM X 30M,Outdoor & Garden,49.5,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3502,JQB-JUMP-XPRESS-LITE,UNIT,Jqb Jump Starter Jumpxpress Lite,Power Tools,49.5,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3503,LAM-E27-R80-RWG,PCS,"Tungsram E27 R80 (r,w,g)",Lighting,49.5,3,,E27,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3504,NP-BAR-333-1L,UNIT,1L Bintang Automotive Refinish Stm Special Blue (standard),Automotive,49.5,3,,BS333,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3505,PUM-OIL-W0229B,PCS,W0229B Pump Oiler,Pumps & Water,49.5,3,,W0229B,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3506,SCP-PLA-EXT-25KG,PAIL,25KG Scp Exterior Skim Plasta,Paint & Sundries,49.5,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3507,SHH-LURE-SSL8016,PCS,Starlit Minnow Shad Soft Lure (6'S)MIXCLR,Fishing & Tackle,49.5,3,,SSL801-6CM/2.5G,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3508,SPRA-BOSNY-B136-400CC,CAN,Bosny Zinc Galvanize Spray,Building Materials,49.5,3,,B136-40CC,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3509,TOI-TISSUE,PKT,Kleenex Fresh 2PLY,Bathroom,49.5,3,,2PLY,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3510,TOO-COM-SET-GD824,SET,Gd Combination Wrench Set 14 X,Hand Tools,49.5,3,,8-24MM,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3511,TOO-NIE-TAM-T50,PCS,Nietz E/long Tamper Tx-star Wrench (red) 53283050,Hand Tools,49.5,3,Nietz,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3512,X-HOO-CAB-CB8001-3,UNIT,Cabana 3 Robe Hook (satin) CB8001-3,Power Tools,49.5,3,,CB8001-3,,,,pending,,pending,RESEARCHED,Cabana / Sorento,CB8001-3,Satin Finish,Cabana 3 Robe Hook Bar CB8001-3,https://cabana.com.my/index.php/products/bathroom/bathroom-accessories/hook-bar/cb8001-3-detail,Official manufacturer product page,1A,https://cabana.com.my/images/virtuemart/product/CB8001-3.jpg,EXACT_SKU,99,98,"Official Cabana page identifies CB8001-3, 3 Robe Hook Bar, Satin Finish; exact official image URL preserved.",CB8003-3 and CB8003-5 are separate hook-bar families; exact CB8001-3 suffix and satin finish retained.,"Exact manufacturer model, hook count, finish and exact official image preserved; no material conflict.",NONE,NONE,VERIFIED_CANDIDATE,candidate,needs_permission,/home/ubuntu/work/full_catalogue_image_pass/assets/3501_3600/3512.jpg,11ae7cc05f545e451837eb4d0f0568ee4250f98a2ff8001f89914c1b48fe1b03,337607
3513,BNW-B&N-RBN-230,PCK,Sr G. I Boit & Nut 1/4 X 3 (10PCS/PCK),Fasteners & Fixings,49.4,3,,10PCS/PCK,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3514,CIS-HAN-PVCL/L,PCS,Vinyl Front Lever,Doors & Hardware,49.4,3,,HANDLE-TPE6203,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
