source_position,item_code,uom,display_name,category,priority_score,priority_tier,detected_brand,detected_model,candidate_page_url,candidate_image_url,source_owner,rights_status,match_confidence,review_status,research_state,manufacturer,exact_model,variant_suffix,product_identity,source_url,source_type,source_tier,image_source_url,image_exactness,identity_confidence,image_confidence,research_notes,sibling_elimination,classification_reason,hard_failure,tls_verification_issue,first_pass_status,final_image_status,rights_status_final,evidence_asset_path,evidence_sha256,evidence_bytes
3601,PAI-SPR-PMT-013,DOZ,Paint Master Spray Paint - No. 13 Fresh Green (DOZ),Paint & Sundries,49.1,3,,NO.13,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative identity leads were found for Sikagard-703 and DeWalt DW4724, but exact image assets were not preserved. Mungyo official evidence remained family-level only. No family/sibling images were substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3602,PAI-SPR-PMT-025,DOZ,Paint Master Spray Paint - No. 25 Medium Yellow,Paint & Sundries,49.1,3,,NO.25,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative identity leads were found for Sikagard-703 and DeWalt DW4724, but exact image assets were not preserved. Mungyo official evidence remained family-level only. No family/sibling images were substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3603,PAI-SPR-PMT-027,DOZ,Paint Master Spray Paint - No. 27 Leaf Green,Paint & Sundries,49.1,3,,NO.27,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative identity leads were found for Sikagard-703 and DeWalt DW4724, but exact image assets were not preserved. Mungyo official evidence remained family-level only. No family/sibling images were substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3604,PAI-SPR-PMT-041,DOZ,Paint Master Spray Paint - No. 41 Art Yellow,Paint & Sundries,49.1,3,,NO.41,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative identity leads were found for Sikagard-703 and DeWalt DW4724, but exact image assets were not preserved. Mungyo official evidence remained family-level only. No family/sibling images were substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3605,PAI-SPR-PMT-C671,DOZ,Paint Master Spray Paint - No. C671 Eng. Orange Yel,Paint & Sundries,49.1,3,,C671,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative identity leads were found for Sikagard-703 and DeWalt DW4724, but exact image assets were not preserved. Mungyo official evidence remained family-level only. No family/sibling images were substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3606,PAI-SPR-PMT-C672,DOZ,Paint Master Spray Paint - No. C672 Eng. Orange Red,Paint & Sundries,49.1,3,,C672,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative identity leads were found for Sikagard-703 and DeWalt DW4724, but exact image assets were not preserved. Mungyo official evidence remained family-level only. No family/sibling images were substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3607,SAF-HEL-PRO-WHI,PCS,Progruard Safety Helmet - White,Safety & Workwear,49.1,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative identity leads were found for Sikagard-703 and DeWalt DW4724, but exact image assets were not preserved. Mungyo official evidence remained family-level only. No family/sibling images were substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3608,SAF-SHO-SUP-39#,PAIR,Supersonic Safety Shoes 39 (5 ),Safety & Workwear,49.1,3,,SK500,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative identity leads were found for Sikagard-703 and DeWalt DW4724, but exact image assets were not preserved. Mungyo official evidence remained family-level only. No family/sibling images were substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3609,SAF-SHO-SUP-43#,PAIR,Supersonic Safety Shoes 43 (9 ),Safety & Workwear,49.1,3,,SK500,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative identity leads were found for Sikagard-703 and DeWalt DW4724, but exact image assets were not preserved. Mungyo official evidence remained family-level only. No family/sibling images were substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3610,SAF-SHO-SUP-44#,PAIR,Supersonic Safety Shoes 44 (10 ),Safety & Workwear,49.1,3,,SK500,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative identity leads were found for Sikagard-703 and DeWalt DW4724, but exact image assets were not preserved. Mungyo official evidence remained family-level only. No family/sibling images were substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
