source_position,item_code,uom,display_name,category,priority_score,priority_tier,detected_brand,detected_model,candidate_page_url,candidate_image_url,source_owner,rights_status,match_confidence,review_status,research_state,manufacturer,exact_model,variant_suffix,product_identity,source_url,source_type,source_tier,image_source_url,image_exactness,identity_confidence,image_confidence,research_notes,sibling_elimination,classification_reason,hard_failure,tls_verification_issue,first_pass_status,final_image_status,rights_status_final,evidence_asset_path,evidence_sha256,evidence_bytes
3101,"IND-CAS-SWI-INS-BRA-2""",PCS,2 DL5 Tpe Insertion Rod Swivel Caster W Brake,Fishing & Tackle,51.2,3,,DL5,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative leads were found for Morries MS4000 and Epson/WD014, but exact image evidence was not preserved and the Epson/Boneo brand identity has a material conflict. Blimax category evidence did not identify exact CLAMP-12. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3102,LAD-ALU-WORKER-SS06,UNIT,Worker SS06 S/side Alum. Ladder (LDS06-MF),Ladders & Access,51.2,3,,SS06,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative leads were found for Morries MS4000 and Epson/WD014, but exact image evidence was not preserved and the Epson/Boneo brand identity has a material conflict. Blimax category evidence did not identify exact CLAMP-12. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3103,LOC-COL-RA401,PCS,Colex Anti-cut Steel Padlock RA-401,Locks & Security,51.2,3,,RA-401,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative leads were found for Morries MS4000 and Epson/WD014, but exact image evidence was not preserved and the Epson/Boneo brand identity has a material conflict. Blimax category evidence did not identify exact CLAMP-12. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3104,MEA-TAP-SENSUI-JBM048-25FT,PCS,25FT Sensui Measuring Tape (S10),Hand Tools,51.2,3,,25FT,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative leads were found for Morries MS4000 and Epson/WD014, but exact image evidence was not preserved and the Epson/Boneo brand identity has a material conflict. Blimax category evidence did not identify exact CLAMP-12. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3105,MEA-TAP-SUN-7.5M,PCS,Sunlon M. Tape 7.5M/25,Hand Tools,51.2,3,,7.5M/25,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative leads were found for Morries MS4000 and Epson/WD014, but exact image evidence was not preserved and the Epson/Boneo brand identity has a material conflict. Blimax category evidence did not identify exact CLAMP-12. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3106,PAI-BRU-680-038MM,DOZ,Paint Brush 680 X 38MM,Paint & Sundries,51.2,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative leads were found for Morries MS4000 and Epson/WD014, but exact image evidence was not preserved and the Epson/Boneo brand identity has a material conflict. Blimax category evidence did not identify exact CLAMP-12. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3107,PAI-HAN-ROC-1158#,PCS,Rockey 5M Twist Paint Roller 1158,Paint & Sundries,51.2,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative leads were found for Morries MS4000 and Epson/WD014, but exact image evidence was not preserved and the Epson/Boneo brand identity has a material conflict. Blimax category evidence did not identify exact CLAMP-12. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3108,PAI-TIG-250ML-RED,DOZ,250ML Ocean Gloss (red),Paint & Sundries,51.2,3,,PAINT-725,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative leads were found for Morries MS4000 and Epson/WD014, but exact image evidence was not preserved and the Epson/Boneo brand identity has a material conflict. Blimax category evidence did not identify exact CLAMP-12. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3109,PYE-FLE-SEAL-4.5KG-WHT,TIN,PYE Flexible Seal 4.5KG White,Building Materials,51.2,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative leads were found for Morries MS4000 and Epson/WD014, but exact image evidence was not preserved and the Epson/Boneo brand identity has a material conflict. Blimax category evidence did not identify exact CLAMP-12. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
3110,SAF-SHO-NK80-10,PAIR,Neuking NK80 Black 10,Safety & Workwear,51.2,3,,NK80,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,"Authoritative leads were found for Morries MS4000 and Epson/WD014, but exact image evidence was not preserved and the Epson/Boneo brand identity has a material conflict. Blimax category evidence did not identify exact CLAMP-12. Family/sibling images were not substituted; rows remain fail-closed PENDING.",Sibling/family images not substituted; exact variant unresolved.,Exact model and exact image evidence not preserved; fail-closed PENDING.,,,PENDING,pending,needs_permission,,,
