source_position,item_code,uom,display_name,category,priority_score,priority_tier,detected_brand,detected_model,candidate_page_url,candidate_image_url,source_owner,rights_status,match_confidence,review_status,research_state,manufacturer,exact_model,variant_suffix,product_identity,source_url,source_type,source_tier,image_source_url,image_exactness,identity_confidence,image_confidence,research_notes,sibling_elimination,classification_reason,hard_failure,tls_verification_issue,first_pass_status,final_image_status,rights_status_final,evidence_asset_path,evidence_sha256,evidence_bytes
2601,GUM-HAR-850W,SET,Silicon Hardex Anti Fungus White,Chemicals & Adhesives,54.0,3,,RS850W,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2602,IND-CEM-GREY-25KG,BAG,Sika Ceram 88 (25KG/BAG),Building Materials,54.0,3,,25KG/BAG,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2603,LAD-H/D-STRO-DS06,UNIT,D/s H/d Ladder DSHD06 6STEP,Ladders & Access,54.0,3,,DSHD06,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2604,LAD-H/D-STRO-DS12,UNIT,D/s H/d Ladder DSHD12 12STEP,Ladders & Access,54.0,3,,DSHD12,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2605,"TOO-PE-CLMP-CT6-20MM 1/2""",PCS,PE Clamp Tools CT6 20MM 1/2,Hand Tools,54.0,3,,CT6,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2606,"TOO-PE-CLMP-CT7-25MM 3/4""",PCS,PE Clamp Tools: CT7 25MM 3/4,Hand Tools,54.0,3,,CT7,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2607,TOO-PLI-DIA-GT150,PCS,Glotool Diagonal Plier 6,Hand Tools,54.0,3,Glotool,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2608,TOO-WRE-PIP-W300C,PCS,Heavy Pipe Wrench (300MM),Hand Tools,54.0,3,,W300C,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2609,ADH-TAP-ADH-GT100,PCS,Globand Adhesive Tape 100MM X 10M,Chemicals & Adhesives,53.9,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2610,ALP-WAT-HEA-EZY,UNIT,Alpha Instant Water Heater Ezy-e,Home Appliances,53.9,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2611,BEAR-DOOR,PCK,Sliding Door Bearing (2PCS/PCK),Doors & Hardware,53.9,3,,2PCS/PCK,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2612,BOS-2608-578-156,SET,Concrete Drill Bit Set (3/4/5/6/7/8/9/10),Power Tool Accessories,53.9,3,Bosch,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2613,CHE-ELE-CLE-HD390,TIN,Electronic Contact Cleaner: 400ML,Chemicals & Adhesives,53.9,3,,HD-390,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2614,CIS-HAN-METAL-L/L-00531G,PCS,3GL Metal Cho-low Level System Handle,Doors & Hardware,53.9,3,,3GL,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2615,"CUT-BLA-M'MAN-F1X4""",PCS,M'man Diamond Blade - F1X4,Abrasives & Cutting,53.9,3,,F1X4,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2616,DOR-ALU-LOC-NA4420,PCS,Aluminium Sliding Door (small),Doors & Hardware,53.9,3,,NA4420,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2617,ELE-ELCB-KOR-40A-2P,EA,Grow Elcb 2P 40A/0.1,Electrical,53.9,3,,40A/0.1,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2618,HDD-TOI-COV-SC-4125,PCS,Premium M/d Toilet Seat & Cover-white,Bathroom,53.9,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2619,HOS-CON-ECO4113,PCS,Ecogreen- Hose Connector / 3/4,Outdoor & Garden,53.9,3,,EG4113,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2620,LAD-EXT-DOU-12X12,UNIT,Double Ext Ladder 12X12FT,Ladders & Access,53.9,3,,12X12FT,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2621,LEO-SUS304-S/S-PIL-L332P,PCS,Leon Sus 304 S/steel Pillar Sink,Kitchen & Sinks,53.9,3,,TAP-L332P,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2622,LET-BOX-HW305B-0126S,PCS,Metal Letter Box (256X176X51MM) Black,Doors & Hardware,53.9,3,,256X176X51MM,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2623,LOC-COL-RB501,PCS,Colex Anti- Cut Long Shackkle Padlock RB-501,Locks & Security,53.9,3,,RB-501,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
