source_position,item_code,uom,display_name,category,priority_score,priority_tier,detected_brand,detected_model,candidate_page_url,candidate_image_url,source_owner,rights_status,match_confidence,review_status,research_state,manufacturer,exact_model,variant_suffix,product_identity,source_url,source_type,source_tier,image_source_url,image_exactness,identity_confidence,image_confidence,research_notes,sibling_elimination,classification_reason,hard_failure,tls_verification_issue,first_pass_status,final_image_status,rights_status_final,evidence_asset_path,evidence_sha256,evidence_bytes
2701,GUM-PVC-OCI-500G,TIN,Sr Oci PVC Gum 500G,Chemicals & Adhesives,53.4,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2702,KGR-ADH-0300ML,TIN,Kangaroo Brand 505 Super Adhesive 300ML,Chemicals & Adhesives,53.4,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2703,KGR-COM-7KG,TIN,Kangaroo Brand 7 KG Bituminous Compound,Paint & Sundries,53.4,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2704,LAD-EXT-DOU-10X10,UNIT,Double Ext Ladder 10X10FT,Ladders & Access,53.4,3,,10X10FT,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2705,SHE-CAB-CB782-BL,PCS,Cab Double Shelf (matt Blk) -CB782-BL,Housewares,53.4,3,,CB782-BL,,,,pending,,pending,RESEARCHED,Cabana / Sorento,CB782-BL,Matt Black,Cabana Double Shelf CB782-BL,https://www.cabana.com.my/index.php/products/bathroom/bathroom-accessories/shelf/cb782-bl-detail,Official manufacturer product page,1A,https://www.cabana.com.my/images/virtuemart/product/CB782-BL.jpg,EXACT_SKU,99,98,"Official Cabana page identifies CB782-BL, Double Shelf, L235xH235mm, Stainless Steel 304 and Matt Black; exact official image URL preserved.",CB781-BL and other shelf models were not substituted; exact CB782-BL suffix and finish retained.,"Exact manufacturer model, dimensions, material, finish and exact official image preserved; no material conflict.",NONE,NONE,VERIFIED_CANDIDATE,candidate,needs_permission,/home/ubuntu/work/full_catalogue_image_pass/assets/2701_2800/2705.jpg,c88409110df7e457037c24e0713e058b9b8992ae8caac8fd33f223e655866b10,351722
2706,SHE-CAB-CB789,UNIT,Cabana Double Glass Shelf,Building Materials,53.4,3,,CB789,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2707,TOO-ELE-WJ-315,PCS,Tool Oubao 8P8C Modular Crimping Tool (WJ-315),Power Tools,53.4,3,,8P8C,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2708,TOO-MAG-MC03A,PCK,Magnetic Catch (4PCS/PCK),Power Tools,53.4,3,,4PCS/PCK,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2709,BRA-BID-SHO-SA033,PCS,28 Milano Hand Shower Bracket,Bathroom,53.3,3,,SA033,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2710,BRO-MOP-350,PCS,No. 350 Mop Broom With Handle,Doors & Hardware,53.3,3,,NO.350,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
