source_position,item_code,uom,display_name,category,priority_score,priority_tier,detected_brand,detected_model,candidate_page_url,candidate_image_url,source_owner,rights_status,match_confidence,review_status,research_state,manufacturer,exact_model,variant_suffix,product_identity,source_url,source_type,source_tier,image_source_url,image_exactness,identity_confidence,image_confidence,research_notes,sibling_elimination,classification_reason,hard_failure,tls_verification_issue,first_pass_status,final_image_status,rights_status_final,evidence_asset_path,evidence_sha256,evidence_bytes
2801,ROP-PP-08MM,KG,8MM P. P Rope,"Rope, Chain & Netting",52.8,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2802,SAF-SHO-NK85-10,PAIR,Neuking NK85 Black 10,Safety & Workwear,52.8,3,,NK85,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2803,SWI-SOC-NNE-9498,PCS,NNE 9498 Metalclad Switch Socket 2GANG 13A,Electrical,52.8,3,,2GANG,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2804,SWI-T/SOC-4540B-5M4G,SET,4G Extension Socket Sp,Electrical,52.8,3,,EXT-4540B,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2805,TOO-HOL-PUN,SET,Hollow Punch Set (55600),Power Tools,52.8,3,,9PCS/SET,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2806,TOO-PLI-COMW406D150,PCS,Combination Pliers 150MM,Power Tools,52.8,3,,AC406,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2807,TOO-SOC-SET-4610M,SET,Mr. Mark 10PCS 1/2 6P. Socket,Hand Tools,52.8,3,,6P.,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2808,X-MEA-TAP-STA-POW-5.0M,PCS,5M/16 X 3/4 Powerlock Tape Ruler,Power Tools,52.8,3,,5M/16,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2809,BOX-POS-KH2088,PCS,PVC Post Box/letter Box With Magz. Tray (KH2088),Doors & Hardware,52.7,3,,KH2088,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
2810,CUT-BLA-ECL-2510T14,PCS,Eclipse Hacksaw Blade - 25MM X 10T X 14,Hand Tools,52.7,3,,10T,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
