source_position,item_code,uom,display_name,category,priority_score,priority_tier,detected_brand,detected_model,candidate_page_url,candidate_image_url,source_owner,rights_status,match_confidence,review_status,research_state,manufacturer,exact_model,variant_suffix,product_identity,source_url,source_type,source_tier,image_source_url,image_exactness,identity_confidence,image_confidence,research_notes,sibling_elimination,classification_reason,hard_failure,tls_verification_issue,first_pass_status,final_image_status,rights_status_final,evidence_asset_path,evidence_sha256,evidence_bytes
3401,DOR-LOC-CYL-KNOB,UNIT,Hafele Diy Knob Lockset Entrance (489.93.125),Doors & Hardware,49.9,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3402,ELE-CAB-WIR-ASIA-2.5Y*,MTR,"Asia PVC Cable, Yellow - MTR",Electrical,49.9,3,,2.5MM2,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3403,ELE-HOL-SE3831,PCS,Kingsway E27 Wedge Holder,Electrical,49.9,3,,E27,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3404,ELE-SOL-TIN100250G,PCS,Vison Soldering Wire,Electrical,49.9,3,,0.8X100G,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3405,"FAS-RIV-PAT-3/16""X3/4""-BOX",BOX,Blind Rivet: Jaguar 3/16 X 3/4 (500PCS/BOX),Fasteners & Fixings,49.9,3,,500PCS/BOX,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3406,"FAS-SCR-DRY-BLA-6#3/4""-BOX",BOX,Hunter/bk - Drywall Screw 6 X3/4,Fasteners & Fixings,49.9,3,,X3/4,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3407,HAT-STR-CM042,PCS,42CM Straw Hat,Other,49.9,3,,CM042,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3408,HOL-NYL-SIC-JM-555,PCS,Jayamata Harvesting Palm Oil Clip Poles Sickle Nylon Holder 8.5,Outdoor & Garden,49.9,3,,JM-555,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3409,"HOS-FLE-VIP-PP14""",PCS,PP-14 White Nylon Vip Flexible Tube,Outdoor & Garden,49.9,3,,PP-14,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3410,PLA-BAG-W500-0812,PACK,8 X 12 X Tbag,Packaging,49.9,3,,WHITE/500G,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3411,"TOO-CLA-F-BLI-10""",PCS,Blimax Quick Release F CLAMP-10,Hand Tools,49.9,3,,CLAMP-10,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3412,TOO-DRI-ADA-13MM-3PCS,PCS,Sr Drill Chuck & Key Set,Power Tools,49.9,3,,3PC-13MM,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3413,TOO-DRV-STA-5X150MM,PCS,"Cushion Grip S/dr Std - (3/16""X6"")",Power Tools,49.9,3,,5X150MM,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3414,TOO-HAN-LW0017,PCS,1/2 L-type Handle,Doors & Hardware,49.9,3,,W0017,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3415,TOO-SCR-EXT-W0612,SET,6PCS Screw Extractor,Fasteners & Fixings,49.9,3,,W0612,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3416,TOO-WRE-KEY-MD06218,SETS,Mdsi (MD-06218) Colourful Extra Long Hex. Key Wrench,Hand Tools,49.9,3,,MD-06218,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3417,X-FAS-SCR-ZPH-DSMHO525-BOX,BOX,Sr Zph Self Drilling Screw (1000PCS/BOX) DSM-HO525,Fasteners & Fixings,49.9,3,,1000PCS/BOX,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3418,X-TOO-WOR-5503-12V,SET,Worker 30PCS Of 12V Luxury Suit Electric Drill With Tools Kit Set,Power Tools,49.9,3,,,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3419,CUT-PIP-W201APVC,PCS,PVC Pipe Cutter,Plumbing,49.8,3,,W201A,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3420,CUT-SCI-SK5-00903H,PCS,Mn 8 SK5 Steel H/d Ind-scissors,Abrasives & Cutting,49.8,3,,SK5,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
3421,ELE-ADA-EE2714,PCS,E27 To E14 Bakelite Spring Lamp Adaptor (bk),Lighting,49.8,3,,E27,,,,pending,,pending,RESEARCHED_PENDING,,,,,,,,,,,,,,,,,PENDING,pending,needs_permission,,,
