source_position,item_code,uom,display_name,category,detected_brand,detected_model,state,round_first_seen,round_last_touched,tiers_tried,official_product_page,official_image_url,image_px_w,image_px_h,image_bytes,image_sha256,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,researcher_decision,verifier_verdict,machine_gate,reason,human_action
7471,FIT-PVC-SOC-DE32MM,PCS,PVC Fitting Socket D/e 32MM 1-1/4 Swv,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,,,PCS consistent: loose PVC fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider returned HTTP 429 twice incl. one retry after ~20s, queries executed via Bing fallback and direct OEM-domain fetches) | q: ""PVC fitting socket"" ""D/E"" SWV Malaysia supplier -shopee -lazada | q: PVC socket 32mm OR 40mm OR 15mm ""soil waste vent"" SWV fitting supplier Malaysia | p: https://www.binaplast.com/ (HTTP 200; Bina Plastic Industries Sdn Bhd BBB-brand OEM site: PVC Pressure / PVC-U Waste-Rainwater & Underground Drainage / PP-R / ABS / PE / Electrical families, no per-SKU model pages) | p: https://nyhardware.com.my/plumbing-and-buildings/pipe/pvc (HTTP 200; NY Hardware fittings catalogue: Socket (221) / P/T Socket (36) / Reducing Socket (586) / Tee (616) / P/T Tee (9) / Reducing Tee (882) / Valve Socket (56) / Bend (581) / End Cap (184), all unbranded trade goods) | Closing: no opened page contains any brand/model string for this item - the size designation ""PVC Fitting Socket D/e 32MM 1-1/4 Swv"" appears only in marketplace listings (Shopee/Lazada) and generic distributor categories; Bina Plastic (OEM) and NY Hardware (distributor) carry no per-SKU OEM product page for this unbranded commodity.","Email Bina Plastic Industries Sdn Bhd (info@binaplast.com, +603-7800 0355) for a packshot of the required size, or shoot in-store."
7228,FIT-PVC-SOC-40MM,PCS,PVC Fitting Socket P/t 40MM 1-1/2,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,,,PCS consistent: loose PVC fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider returned HTTP 429 twice incl. one retry after ~20s, queries executed via Bing fallback and direct OEM-domain fetches) | q: PVC ""P/T socket"" fitting Malaysia supplier -shopee -lazada | q: ""threaded socket"" PVC 50mm fitting Malaysia hardware supplier | p: https://www.binaplast.com/ (HTTP 200; Bina Plastic Industries Sdn Bhd BBB-brand OEM site: PVC Pressure / PVC-U Waste-Rainwater & Underground Drainage / PP-R / ABS / PE / Electrical families, no per-SKU model pages) | p: https://nyhardware.com.my/plumbing-and-buildings/pipe/pvc (HTTP 200; NY Hardware fittings catalogue: Socket (221) / P/T Socket (36) / Reducing Socket (586) / Tee (616) / P/T Tee (9) / Reducing Tee (882) / Valve Socket (56) / Bend (581) / End Cap (184), all unbranded trade goods) | Closing: no opened page contains any brand/model string for this item - the size designation ""PVC Fitting Socket P/t 40MM 1-1/2"" appears only in marketplace listings (Shopee/Lazada) and generic distributor categories; Bina Plastic (OEM) and NY Hardware (distributor) carry no per-SKU OEM product page for this unbranded commodity.","Email Bina Plastic Industries Sdn Bhd (info@binaplast.com, +603-7800 0355) for a packshot of the required size, or shoot in-store."
7592,FIT-PVC-SOC-DE40MM,PCS,PVC Fitting Socket D/e 40MM 1-1/2 Swv,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,,,PCS consistent: loose PVC fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider returned HTTP 429 twice incl. one retry after ~20s, queries executed via Bing fallback and direct OEM-domain fetches) | q: ""PVC fitting socket"" ""D/E"" SWV Malaysia supplier -shopee -lazada | q: PVC socket 32mm OR 40mm OR 15mm ""soil waste vent"" SWV fitting supplier Malaysia | p: https://www.binaplast.com/ (HTTP 200; Bina Plastic Industries Sdn Bhd BBB-brand OEM site: PVC Pressure / PVC-U Waste-Rainwater & Underground Drainage / PP-R / ABS / PE / Electrical families, no per-SKU model pages) | p: https://nyhardware.com.my/plumbing-and-buildings/pipe/pvc (HTTP 200; NY Hardware fittings catalogue: Socket (221) / P/T Socket (36) / Reducing Socket (586) / Tee (616) / P/T Tee (9) / Reducing Tee (882) / Valve Socket (56) / Bend (581) / End Cap (184), all unbranded trade goods) | Closing: no opened page contains any brand/model string for this item - the size designation ""PVC Fitting Socket D/e 40MM 1-1/2 Swv"" appears only in marketplace listings (Shopee/Lazada) and generic distributor categories; Bina Plastic (OEM) and NY Hardware (distributor) carry no per-SKU OEM product page for this unbranded commodity.","Email Bina Plastic Industries Sdn Bhd (info@binaplast.com, +603-7800 0355) for a packshot of the required size, or shoot in-store."
7752,FIT-PVC-SOC-DE15MM,PCS,PVC Fitting Socket D/e 15MM 1/2,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,,,PCS consistent: loose PVC fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider returned HTTP 429 twice incl. one retry after ~20s, queries executed via Bing fallback and direct OEM-domain fetches) | q: ""PVC fitting socket"" ""D/E"" SWV Malaysia supplier -shopee -lazada | q: PVC socket 32mm OR 40mm OR 15mm ""soil waste vent"" SWV fitting supplier Malaysia | p: https://www.binaplast.com/ (HTTP 200; Bina Plastic Industries Sdn Bhd BBB-brand OEM site: PVC Pressure / PVC-U Waste-Rainwater & Underground Drainage / PP-R / ABS / PE / Electrical families, no per-SKU model pages) | p: https://nyhardware.com.my/plumbing-and-buildings/pipe/pvc (HTTP 200; NY Hardware fittings catalogue: Socket (221) / P/T Socket (36) / Reducing Socket (586) / Tee (616) / P/T Tee (9) / Reducing Tee (882) / Valve Socket (56) / Bend (581) / End Cap (184), all unbranded trade goods) | Closing: no opened page contains any brand/model string for this item - the size designation ""PVC Fitting Socket D/e 15MM 1/2"" appears only in marketplace listings (Shopee/Lazada) and generic distributor categories; Bina Plastic (OEM) and NY Hardware (distributor) carry no per-SKU OEM product page for this unbranded commodity.","Email Bina Plastic Industries Sdn Bhd (info@binaplast.com, +603-7800 0355) for a packshot of the required size, or shoot in-store."
7419,FIT-PVC-SOC-50MM,PCS,PVC Fitting Socket P/t 50MM 2,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,,,PCS consistent: loose PVC fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider returned HTTP 429 twice incl. one retry after ~20s, queries executed via Bing fallback and direct OEM-domain fetches) | q: PVC ""P/T socket"" fitting Malaysia supplier -shopee -lazada | q: ""threaded socket"" PVC 50mm fitting Malaysia hardware supplier | p: https://www.binaplast.com/ (HTTP 200; Bina Plastic Industries Sdn Bhd BBB-brand OEM site: PVC Pressure / PVC-U Waste-Rainwater & Underground Drainage / PP-R / ABS / PE / Electrical families, no per-SKU model pages) | p: https://nyhardware.com.my/plumbing-and-buildings/pipe/pvc (HTTP 200; NY Hardware fittings catalogue: Socket (221) / P/T Socket (36) / Reducing Socket (586) / Tee (616) / P/T Tee (9) / Reducing Tee (882) / Valve Socket (56) / Bend (581) / End Cap (184), all unbranded trade goods) | Closing: no opened page contains any brand/model string for this item - the size designation ""PVC Fitting Socket P/t 50MM 2"" appears only in marketplace listings (Shopee/Lazada) and generic distributor categories; Bina Plastic (OEM) and NY Hardware (distributor) carry no per-SKU OEM product page for this unbranded commodity.","Email Bina Plastic Industries Sdn Bhd (info@binaplast.com, +603-7800 0355) for a packshot of the required size, or shoot in-store."
6703,FIT-PVC-TEE-PT15MM,PCS,PVC Fitting P/t Tee 15MM 1/2,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,,,PCS consistent: loose PVC fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider returned HTTP 429 twice incl. one retry after ~20s, queries executed via Bing fallback and direct OEM-domain fetches) | q: ""PVC tee"" fitting SWV Malaysia supplier -shopee -lazada | q: PVC tee equal 25mm 15mm fitting supplier Malaysia hardware | p: https://www.binaplast.com/ (HTTP 200; Bina Plastic Industries Sdn Bhd BBB-brand OEM site: PVC Pressure / PVC-U Waste-Rainwater & Underground Drainage / PP-R / ABS / PE / Electrical families, no per-SKU model pages) | p: https://nyhardware.com.my/plumbing-and-buildings/pipe/pvc (HTTP 200; NY Hardware fittings catalogue: Socket (221) / P/T Socket (36) / Reducing Socket (586) / Tee (616) / P/T Tee (9) / Reducing Tee (882) / Valve Socket (56) / Bend (581) / End Cap (184), all unbranded trade goods) | Closing: no opened page contains any brand/model string for this item - the size designation ""PVC Fitting P/t Tee 15MM 1/2"" appears only in marketplace listings (Shopee/Lazada) and generic distributor categories; Bina Plastic (OEM) and NY Hardware (distributor) carry no per-SKU OEM product page for this unbranded commodity.","Email Bina Plastic Industries Sdn Bhd (info@binaplast.com, +603-7800 0355) for a packshot of the required size, or shoot in-store."
6937,FIT-PVC-TEE-20MM,PCS,PVC Fitting Tee 20MM 3/4,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,,,PCS consistent: loose PVC fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider returned HTTP 429 twice incl. one retry after ~20s, queries executed via Bing fallback and direct OEM-domain fetches) | q: ""PVC tee"" fitting SWV Malaysia supplier -shopee -lazada | q: PVC tee equal 25mm 15mm fitting supplier Malaysia hardware | p: https://www.binaplast.com/ (HTTP 200; Bina Plastic Industries Sdn Bhd BBB-brand OEM site: PVC Pressure / PVC-U Waste-Rainwater & Underground Drainage / PP-R / ABS / PE / Electrical families, no per-SKU model pages) | p: https://nyhardware.com.my/plumbing-and-buildings/pipe/pvc (HTTP 200; NY Hardware fittings catalogue: Socket (221) / P/T Socket (36) / Reducing Socket (586) / Tee (616) / P/T Tee (9) / Reducing Tee (882) / Valve Socket (56) / Bend (581) / End Cap (184), all unbranded trade goods) | Closing: no opened page contains any brand/model string for this item - the size designation ""PVC Fitting Tee 20MM 3/4"" appears only in marketplace listings (Shopee/Lazada) and generic distributor categories; Bina Plastic (OEM) and NY Hardware (distributor) carry no per-SKU OEM product page for this unbranded commodity.","Email Bina Plastic Industries Sdn Bhd (info@binaplast.com, +603-7800 0355) for a packshot of the required size, or shoot in-store."
7463,FIT-PVC-TEE-15MM,PCS,PVC Fitting Tee 15MM 1/2,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,,,PCS consistent: loose PVC fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider returned HTTP 429 twice incl. one retry after ~20s, queries executed via Bing fallback and direct OEM-domain fetches) | q: ""PVC tee"" fitting SWV Malaysia supplier -shopee -lazada | q: PVC tee equal 25mm 15mm fitting supplier Malaysia hardware | p: https://www.binaplast.com/ (HTTP 200; Bina Plastic Industries Sdn Bhd BBB-brand OEM site: PVC Pressure / PVC-U Waste-Rainwater & Underground Drainage / PP-R / ABS / PE / Electrical families, no per-SKU model pages) | p: https://nyhardware.com.my/plumbing-and-buildings/pipe/pvc (HTTP 200; NY Hardware fittings catalogue: Socket (221) / P/T Socket (36) / Reducing Socket (586) / Tee (616) / P/T Tee (9) / Reducing Tee (882) / Valve Socket (56) / Bend (581) / End Cap (184), all unbranded trade goods) | Closing: no opened page contains any brand/model string for this item - the size designation ""PVC Fitting Tee 15MM 1/2"" appears only in marketplace listings (Shopee/Lazada) and generic distributor categories; Bina Plastic (OEM) and NY Hardware (distributor) carry no per-SKU OEM product page for this unbranded commodity.","Email Bina Plastic Industries Sdn Bhd (info@binaplast.com, +603-7800 0355) for a packshot of the required size, or shoot in-store."
7004,FIT-PVC-TEE-25MM,PCS,PVC Fitting Tee 25MM 1,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,,,PCS consistent: loose PVC fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider returned HTTP 429 twice incl. one retry after ~20s, queries executed via Bing fallback and direct OEM-domain fetches) | q: ""PVC tee"" fitting SWV Malaysia supplier -shopee -lazada | q: PVC tee equal 25mm 15mm fitting supplier Malaysia hardware | p: https://www.binaplast.com/ (HTTP 200; Bina Plastic Industries Sdn Bhd BBB-brand OEM site: PVC Pressure / PVC-U Waste-Rainwater & Underground Drainage / PP-R / ABS / PE / Electrical families, no per-SKU model pages) | p: https://nyhardware.com.my/plumbing-and-buildings/pipe/pvc (HTTP 200; NY Hardware fittings catalogue: Socket (221) / P/T Socket (36) / Reducing Socket (586) / Tee (616) / P/T Tee (9) / Reducing Tee (882) / Valve Socket (56) / Bend (581) / End Cap (184), all unbranded trade goods) | Closing: no opened page contains any brand/model string for this item - the size designation ""PVC Fitting Tee 25MM 1"" appears only in marketplace listings (Shopee/Lazada) and generic distributor categories; Bina Plastic (OEM) and NY Hardware (distributor) carry no per-SKU OEM product page for this unbranded commodity.","Email Bina Plastic Industries Sdn Bhd (info@binaplast.com, +603-7800 0355) for a packshot of the required size, or shoot in-store."
7103,FIT-PVC-TEE-32MM,PCS,PVC Fitting Tee 32MM 1-1/4 Swv 1 Bag,Plumbing,,,exhausted,1,1,1,,,0,0,0,,low,,,PCS consistent: loose PVC fitting sold per piece.,no_asset,exhausted_generic_unbranded_no_oem_page,,,"action=search (tier 1, generic unbranded commodity - no detected_brand/model; websearch provider returned HTTP 429 twice incl. one retry after ~20s, queries executed via Bing fallback and direct OEM-domain fetches) | q: ""PVC tee"" fitting SWV Malaysia supplier -shopee -lazada | q: PVC tee equal 25mm 15mm fitting supplier Malaysia hardware | p: https://www.binaplast.com/ (HTTP 200; Bina Plastic Industries Sdn Bhd BBB-brand OEM site: PVC Pressure / PVC-U Waste-Rainwater & Underground Drainage / PP-R / ABS / PE / Electrical families, no per-SKU model pages) | p: https://nyhardware.com.my/plumbing-and-buildings/pipe/pvc (HTTP 200; NY Hardware fittings catalogue: Socket (221) / P/T Socket (36) / Reducing Socket (586) / Tee (616) / P/T Tee (9) / Reducing Tee (882) / Valve Socket (56) / Bend (581) / End Cap (184), all unbranded trade goods) | Closing: no opened page contains any brand/model string for this item - the size designation ""PVC Fitting Tee 32MM 1-1/4 Swv 1 Bag"" appears only in marketplace listings (Shopee/Lazada) and generic distributor categories; Bina Plastic (OEM) and NY Hardware (distributor) carry no per-SKU OEM product page for this unbranded commodity.","Email Bina Plastic Industries Sdn Bhd (info@binaplast.com, +603-7800 0355) for a packshot of the required size, or shoot in-store."
