source_position,item_code,uom,verifier_verdict,finish_exact,model_exact,justification
446,VAC-KHI-VC68P,SET,pass,yes,yes,"Official khind.com.my PDP titled ""KHIND Vacuum Cleaner VC68P"" with specs (600W, HEPA); hero image fetched 1946x1946 jpeg 62958B"
821,BOS-0601-5A2-0L0,UNIT,pass,yes,yes,"Official Bosch MY PDP ""PRO GKS 235 Turbo"" quotes ""Order number 0.601.5A2.0L0""; /166x164/ product-image path resolves to full binary/ocsmedia/optimized/1000x1000 master of same asset 246835, fetched 1000x773 png 835839B"
810,BOS-0601-9E5-1L0,UNIT,pass,yes,yes,"Official Bosch SG PDP ""PRO GAS 15 PS"" quotes ""Order number 0.601.9E5.1L0""; product image fetched 497x600 png 288381B, long edge 600>=500"
856,BOS-0601-1C4-0L0,UNIT,pass,yes,yes,"Official Bosch MY PDP ""PRO GRW 140"" quotes ""Order number 0.601.1C4.0L0"" and lists carton box 1 619 PC2 157 matching packaging image filename grw_140_packaging_1619PC2157; fetched 800x549 png 479246B"
621,FAN-PSN-F-M14DZVBKH,PCS,pass,yes,yes,"Official PMMA (Panasonic Mfg Malaysia) page titled ""F-M14DZVBKH (BLACK) F-M14DZVBWH (WHITE) BAYU""; item suffix BKH=black matches black-variant image f-m14dzvbkh; fetched 1024x1024 jpeg 36513B"
578,PRE-STO-KHI-SPC6,SET,pass,yes,yes,"Official khind.com.my PDP ""KHIND Smart Pressure Cooker SPC6"" ([East Malaysia Exclusive], 6L); hero image fetched 1000x1000 jpeg 87110B"
440,VAC-KHI-VC8020MS,SET,pass,yes,yes,"Official khind.com.my PDP ""KHIND Canister Vacuum Cleaner VC8020MS"" MSapphire series colour Sapphire Blue; cover image fetched 2000x2000 jpeg 140050B"
772,FAN-CEI-DEKA-CDKN54OAK12,UNIT,pass,yes,yes,"Official deka.my ""KONI 54"" page states ""Model: KONI 54"" with colours MG/MTW/OAK/LW and dedicated OAK swatch linking KONI-54-OAK-Jpg.jpg matching OAK in item code; fetched 1000x1000 jpeg 131707B"
449,X-PSN-NI-317W-LN,PCS,pass,yes,yes,"Official Panasonic store PDP ""NI-317W POLISHED IRON (1000W, 0.9KG) NI-317W-LN"" with Colours ""Light Pink (LN)"" matching LN suffix; product image ni-317w_00.png fetched 1000x1000 png 215200B"
442,MIX-KHI-HM200,SET,pass,yes,yes,"Official khind.com.my PDP ""KHIND Hand Mixer HM200"" Colour White; cover HM200_WH.jpg fetched 2000x2000 jpeg 105615B"
523,KHI-IRO-EI405-GRY,SET,pass,yes,yes,"Official khind.com.my PDP ""KHIND Electric Dry Iron EI405"" specs state Colour Grey matching GRY suffix; PDP hero ei405-wh-cover.jpg fetched 2000x2000 jpeg 77740B"
986,BOS-0601-58F-0L0,UNIT,pass,yes,yes,"Official Bosch MY PDP ""PRO GST 90 BE"" quotes ""Order number 0.601.58F.0L0""; final image o75617v54_Dynamik_GST90BE same asset as PDP product image, fetched 800x459 png 408534B"
647,VAC-KHI-VC8630,SET,pass,yes,yes,"Official khind.com.my PDP ""KHIND Vacuum Cleaner VC8630"" with ""Model: VC8630"" Colour Blue in specs; cover VC8630_cover_KOL.jpg fetched 2000x2000 jpeg 73333B"
477,JUG-KHI-EK502,SET,pass,yes,yes,"Official khind.com.my PDP ""KHIND 5L Stainless Steel Kettle EK502"" Colour Stainless Steel 5L; cover ek502-wh-cover.jpg fetched 2000x2000 jpeg 157203B"
522,KHI-COO-MC121,SET,pass,yes,yes,"Official khind.com.my PDP ""KHIND Multi Cooker MC121"" 1.2L Colour Blue; cover mc121-1-kol.jpg fetched 2000x2000 jpeg 193172B"
2602,IND-CEM-GREY-25KG,BAG,pass,yes,yes,"Official Sika Malaysia PDP ""SikaCeram-88"" lists Packaging ""20 kg bag / 25 kg bag"" and Colour ""Grey powder""; scene7 image asset my-SikaCeram-88-25kg fetched 1000x1000 jpeg 96333B matching grey/25kg/BAG semantics"
1028,RIC-COO-MID-MRM18010BDG,PCS,pass,yes,yes,"Official midea.com/my PDP titled ""Midea Jar Rice Cooker - MRM18010BDG"" (Color Grey, 1.8L); PDP image pd-sda-mrm18010bdg-1 fetched 5000x5000 png 9018442B"
1900,TAP-CAB-CB2807,PCS,pass,yes,yes,"Official cabana.com.my PDP heading ""CB2807"" (Basin Tap, FLOW COLLECTION); product photo CB2807.jpg fetched 1668x1668 jpeg 122408B"
2022,TAP-CAB-CB65SS-GM,PCS,pass,yes,yes,"Official cabana.com.my PDP heading ""CB65SS-GM"" (Basin Cold Tap, Gunmetal) matching GM suffix; product photo CB65SS-GM.jpg fetched 800x800 jpeg 49081B"
2067,BID-CAB-90SS-DIY,PCS,pass,yes,yes,"Official cabana.com.my PDP heading ""CB90SS-DIY"" (Hand Bidet, S/Steel 304, Matt); product photo CB90SS-DIY-01.jpg fetched 3334x3334 jpeg 545818B"
3630,GROUT-SEAL-703,CAN,pass,yes,yes,"Official Sika Malaysia PDP ""Sikagard-703 GroutSeal"" (water repellent impregnation, pails 500ml/1L/5L); scene7 image my-02-en-MY-Sikagard-703-GroutSeal fetched 1024x1024 webp 27556B"
1453,ALP-WAT-HEA-X5E,UNIT,pass,yes,yes,"Official alphamalaysia.com PDP ""X5 E"" specs ""Model X5 E"" Colours White, image alt ""X5 E Standard Set No pump White""; X5E_0.png fetched 513x513 png 78703B, long edge 513>=500"
1928,BID-CAB-CB88SS-BL-DIY,PCS,pass,yes,yes,"Official cabana.com.my PDP heading ""CB88SS-BL-DIY"" (2 Way Tap c/w S/Steel Hand Bidet, S/Steel 304, Matt Black) matching BL suffix; CB88SS-BL-DIY-01.jpg fetched 3334x3334 jpeg 492278B"
2035,TAP-CAB-CB9108,UNIT,pass,yes,yes,"Official cabana.com.my PDP heading ""CB9108"" (Kitchen Tap, Wall Mounted); product photo CB9108.jpg fetched 1668x1668 jpeg 113880B"
2306,TAP-CAB-CB65SS-BL,PCS,pass,yes,yes,"Official cabana.com.my PDP heading ""CB65SS-BL"" (Basin Cold Tap, Matt Black) matching BL suffix; product photo CB65SS-BL.jpg fetched 800x800 jpeg 48648B"
1017,STA-PRE-WAS-K3,UNIT,pass,yes,yes,"Official karcher.com/my PDP ""Pressure washer K 3 HR Plus"" quotes ""Order number: 1.599-261.0""; mainproduct media d2.jpg of same PIM asset 15992610 fetched 800x800 jpeg 141498B"
1346,ALP-WAT-HEA-CX9-EP-MOC,UNIT,pass,yes,yes,"Official alphamalaysia.com PDP ""CX9-i RainShower"" specs Model CX9-i RainShower Colours DK Mocha matching MOC suffix, image alt ""CX9-i Rainshower Set DC pump DK Mocha""; CX9i RS_2.png fetched 513x513 png 78553B"
1466,X-ALP-WAT-HEA-AS-2EP-SIL,UNIT,pass,yes,yes,"Official alphamalaysia.com PDP ""AS-2EP"" specs Model AS-2EP Colours ""Matt Black, Metal Black, Misty Silver"", SIL matches Misty Silver variant image alt; AS2EP Std G12 copy 3.png fetched 513x513 png 118553B"
1092,BOS-0601-2C1-0L0,UNIT,pass,yes,yes,"Official Bosch MY PDP ""PRO GBS 750"" quotes ""Order number 0.601.2C1.0L0""; o447679v54_GBS_750_Dyn.png same asset as PDP product image, fetched 800x396 png 393246B"
1194,BOS-0601-298-0L0,UNIT,pass,yes,yes,"Official Bosch Professional global PDP ""PRO GSS 2300"" quotes ""Order number 0.601.298.0L0""; o204533v54_GSS2300_dyn.png same asset 204533 as PDP image, fetched 578x422 png 313433B, long edge 578>=500"
1195,BOS-0601-980-4L1,UNIT,pass,yes,yes,"Official Bosch MY PDP quotes ""Order number 0.601.980.4L1"" and variant line ""PRO GBL 82-270 Professional 0 601 980 4L1"" (SKU renamed from GBL 800 E - page image alt and manual cover both names); o260386v54_lv-144879-12-GBL800E_dyn_01.png same asset 260386 as PDP product image, fetched 800x373 png 374535B"
1273,BOS-0603-3E0-050,UNIT,pass,yes,yes,"Official Bosch DIY MY PDP ""UniversalBrush"" quotes ""Order number 06033E0050"" (EAN 4053423227260); imagestorage cleaning-brush-2848872 asset fetched 800x418 png 121170B"
1076,BOS-0603-9E0-050,UNIT(S),pass,yes,yes,"Official Bosch DIY MY PDP ""IXO 7 - Basic"" quotes ""Order number 06039E0050"" (EAN 4053423234732); imagestorage cordless-screwdrivers-2757850 asset fetched 800x418 png 203749B"
1310,BOS-0601-980-5L0,UNIT,pass,yes,yes,"Official Bosch SG PDP ""PRO GBL 620"" quotes ""Order number 0.601.980.5L0""; o275032v54_GBL620_dyn_01.png same asset 275032 as PDP image, fetched 750x350 png 226814B"
1991,TAP-CAB-CB4908,UNIT,pass,yes,yes,"Official cabana.com.my PDP heading ""CB4908"" (Basin Cold Tap); product photo CB4908.jpg fetched 800x800 jpeg 51096B"
2034,TAP-CAB-CB4905,UNIT,pass,yes,yes,"Official cabana.com.my PDP heading ""CB4905"" (Basin Cold Tap); product photo CB4905.jpg fetched 800x800 jpeg 51801B"
2533,NUM-PUNC-50730080,SET,fail,no,no,"Official Nietz PDP ""0-9 Number Punches (Font-German, Pointed)"" shows only masked family code ""CODE: 507-30-XXX"" and a range photo named 92_50730030-until-50730120.png (fetched 500x500 png 93635B); literal SKU 50730080 appears nowhere in page text so the exact size variant cannot be proven - family/range listing"
2522,FAN-TAB-KDK-KB-304,PCS,pass,yes,yes,"Official kdk.com.my PDP ""KB-304 (30cm/12″)"" with specs ""MODEL KB-304""; official product-thumbnail_Table-Fans-KB-304.png fetched 600x388 png 43983B, long edge 600>=500"
