source_position|item_code|uom|display_name|category|detected_brand|detected_model
446|VAC-KHI-VC68P|SET|Khind - Vacuum Cleaner 600W (gold)|Chemicals & Adhesives|Khind|VC68P
821|BOS-0601-5A2-0L0|UNIT|Gks 235 Turbo Circular Saw|Power Tools|Bosch|
810|BOS-0601-9E5-1L0|UNIT|Gas 15 Ps Vacuum Cleaner|Chemicals & Adhesives|Bosch|
856|BOS-0601-1C4-0L0|UNIT|Grw 140 Mixer|Power Tools|Bosch|
621|FAN-PSN-F-M14DZVBKH|PCS|Panasonic Bayu 5 Black|Fans & Ventilation|Panasonic|
578|PRE-STO-KHI-SPC6|SET|Khind Pressure Cooker 6L - SPC6|Other|Khind|SPC6
440|VAC-KHI-VC8020MS|SET|Khind - Canister Vacuum Cleaner (sapphire Blue)|Chemicals & Adhesives|Khind|VC8020MS
950|BOS-0601-3A0-0L0|UNIT|Gdc 140 Marble Cutter|Power Tools|Bosch|
772|FAN-CEI-DEKA-CDKN54OAK12|UNIT|Deka Ceiling Fan Koni 54 Oak|Fans & Ventilation|Deka|
449|X-PSN-NI-317W-LN|PCS|Panasonic Polished 0.9KG Iron|Home Appliances|Panasonic|317W-LN
442|MIX-KHI-HM200|SET|Khind Hand Mixer (white)|Bathroom|Khind|HM200
523|KHI-IRO-EI405-GRY|SET|Khind Electric Iron (grey)|Home Appliances|Khind|EI405
986|BOS-0601-58F-0L0|UNIT|Gst 90 Be Jigsaw|Power Tools|Bosch|
647|VAC-KHI-VC8630|SET|Khind - Vacuum Cleaner 2 IN 1 (blue)|Chemicals & Adhesives|Khind|VC8630
477|JUG-KHI-EK502|SET|Khind Electric Kettle 5.0L|Home Appliances|Khind|EK502
522|KHI-COO-MC121|SET|Khind Multi Cooker 1.2L (blue)|Home Appliances|Khind|MC121
2602|IND-CEM-GREY-25KG|BAG|Sika Ceram 88 (25KG/BAG)|Building Materials||25KG/BAG
1202|TAP-SAN-SWS-304-3977|PCS|Saniware Sliver Wall Bib Tap With Hose Connect|Plumbing|Saniware|SWS-304-3977
1440|VAL-SAN-SW-SS-AV-80|PCS|Saniware Angle Valve SW-SS-AV-80|Plumbing|Saniware|SW-SS-AV-80
1028|RIC-COO-MID-MRM18010BDG|PCS|Midea 1.8L Jartype Rice Cooker 700W|Home Appliances||MRM18010BDG
1900|TAP-CAB-CB2807|PCS|Cabana Basin Tap|Bathroom||CB2807
