source_position,item_code,uom,verifier_verdict,finish_exact,model_exact,justification
134,ELE-D/L-MEG-YTA60Z1-10W,PCS,pass,yes,yes,"megaman.com.my official LED G/A Bulb page tech table row 'YTA60Z1 | 10W'; image 1-min.jpg is that page's main photo and pixels show a single white A60 E27 bulb (viewed); 1600x1600 jpeg 56307B"
138,ELE-D/L-MEG-YTP38B1-10W,PCS,pass,yes,yes,"LED Stick page tech table 'YTP38B1 | 10W | PLC'; image Untitled-8.jpg pixels show PLC 2-pin-cap stick boxed '10W' (viewed); 577x577 jpeg 39100B"
185,ELE-D/L-MEG-YTA60Z1-10W-4000K,PCS,pass,yes,yes,"same official page table 'YTA60Z1 | 10W' plus flux column header '(3000K/ 4000K&6500K)' proving 4000K offered at 10W; official OEM shared variant photo; 1600x1600 jpeg 56307B"
154,ELE-D/L-MEG-YTP38B1-10W-4000K,PCS,pass,yes,yes,"page table 'YTP38B1 | 10W | PLC' with 4000K named in flux header '(3000K/ 4000K&6500K)'; image shows PLC-cap stick boxed '10W' (viewed); 577x577 jpeg 39100B"
178,ELE-D/L-MEG-YTP38B1-10W-3000K,PCS,pass,yes,yes,"page table 'YTP38B1 | 10W | PLC' with 3000K in flux column header; official OEM shared variant photo of correct PLC model; 577x577 jpeg 39100B"
237,ELE-D/L-MEG-YTG45Z1-5W,PCS,pass,yes,yes,"G/A Bulb page tech table 'YTG45Z1 | 5W'; image Untitled-4.jpg pixels show golfball bulb boxed '5W E27' (viewed); 560x560 jpeg 41902B"
168,ELE-D/L-MEG-YTP45Z1-15W-4000K,PCS,pass,yes,yes,"LED Stick page table 'YTP45Z1 | 15W | E27' plus 4000K in flux header; image Untitled-11.jpg pixels show long stick boxed '15W E27' (viewed); 593x593 jpeg 41706B"
252,BOS-0600-8A7-FLO,UNIT,pass,yes,yes,"bosch-diy.com/my official EasyAquatak 110 page states 'Order number 06008A7FL0' matching item code; image is that page's own hero PNG; 3200x1800 png 501315B"
174,ELE-D/L-MEG-YTP45Z1-15W-3000K,PCS,pass,yes,yes,"page table 'YTP45Z1 | 15W | E27' with 3000K named in flux column header; official OEM shared variant photo; 593x593 jpeg 41706B"
251,FAN-CEI-DEKA-CX156BK12,UNIT,pass,yes,yes,"deka.my X-ONE 56 page spec 'Model: X-ONE 56 ... Colour: BK, WH, DW' and BK swatch links exactly X-ONE-56-2560X2560-BK.png; pixels show black Deka fan (viewed); 2560x2560 png 426789B"
5,JOV-WAT-HEA-SA20E,PCS,pass,yes,yes,"joven-electric.com official MY store page 'SA20e Instant Water Heater' SKU 511601002; image sa20e_-_feature_image_2026.jpg is that page's main product photo; 1000x1000 jpeg 86034B"
227,ELE-D/L-MEG-YTP38Z1-10W,PCS,pass,yes,yes,"LED Stick page table 'YTP38Z1 | 10W | E27'; image Untitled-7.jpg pixels show E27 screw-cap stick boxed '10W' (viewed); 580x580 jpeg 41410B"
232,ELE-D/L-MEG-YTP38Z1-10W-4000K,PCS,pass,yes,yes,"page table 'YTP38Z1 | 10W | E27' with '(3000K/ 4000K&6500K)' header proving 4000K variant exists; official OEM shared variant photo; 580x580 jpeg 41410B"
7,JOV-WAT-HEA-SA8E,PCS,pass,yes,yes,"official Joven MY page 'SA8e Instant Water Heater' SKU 511801001; image 511801001-1.jpg is that SKU's main product photo on the page; 1000x1000 jpeg 85254B"
165,BOS-2608-522-405,PCS,fail,yes,yes,"bosch-pt.com.ph PRO Long-Groove Double-Ended Bit page does list part number '2 608 522 405' (65 mm) but final image URL carries /optimized/767x431/ resize-transform segment (served only 554x431 px) instead of the /full/ asset used by sibling variants — violates no-thumbnail-transform-segment rule"
195,BOS-2608-522-406,PCS,pass,yes,yes,"same Bosch PRO bit page lists part number '2 608 522 406' (110 mm); image uses /full/ ocsmedia asset whose filename embeds 2608522406; 683x900 png 453504B"
155,FAN-CEI-DEKA-CF5DC56MB,UNIT,pass,yes,yes,"deka.my F5 DC PRO page 'Technical Specification Model: F5 DC PRO ... Colour: MB, MTW, OAK...' and MB swatch links exactly F5-DC-PRO-MB-Jpg.jpg; pixels show matt-black 5-blade fan (viewed); 1000x1000 jpeg 115553B"
196,BOS-2608-522-407,PCS,fail,yes,no,"page lists part number '2 608 522 407' (150 mm) and /full/ URL embeds asset id 2608522407, but fetched PNG is a degenerate 44x900 px vertical sliver (32137B) — unusable low-res strip despite meeting long-edge/bytes minimums"
3,JOV-WAT-HEA-SL30IP-WHI,PCS,pass,yes,yes,"official Joven MY page 'SL30iP Instant Water Heater' SKU 5101401; image sl30ip_white_2026_1.jpg is page main photo and pixels show white unit labelled SL30iP matching -WHI suffix (viewed); 1000x1000 jpeg 103179B"
