source_position,item_code,uom,verifier_verdict,finish_exact,model_exact,justification
3061,SWI-S/SKT-LWD-4013-13A,PCS,fail,n/a,no,HomePro MY p1007443 page text is NNE '13A 1G FLUSH SWITCH SOCKET OUTLET 813/S' brand NNE WHITE - item tokens LWD and 4013 appear nowhere on page so coded listing identity unproven; img jpeg 1000x1000 66143B otherwise compliant
3252,SWI-PLU-MK-654-13A,PCS,pass,n/a,yes,Sierra-Plus (M) Sdn Bhd wholesaler PDP 'MK 654 13Amp Plug Top [SIRIM] (White)' spec MK/PT13A654 brand MK 13A SIRIM literal vs code; img jpeg 1200x1200 128136B no thumbnail transform
2773,CUT-BLA-ECL-1218T,PCS,pass,n/a,yes,Camden Tools PDP 'Eclipse AA45E-PRED-PB Bimetal HSS Hacksaw Blades 18TPI (Pack of 100)' SKU TLS-ECL-AA45E-PRED-PB MPN AA45E-PRED-PB blade 300mm(=12in) x 18TPI pack 100 = code ECL 12in x 18T; specialist retailer with OEM MPN/GTIN not marketplace; img webp 1200x1200 57960B
2884,ELE-T5-4FT-CIELO-D/L,PCS,pass,n/a,yes,Cima Lighting PDP 'CIELO GEN2 T5 LED BATTEN [2FT/3FT/4FT] [10W/14W/18W] - SIRIM CETIFICATED' with selectable options '4FT 18W' and colour 'DL 6500K' both literal on page; img jpeg 1000x1000 682241B gallery shot of this listing
2770,PLUG-TOP-UMS-13A,PCS,pass,n/a,yes,Samajaya Electrical Trading PDP 'UMS PT130R-S/ PT130R S/ PT130RS 13A 3 Pin Plug Top' Brand UMS Made in Malaysia 13A/250V literal; img jpeg 606x621 45165B
4816,"ACE-NUTS-3/8""X38MM",PCS,pass,n/a,yes,Cheng Huat Hardware Sentul PDP 'HEXAGON LONG NUT [LN-3/8'']' with on-page tags 'HEXAGON LONG NUT 38MM' and 'HEXAGON LONG NUT 3/8''' while sibling LN-1/4 to LN-5/8 sit on separate product pages; img png 850x850 496626B
3872,"PIP-UPVC-5255-1.1/2""",MTR,pass,n/a,no,Unimech Engineering PDP 'UPVC Pipe - Material UPVC Spec BS5255 Length 6 meter Size 32-50mm Soil Waste Vent' - BS5255 literal matches code token and BS1063 sibling is a separate page but 1-1/2in(40mm) only falls inside the stated range and is never named; img jpeg 1173x1057 31656B
4349,SWI-LAM-HOL-SE220E-E27,PCS,pass,n/a,yes,Sierra-Plus PDP 'SE-220 E27 Batten Lamp Holder / Socket Light Bulb Holder c/w Base (White)' spec HD220E27-WH 250V 4A E27 literal matching SE220E-E27; img jpeg 900x900 67929B
3361,SWI-ADA-MS3106N,PCS,pass,n/a,yes,HomePro MY p1075259 PDP 'MORRIES TRAVEL ADAPTOR WITH LED INDICATOR MS3106N WHITE' brand MORRIES model MS3106N literal max load 13A - ADA=adaptor; img jpeg 1000x1000 39352B
3533,ELE-D/L-HOME-2103-18W-6500K,PCS,fail,n/a,no,Lazada MY marketplace listing (banned when OEM exists) 'LED PANEL LIGHT / DOWNLIGHT / 18 WATT 6INCH 6500K DAYLIGHT' brand HERMANNS - coded model HOME-2103 absent from page text; img content-type image/jpg nonstandard 912x566 26062B
3999,"FAS-RIV-PAT-1/8""X1/2""-PCK",PCK,fail,n/a,no,Soong Wung 'JAGUAR - Blind Rivet' page lists only diameters 1/8in(3.2MM)/5/32in(4.0MM)/3/16in(4.8MM) - grip length X1/2 appears nowhere and identical C72.png serves all four sibling sizes so exact pack unproven; img png 800x800 216924B
3623,CUT-DIS-MARK-12300-P024,PCS,fail,n/a,no,mrmarks.com behind JS bot-check ('Checking your browser') and fetcher page_status=-1 so MARK-12300/P024 cannot be proven from page text although img jpeg 750x750 185304B downloads fine
3343,CUT-ELE-EFM430,PCS,pass,n/a,yes,DJ Hardware Trading PDP 'GOLD ELEPHANT INDUSTRIAL LINE FLEXIBLE GRINDING DISC METAL EFM 430 (WS)' - model EFM 430 and brand Gold Elephant (=ELE token) literal and brief image equals page hero; img png 481x522 235070B long edge 522 >= 500
4524,"FAS-RIV-PAT-1/8""X1/4""-PCK",PCK,fail,n/a,no,Soong Wung Jaguar rivet page carries no X1/4 grip-length text or SKU (diameter list only) and reuses the same C72.png for all four size siblings; img png 800x800 216924B
3955,"PIP-HDPE-32MM-1""",MTR,pass,n/a,yes,NY Engineering PDP '32MM X 100M HDPE PN12.5 PIPE PE100 [BBB] SIRIM' attrs Size 32mm / Material HDPE / Standards SIRIM / PE100 / PN12.5 / Brand BBB literal and 32mm OD = nominal 1in; img png 600x600 238076B
3863,"FAS-RIV-PAT-1/8""X3/4""-PCK",PCK,fail,n/a,no,Soong Wung Jaguar rivet page carries no X3/4 grip-length text or SKU and shares one C72.png across four distinct-size SKUs; img png 800x800 216924B
5009,"PIP-UPVC-5255-1.1/4""",MTR,pass,n/a,no,Same Unimech 'UPVC Pipe Spec BS5255 Size 32-50mm' page - 32mm = 1-1/4in sits at range start and correct BS5255 sibling chosen yet the diameter itself is never named on page; img jpeg 1173x1057 31656B
4257,"FAS-RIV-PAT-1/8""X5/16""-PCK",PCK,fail,n/a,no,Soong Wung Jaguar rivet page carries no X5/16 grip-length text or SKU and shares one C72.png across four distinct-size SKUs; img png 800x800 216924B
2868,SPO-SCOTCH-BRITE-3M,PCK,pass,n/a,no,HomePro MY p1031600 PDP 'SCOTCH BRITE SCOURING PAD 31-B 5PC/PACK' brand SCOTCH BRITE tokens literal UOM PCK matches 5PC/PACK though specific model 31-B is not embedded in the code and 3M is not printed on page (Scotch-Brite is 3M brand line); img jpeg 1000x1000 58445B
3223,ELE-T5-4-CIELO-W/W,PCS,pass,n/a,yes,Cima Lighting same PDP with selectable option 'WW 3000K' plus size '4FT 18W' matching T5-4-CIELO-W/W variant grid; img jpeg 1000x1000 521461B second gallery shot of this listing
