source_position,item_code,uom,verifier_verdict,finish_exact,model_exact,justification
3986,SWI-SOC-ULT-M0813W,PCS,,,pass,yes,yes,"retouch.my (Broadlink, official reTOUCH distributor) White-category page quotes ""M0813W – 13A Flat Pin Switch Socket C/W Neon"" beside URW85.png; pixels show white small-rocker neon socket; 2250x2243 png 4839300B"
3861,ELE-ADA-MS-PT13,PCS,,,pass,yes,yes,"yuanming.com.my (Yuan Ming Electric, Morries distributor) page title ""MORRIES Travel Adaptor – MS-PT13"", spec Model: MS-PT13, Body Color: White, gallery img MS-PT13-A-1.png; pixels show white 3-pin morries adaptor; 827x830 png 251083B"
2746,ELE-D/L-PHL-59466-RD-6500K,SET,,,pass,yes,yes,"houseslightings.com.my dealer page titled ""PHILIPS MESON 59466 17W"", desc ""Meson Round 6'' 59466"", colour line includes ""Daylight 6500K""; image watermarked MESON 59466 17W round downlight w/ CCT strip incl 5000K-6500K; 1176x1200 jpeg 482654B"
2930,ELE-D/L-PHL-59466-RD-4000K,SET,,,pass,yes,yes,"same products_id=3790807 listing ""PHILIPS MESON 59466 17W"" / ""Meson Round 6'' 59466"", colour line literally names ""Cool white 4000K""; identical image labelled MESON 59466 17W round w/ CCT strip incl 4000K-4500K; 1176x1200 jpeg 482654B"
2775,ELE-D/L-PHL-59467-SQ-4000K,SET,,,pass,yes,yes,"houseslightings.com.my page ""PHILIPS MESON 59467 17W"", desc ""Meson Square 6'' 59467"", colour line includes ""Cool white 4000K""; image labelled MESON 59467 17W shows square downlight; 1000x1038 jpeg 357865B"
3385,SWI-SOC-ULT-M021MG,PCS,,,pass,yes,yes,"retouch.my Matte-Grey category page ""ULTRA RIMLESS 16A Light Switches"" quotes ""M021MG – 2 GANG 1 WAY"" beside MG35.png; pixels show matte-grey reTOUCH 2-gang switch plate; 2649x2607 png 9126780B"
4122,SWI-SOC-ULT-M0813BW,PCS,,,pass,yes,yes,"retouch.my White-category 13A sockets page quotes ""M0813BW – 13A Flat Pin Big Rocker Switch Socket"" beside URWw79.png; pixels show white socket with full-height big rocker; 1310x1311 png 1925592B"
3942,BAT-ENE-MINI-A27,PCK,,,pass,yes,yes,"energizer.com/apac/malaysia official OEM page ""ENERGIZER® ELECTRONIC BATTERIES – A27"", text ""Cell size: A27; Type: Miniature Alkaline"" and ""1-pack"" matches PCK; featured image is A27 12V 1-pack blister card; 1000x1000 png 390798B"
3985,SWI-ADA-MS-PT06,PCS,,,pass,yes,yes,"yuanming.com.my page ""MORRIES Travel Adaptor – MS-PT06"", Model: MS-PT06, Body Color White; pixels show retail pack whose label literally reads MS-PT06 MINI TRAVEL ADAPTOR with 2-flat-pin body; 827x830 png 306897B"
2803,SWI-SOC-NNE-9498,PCS,,,pass,yes,yes,"yuanming.com.my page ""NNE Metalclad Switch Socket 2 Gang 13A – NNE 9498"", spec Model: NNE 9498; NNE9498_FRONT.png in gallery; pixels show metalclad 2-gang switched socket; 827x830 png 343024B"
3062,SWI-SOC-NNE-9499,PCS,,,pass,yes,yes,"yuanming.com.my page ""NNE Metalclad Switch Socket 1 Gang 13A – NNE 9499"", spec Model: NNE 9499; NNE9499_FRONT.png in gallery; pixels show metalclad 1-gang switched socket; 827x830 png 626647B"
