source_position,item_code,uom,official_product_page,official_image_url,researcher_decision,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,reason,human_action
147,BOS-2608-619-701,PCS,https://aurous.com.my/product/bosch-fibre-cutting-disc-4-105mm-x-1-2mm-x-16mm-a45nbf-2-608-619-701-green/,,pending,C,no,no,PCS single disc matches retail unit,unknown,q:"2608619701" Bosch cutting disc | q:Bosch "105 x 1.2 x 16" official | q:site:bosch-professional.com OR site:bosch-diy.com "2608619701" | p:https://www.homepro.com.my/p/1075252 'CUTTING DISC 4" 1.2X16MM METAL & STAINLESS 2608619701' | p:https://aurous.com.my/product/bosch-fibre-cutting-disc-4-105mm-x-1-2mm-x-16mm-a45nbf-2-608-619-701-green/ 'Genuine Bosch GREEN 2608619701 dia105 bore16 thk1.2 A45NBF' | NO Bosch OEM page exists for part 2608619701 (only siblings 2608615276/2608603412 on bosch-professional) -> retailers only -> pending oem_page_missing
134,ELE-D/L-MEG-YTA60Z1-10W,PCS,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,candidate,A,yes,yes,PCS single bulb OK,needs_permission,q:"Megaman" Malaysia YTA60Z1 | q:"YTA70Z1" Megaman 15W | p:https://megaman.com.my/product/led-g-a-bulb/ official table 'YTA60Z1 | 10W | 720/810lm | Ø60*112' + note '10W 12W 15W= Daylight/Cool White/Warm White' proves 6500K under exact code | img 1-min.jpg fetched 1600x1600 VIEWED single white Megaman A60 bulb E27 clean bg; housing identical across CCTs so pixels cannot distinguish CCT - flagged | rights brand asset needs_permission
138,ELE-D/L-MEG-YTP38B1-10W,PCS,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8.jpg,candidate,A,yes,yes,PCS single stick PLC cap matches display_name Plc,needs_permission,q:"YTP38B1" Megaman LED stick | p:https://megaman.com.my/product/led-stick/ official table 'YTP38B1 | 10W | Cap PLC | Ø38*118' flux '(3000K/ 4000K&6500K)' proves 6500K of exact code | img Untitled-8.jpg 577x577 VIEWED single PLC 2-pin stick + retail box marked MEGAMAN LED BULB 10W 720 lumen PLC base icon exact | rights needs_permission
185,ELE-D/L-MEG-YTA60Z1-10W-4000K,PCS,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,candidate,A,yes,yes,PCS single bulb OK,needs_permission,q:Megaman Malaysia YTA60Z1 | p:https://megaman.com.my/product/led-g-a-bulb/ 'YTA60Z1 | 10W' + 'Daylight/Cool White/Warm White' proves 4000K variant of exact model by text | img 1600x1600 VIEWED single A60 white bulb; CCT indistinguishable in pixels flagged | rights needs_permission
154,ELE-D/L-MEG-YTP38B1-10W-4000K,PCS,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8.jpg,candidate,A,yes,yes,PCS OK,needs_permission,q:"YTP38B1" Megaman | p:https://megaman.com.my/product/led-stick/ 'YTP38B1 | 10W | PLC' '(3000K/ 4000K&6500K)' 4000K proven by text | img Untitled-8.jpg 577x577 VIEWED single PLC stick 10W box | rights needs_permission
153,ELE-D/L-MEG-YTA70Z1-15W,PCS,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-6.jpg,pending,C,no,no,PCS OK,needs_permission,q:"YTA70Z1" Megaman 15W | p:https://www.esllighting.com.my/showproducts/productid/4098953/megaman-led-ga-bulb-15w-e27-yta70z1/ 'MEGAMAN LED G/A Bulb 15W E27 - YTA70Z1 1350lm' | p:https://megaman.com.my/product/led-g-a-bulb/ official table 'YTA70Z1 | 15W | Ø70*143' model proven | no isolated A70 image (gallery = A60 single Untitled-6 family lineup) -> pending a70_shape_not_isolated
178,ELE-D/L-MEG-YTP38B1-10W-3000K,PCS,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8.jpg,candidate,A,yes,yes,PCS OK,needs_permission,q:"YTP38B1" Megaman | p:https://megaman.com.my/product/led-stick/ 'YTP38B1 | 10W | PLC' '(3000K/...)' 3000K proven by text | img Untitled-8.jpg VIEWED single PLC stick + 10W box | rights needs_permission
197,ELE-D/L-MEG-YTA65Z2-12W,PCS,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-6.jpg,pending,C,no,no,PCS OK,needs_permission,q:"YTA65Z2" Megaman | p:https://www.jllelectrical.com.my/showproducts/productid/4013283/cid/115753/megaman-yta65z2-12w-220240v-e27-1080lm-led-gls-bulb-3000k4000k6500k/ distributor title 'MEGAMAN YTA65Z2 12W E27 1080LM' | p:https://megaman.com.my/product/led-g-a-bulb/ 'YTA65Z2 | 12W | Ø65*132' model proven | no isolated A65 image on official page -> pending a65_shape_not_isolated
237,ELE-D/L-MEG-YTG45Z1-5W,PCS,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-4.jpg,candidate,A,yes,yes,PCS mini globe OK,needs_permission,q:"YTG45Z1" Megaman G45 | p:https://megaman.com.my/product/led-g-a-bulb/ TWO YTG45Z1 rows incl '5W | 400/450lm | Ø45*80' 5W exact variant proven | img Untitled-4.jpg 560x560 VIEWED single round golf-ball bulb + box MEGAMAN 5W 450 Lumen E27 wattage+shape exact | rights needs_permission
168,ELE-D/L-MEG-YTP45Z1-15W-4000K,PCS,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-11.jpg,candidate,A,yes,yes,PCS E27 cap matches display_name,needs_permission,q:"YTP45Z1" Megaman | p:https://megaman.com.my/product/led-stick/ 'YTP45Z1 | 15W | 1200/1350 | E27 | Ø45*143' '(3000K/ 4000K&6500K)' 4000K proven; brief detected_model E27 resolved to true code via page | img Untitled-11.jpg 593x593 VIEWED single E27 stick + box 15W 1200 Lumen E27 exact | rights needs_permission
