item_code,uom,display_name,category,official_product_page,official_image_url,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,decision,reason,human_action
BOS-0601-9G8-1L7,UNIT,Gsb 121B Batt. Impact Drill (1 Batt.),Power Tools,https://www.bosch-pt.com.my/my/en/products/gsb-120-li-06019G81L0,,B,unresolved,no,UNIT 1-battery kit,needs_permission,pending,Q: gsb-120-li page live; row order suffix 1L7 variant not listed on MY page - variance.,Confirm 1L7 with Bosch MY; else model-level mapping with approval
BOS-2608-522-406,PCS,Impact Bit PH2 X 110MM,Power Tools,https://www.bosch-pt.com.my/my/en/pro-long-groove-double-ended-impact-bit-3095581-ocs-ac/,https://www.bosch-pt.com.my/my/en/ocsmedia/optimized/137x77/o469860v82_2608522406_bo_pro_u_f_1.png,A,yes,yes,PCS bit PH2 110mm,needs_permission,candidate,Q: impact-bit page: order 2 608 522 406 = PH2 110mm exact (prior pass verified).,Request Bosch MY permission
BOS-2608-522-407,PCS,Impact Bit PH2 X 150MM,Power Tools,https://www.bosch-pt.com.my/my/en/pro-long-groove-double-ended-impact-bit-3095581-ocs-ac/,https://www.bosch-pt.com.my/my/en/ocsmedia/optimized/137x77/o466604v82_2608522407_bo_pro_u_f_1.png,A,yes,yes,PCS bit PH2 150mm,needs_permission,candidate,Q: same page: order 2 608 522 407 = PH2 150mm exact.,Request Bosch MY permission
ELE-D/L-MEG-YTA65Z2-12W,PCS,Megaman A65 E27 LED Bulb,Lighting,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,A,yes,yes,pcs,needs_permission,candidate,Q: YTA65Z2 12W E27 listed; row names no CCT so nothing contradicted.,Obtain Megaman MY permission
BOS-0601-9G8-0L4,UNIT,Gsr 121B Batt. Screwdriver (1 Batt.),Hand Tools,https://www.bosch-pt.com.my/my/en/products/gsr-120-li-06019G80L0,,B,unresolved,no,UNIT screwdriver 1 batt,needs_permission,pending,Q: gsr-120-li page live; row order 0L4 variant not on MY page - variance.,Confirm 0L4 variant with Bosch MY
ELE-BUL-B22-3W-YEL,PCS,Taicon B22 3W LED Color Bulb - Yellow,Lighting,,,R,no,no,PCS consistent,no_asset,reject,Q: Taicon official-site check (DNS NXDOMAIN taicon.com.my; taicon.com unrelated capacitor maker; marketplace/wholesaler presence only). no_official_taicon_website.,Request Taicon catalogue/photo from distributor or photograph stock
CHA-SAW-STIHL-MS172,UNIT,Stihl Chainsaw 16 Stihl Chain & Guide BAR,"Rope, Chain & Netting",,,R,no,no,UNIT chainsaw 16in bar,no_asset,reject,Q: THK petrol-chainsaws category recheck: lineup MS170/180/210/230/250/260/361/382/462/651/070/720/881 - MS172 absent.,Drop item or substitute THK-listed model
ELE-D/L-MEG-YTA70Z1-15W-3000K,PCS,Megaman A70 E27 LED Bulb YTA70Z1 15W/3000K,Lighting,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,A,yes,yes,pcs,needs_permission,candidate,Q: YTA70Z1 15W; 3000K confirmed.,Obtain Megaman MY permission
KET-PSN-NC-GK1WSK,PCS,Panasonic 1.7L Plastick Kettle,Home Appliances,https://www.panasonic.com/my/support/product-archives/consumer/kitchen-appliance/breakfast-appliances/kettles/nc-gk1.specs.html,,A,unresolved,yes,PCS kettle white 1.7L plastic,unknown,pending,Q: Panasonic NC-GK1WSK product-archive specs page confirms model/colour/1.7L (prior pass); page bot-blocks automated image fetch.,Manual browser capture of official image; then promote to candidate
RUB-TRT02-SA302,UNIT,Rubine Double Spout Wall Mounted S'tap,Home Appliances,https://www.rubine.com.my/product/RT-SA-302-7C,,B,unresolved,unresolved,UNIT wall-mounted tap,unknown,pending,Q: direct + proxy fetch: nav shell only; RT-SA-302 body JS-rendered/unconfirmed. Page exists.,Contact Rubine/Fiamma for live spec + official image
STA-PRE-WAS-BEPW1600L,UNIT,Black+decker Pressure Washer L 110 BAR,Power Tools,https://asia.blackanddecker.global/product/bepw1600l-xd/110-bar-pressure-washer,https://asia.blackanddecker.global/ASIA/PRODUCT/IMAGES/HIRES/BEPW1600L_1.jpg,A,yes,yes,UNIT washer w/ wand+nozzles+hose,needs_permission,candidate,Q: BEPW1600L-XD page live: '110 Bar Pressure Washer' title; 110 bar on-page resolves prior wattage flag. HIRES verified.,Request B+D SEA permission
"EXH-FAN-KHI-10""-WHI-EF1001",SET,Khind 10 Exhaust Fan (off White),Fans & Ventilation,https://khind.com.my/products/khind-exhaust-fan-ef1001,http://khind.com.my/cdn/shop/files/ef1001_010223112124.jpg?v=1751809533,A,yes,yes,SET exhaust fan 10in off-white,needs_permission,candidate,Q: khind EF1001 page HTTP 200 (rechecked); OW suffix off-white (prior pass verified).,Request Khind permission
NIP-PHG-1L-A,CAN,1L Platone High Gloss Accent Base,Paint & Sundries,https://www.nipponpaint.com.my/product/platone-high-gloss/,https://www.nipponpaint.com.my/wp-content/uploads/2024/11/platone.webp,C,unresolved,unresolved,CAN 1L accent base,needs_permission,pending,Q: platone-high-gloss line page live; pack sizes/base variants not printed.,Confirm pack/base with Nippon dealer
NIP-PHG-5L-A,CAN,5L Platone High Gloss Accent Base,Paint & Sundries,https://www.nipponpaint.com.my/product/platone-high-gloss/,https://www.nipponpaint.com.my/wp-content/uploads/2024/11/platone.webp,C,unresolved,unresolved,CAN 5L accent base,needs_permission,pending,Q: same line page; 5L accent base not printed.,Confirm pack/base with Nippon dealer
BOS-0601-068-000,UNIT,Gol 26D Optical Leveller,Power Tools,https://www.bosch-pt.com.my/my/en/products/gol-26-d-0601068000,https://www.bosch-pt.com.my/binary/ocsmedia/optimized/750x422/o451656v54_GOL_26_D_SOS_0601068000_f4_V2.png,A,yes,yes,UNIT optical leveller,needs_permission,candidate,Q: gol-26-d-0601068000 page live; order exact (prior pass verified).,Request Bosch MY permission
CHA-SAW-STIHL-MS162,UNIT,Stihl Chainsaw 14 Stihl Chain & Guide BAR,"Rope, Chain & Netting",,,R,no,no,UNIT chainsaw 14in bar,no_asset,reject,Q: THK category recheck: MS162 not in West-MY lineup.,Drop item or substitute MS170/180
KHI-COO-RC806N,SET,Khind 0.6L Rice Cooker (light Winter GREY)-RC806N,Home Appliances,https://khind.com.my/products/khind-electric-rice-cooker-light-winter-grey,http://khind.com.my/cdn/shop/files/rc806n-wh-cover-lightwintergrey_111021153752_e42fbdf3-0718-455a-8986-c57ca0bc3154.jpg?v=1751809474,A,yes,yes,SET rice cooker 0.6L light winter grey,needs_permission,candidate,Q: khind RC806N light-winter-grey page HTTP 200 (rechecked); colour verbatim in slug/page (prior pass verified).,Request Khind permission
KHI-TOA-BT808,SET,Khind Bread Toaster (mint),Home Appliances,https://khind.com.my/products/khind-2-slices-bread-toaster-with-anti-dust-cover-bt808,http://khind.com.my/cdn/shop/files/BT808_cover_WH.jpg?v=1751809360,A,yes,yes,SET toaster 2-slice mint,needs_permission,candidate,Q: BT808 page HTTP 200 (rechecked); mint exact (prior pass verified).,Request Khind permission
STA-PRE-WAS-BCPC20D1,UNIT,Black+decker 20V Power Cleaner,Chemicals & Adhesives,https://asia.blackanddecker.global/product/bcpc20d1-b1/pressure-gun-cleaning-battery-20v-350-psi,https://asia.blackanddecker.global/ASIA/PRODUCT/IMAGES/HIRES/BCPC20D1_6.jpg,A,yes,yes,SET likely: B1 kit incl 20V battery+charger - revisit UOM,needs_permission,candidate,Q: BCPC20D1-B1 official page found (slug differs from prior guess): 20V/350PSI power cleaner kit.,Confirm SET UOM/pricing; request B+D SEA permission
STI-BRU-CUT-FR3001,UNIT,Stihl Brush Cutter,Outdoor & Garden,https://stihl-thk.com.my/products/fr-3001/,https://stihl-thk.com.my/wp-content/uploads/2023/03/FR-3001.jpg,A,yes,yes,UNIT backpack brushcutter,needs_permission,candidate,Q: stihl-thk.com.my FR 3001 page live with dedicated product image; specs 25.5cc/0.75kW.,Request image usage permission from THK Powertools (M) Sdn Bhd
BOS-AQSD110F,UNIT,Adelino Submersible Sewage Pump 1.1KW,Pumps & Water,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,Q: AQS submersible sewage pump searches; Adelino brand misfiled under BOS- prefix; no official MY page. brand_misfiled_no_source.,Rebrand row as Adelino; confirm model with distributor
NIP-PHG-1L-P,CAN,1L Platone High Gloss Paster Base,Paint & Sundries,https://www.nipponpaint.com.my/product/platone-high-gloss/,https://www.nipponpaint.com.my/wp-content/uploads/2024/11/platone.webp,C,unresolved,unresolved,CAN 1L paster base,needs_permission,pending,Q: platone line page; paster-base variant/pack not printed.,Confirm pack/base with Nippon dealer
PSN-TK-CS10-WMA,PCS,Panasonic Water Purifier (white),Home Appliances,https://www.panasonic.com/my/consumer/kitchen-appliance/water/water-purifier/tk-cs10.html,,A,yes,yes,PCS water purifier white,unknown,pending,Q: panasonic.com/my tk-cs10 PDP live (prior pass verified); item code TK-CS10-WMA correct - CSV detected_model CS200-WMA was wrong and is corrected here. Q: panasonic.com/my PDP bot-blocks automated fetch (HTTP 403) - official image not extractable this pass.,Fix detected_model in PIM; request Panasonic MY permission
STA-CHO-SSC22,UNIT,Stanley Chopsaw 2200W 355MM,Power Tools,https://my.stanleytools.global/product/ssc22-xd/2200w-355mm-chop-saw,https://my.stanleytools.global/ASIA/PRODUCT/IMAGES/HIRES/SSC22_1.jpg,A,yes,yes,UNIT chop saw,needs_permission,candidate,Q: ssc22-xd sitemap-canonical MY page: 2200W 355mm Chop Saw. HIRES verified.,Request SBD MY permission
BOS-0601-9K3-1L2C1,SET,Gsb + Gdr Kit Combo Kit,Power Tools,https://www.bosch-pt.com.my/my/en/products/gsb-185-li-06019K31L2,,B,unresolved,no,SET GSB+GDR kit,needs_permission,pending,Q: gsb-185-li-06019K31L2 page live but GDR combo component unverified on MY site (combo-kits category rechecked).,Confirm 1L2C1 combo contents with Bosch MY
NIP-PHG-5L-P,CAN,5L Platone High Gloss Paster Base,Paint & Sundries,https://www.nipponpaint.com.my/product/platone-high-gloss/,https://www.nipponpaint.com.my/wp-content/uploads/2024/11/platone.webp,C,unresolved,unresolved,CAN 5L paster base,needs_permission,pending,Q: platone line page; 5L paster base not printed.,Confirm pack/base with Nippon dealer
OVEN-KHI-TOA-OT3005,SET,Khind Oven Toaster (black),Home Appliances,https://khind.com.my/products/khind-electric-oven-ot3005,http://khind.com.my/cdn/shop/files/OT3005-KOL02_1ecd9a79-1018-4b1d-ac81-dbaaf2223795.jpg?v=1751809728,A,yes,yes,SET oven toaster black,needs_permission,candidate,Q: khind OT3005 page HTTP 200 (rechecked); black exact (prior pass verified).,Request Khind permission
PAI-SPR-SAM-2K01,PCS,Samurai Clearcoat Spray,Paint & Sundries,https://samuraipaint.com/products/2k01-top-coat-clear,https://samuraipaint.com/cdn/shop/files/2K01_467e5ff6-2529-4889-b249-e99de298513f.jpg,A,yes,yes,PCS clearcoat spray 2K,needs_permission,candidate,Q: samuraipaint.com (SAMURAI 2K AEROSOL official store) 2K01 top-coat clear page (prior pass verified).,Request Samurai image permission
NIP-QSH-EXT-20L-P,DRUM,18L Nippon Q-shield Extra Pastel Base,Paint & Sundries,https://www.nipponpaint.com.my/product/q-shield-extra/,,C,unresolved,unresolved,DRUM 18L pastel base,needs_permission,pending,Q: q-shield-extra line page live; pastel base/18L not printed.,Confirm pack/base with Nippon dealer
PSN-TK-CS200C-EX,PCS,Panasonic Water Cartridge,Home Appliances,https://www.panasonic.com/my/consumer/kitchen-appliance/water/cartridge/tk-cs200c-ex.html,,A,yes,yes,PCS water cartridge,unknown,pending,Q: panasonic.com/my TK-CS200C-EX PDP live (prior pass verified). Q: panasonic.com/my PDP bot-blocks automated fetch (HTTP 403) - official image not extractable this pass.,Request Panasonic MY permission
STA-TRI-ST55,UNIT,Stanley 550W 6.35MM Corded Trimmer,Power Tools,https://my.stanleytools.global/product/st55-b1/550w-palm-router,https://my.stanleytools.global/ASIA/PRODUCT/IMAGES/HIRES/ST55_1.jpg,B,unresolved,unresolved,UNIT trimmer/router,needs_permission,pending,Q: official MY page = ST55-B1 '550W Palm Router'; row labels it Corded Trimmer and claims 6.35mm collet (not stated on page). Label + collet variance.,Verify 6.35mm collet via SBD datasheet; relabel to Palm Router; then promote
TAP-SAN-SWP-SS-304-3937-MB,PCS,Saniware Premier Kitchen Pillar Sink Tap-matt Blk,Kitchen & Sinks,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,Q: ?s=3937 saniware -> only SS base model at distributors; MB variant never found. variant_absent.,Confirm 3937-MB with Saniware
BOS-0611-338-9L1,UNIT,Gsh 5MX Demolition Hammer,Power Tools,https://www.bosch-pt.com.my/my/en/products/gsh5mx-06113389L1,https://www.bosch-pt.com.my/binary/ocsmedia/optimized/750x422/o596317v54_o587462v12.png,A,yes,yes,UNIT demolition hammer,needs_permission,candidate,Q: gsh5mx-06113389L1 page live; order exact (prior pass verified).,Request Bosch MY permission
ELE-D/L-MEG-YTP38Z1-10W,PCS,Megaman LED Stick Bulb E27 YTP38Z1 10W/6500K,Lighting,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-2.jpg,A,yes,yes,pcs,needs_permission,candidate,Q: YTP38Z1 10W E27; 6500K confirmed.,Obtain Megaman MY permission
X-LOC-YALE-Y120B-50-KA3,SET,Yale (key Alike) Boron Shackle Padlock Y120B-50-KA3,Lifting & Rigging,https://www.yalehome.com/my/en/products/padlocks/outdoor-environment/y120b-series,,C,unresolved,unresolved,SET padlock key-alike,unknown,pending,Q: yalehome Y120B family page; KA3 code not printed as official SKU.,Confirm KA3 ordering code with Yale MY
ELE-CAB-WIR-MKK-1.5MM-YELLOW,ROLL,MKK Cable 1.5MM (7/0.39MM) Yellow,Electrical,,,C,unresolved,unresolved,PCS consistent,no_asset,pending,Q: MKK manufacturer-site queries: no official site exists. commodity_cable_no_brand_site.,Supplier photo or own-stock photo
NIP-WTRB-5L-P,CAN,5L Nippon Weatherbond Quartz Pastel Base,Paint & Sundries,https://www.nipponpaint.com.my/product/weatherbond-quartz/,https://www.nipponpaint.com.my/wp-content/uploads/2024/12/weatherbond-quartz-best-in-class.webp,C,unresolved,unresolved,CAN 5L pastel base,needs_permission,pending,Q: weatherbond-quartz line page; 5L pastel base not printed.,Confirm pack/base with Nippon dealer
STA-POL-SP137,UNIT,Stanley 1300W 180MM Polisher,Power Tools,https://my.stanleytools.global/product/sp137-xd/1300w-180mm-polisher,https://my.stanleytools.global/ASIA/PRODUCT/IMAGES/HIRES/SP137_1.jpg,A,yes,yes,UNIT polisher incl pad+bonnet,needs_permission,candidate,Q: sp137-xd MY page: 1300W 180mm Polisher. HIRES verified.,Request SBD MY permission
ELE-D/L-MEG-YTP38Z1-10W-4000K,PCS,Megaman LED Stick Bulb E27 YTP38Z1 10W/4000K,Lighting,https://megaman.com.my/product/led-stick/,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-2.jpg,A,yes,yes,pcs,needs_permission,candidate,Q: YTP38Z1 10W E27; 4000K confirmed.,Obtain Megaman MY permission
FAN-CEI-DEKA-CCNL54RG12,UNIT,Deka Ceiling Fan Geno Rose Gold,Fans & Ventilation,https://deka.my/geno-54-led/,https://deka.my/wp-content/uploads/2025/07/GENO-54LED-RG-Jpg.jpg,A,yes,yes,each single fan 54in rose gold,needs_permission,candidate,Q: geno-54-led page: RG swatch links to GENO-54LED-RG-Jpg.jpg (per-finish gallery).,Request Deka MY consent
FAN-FLO-KHI-FF1803B,SET,Floor Fan 18,Fans & Ventilation,https://khind.com.my/products/khind-18-industrial-floor-fan,http://khind.com.my/cdn/shop/files/ff1803b_220923182730.jpg?v=1751809195,A,yes,yes,SET floor fan 18in black,needs_permission,candidate,Q: khind FF1803B page HTTP 200 (rechecked); black via SKU (prior pass verified).,Request Khind permission
STA-PLA-STEL630,UNIT,Stanley Planer 82MM,Power Tools,https://my.stanleytools.global/product/stel630-xd/750w-9mm-planer,https://my.stanleytools.global/ASIA/PRODUCT/IMAGES/HIRES/STEL630_1.jpg,B,unresolved,unresolved,UNIT planer,needs_permission,pending,Q: official MY title '750W 9mm Planer' vs row 82MM; planing width absent from on-page specs; 82mm only in trade listings. Width conflict.,Confirm 82mm with SBD MY (suspected title typo); then promote
BOS-0601-387-0L0,UNIT,Gex Eccentric Disc Sander 125-1A,Power Tools,https://www.bosch-pt.com.my/my/en/products/gex-125-1-a-06013870L0,https://www.bosch-pt.com.my/my/en/ocsmedia/275485-82/product-image/166x164/random-orbit-sander-pro-gex-125-1-ae-06013870l0.png,A,yes,yes,each incl microfilter + disc,needs_permission,candidate,Q: gex-125-1-a-06013870L0 page live; order 0601387 0L0 exact (page named GEX 125-1 AE; SKU/artwork confirm 125-1A version).,Request Bosch MY permission
ELE-D/L-MEG-YTG45Z1-5W,PCS,Megaman G45 E27 LED Bulb YTG45Z1/5W 5W/6500K,Lighting,https://megaman.com.my/product/led-g-a-bulb/,https://megaman.com.my/wp-content/uploads/2020/12/1-min.jpg,A,yes,yes,pcs,needs_permission,candidate,"Q: YTG45Z1 5W listed; 3W/5W/7W = Daylight/Warm White only -> 6500K confirmed, no 4000K exists.",Obtain Megaman MY permission
NIP-SEA-5170-20L,DRUM,20L Nippon Acrylic 5170 Wall Sealer,Paint & Sundries,https://www.nipponpaint.com.my/product/acrylic-5170-wall-sealer/,,C,unresolved,unresolved,DRUM 20L,needs_permission,pending,Q: acrylic-5170 line page live; 20L pack not printed.,Confirm pack with Nippon dealer
