source_position,item_code,uom,official_image_url,image_sha256,image_px_w,image_px_h,image_bytes
3223,ELE-T5-4-CIELO-W/W,PCS,https://cdn1.sgliteasset.com/eluxelig/images/product/product-5938586/cached/klRotFIO6772683db025f_1735551038_420x420.jpg,9fdfdfd51254bb358316aac043bcdf3225dcc7c93cc87ec244e86db4d395a900,420,420,44803
3361,SWI-ADA-MS3106N,PCS,https://www.yuanming.com.my/wp-content/uploads/2025/08/41-600x600.png,05c52571c12bc377422e7b990de2da2eecc88e99ba827ac552a76e092250441d,600,600,95098
134,ELE-D/L-MEG-YTA60Z1-10W,PCS,https://cdn1.npcdn.net/npimg/1654071317d9dc9da42915afeef96e1d70000bf0b7.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,6dd9a478c51dcc1e088e80ac684b8a2b62a46948df53e4af44d3db84d3a79e3f,1000,1000,32344
153,ELE-D/L-MEG-YTA70Z1-15W,PCS,https://cdn1.npcdn.net/npimg/16541359299be3be83ba8db760846b4d859bed705f.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,ec860cdaec0e940dc5289371fd5cd1bca050f9ab2ff811dfd7aa1797f0855fcc,1000,1000,32388
197,ELE-D/L-MEG-YTA65Z2-12W,PCS,https://cdn1.npcdn.net/npimg/16541351427f80a8e5a11d6f37a8a173069a4e8135.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,cd8e85e707b0fe5e828f0fa2e2c460e9515227704583c6802abc1a15ad548242,1000,1000,32418
138,ELE-D/L-MEG-YTP38B1-10W,PCS,https://cdn1.npcdn.net/npimg/16541440578c008f45fefd4cef95e9c013baf3efb2.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,b1e16a1ca0bbd4ee2d1982c18f01e04009c7bba85b529494ebf0259c8ec53495,1000,1000,30572
227,ELE-D/L-MEG-YTP38Z1-10W,PCS,https://cdn1.npcdn.net/npimg/1654141502046852ea8697ea772e25ff7e4dad7ca6.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,7b7d0657fde94cad7a9c461e69fd922993a5ab12ee56c4c750cd7104c89a4586,1000,1000,31356
168,ELE-D/L-MEG-YTP45Z1-15W-4000K,PCS,https://cdn1.npcdn.net/npimg/1654141237cabdb9b6cb4e1b13760ccc757d5495d8.webp?md5id=d0866fb7fef7340334755089f89bdfeb&new_width=1000&new_height=1000&size=max&w=1784535547&from=png&type=9,57fa3e3bcf712005bbc4e4d84950a0492e1ca4712d3060d50e87d2bb7a3b4a38,1000,1000,31444
3756,ELE-D/L-MGM-MQTL2048-6500K,PCS,https://megaman.com.my/wp-content/uploads/2020/12/Untitled-8-6.jpg,5c472ecab3ddbfb7148542be99351e9f73aab8c64b24ef51d2d41b4af843aeb6,800,800,39451
3593,HHD-FLU-M0676-L110W-50MM,PCS,https://techplas.com.my/wp-content/uploads/2022/08/FAO-L110-W.jpg,70100f348ea0c849c5e11a7a14c714076d6d8b7063eb80807fa9d9ea3b35eaa0,1000,1000,266874
440,VAC-KHI-VC8020MS,SET,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/ssmy.zone-1693885930-VC8020MS_wh_cover.jpg?v=1751809268,17689dce38a5511bd0b64eab4c723e11a6f21b55ce067551f27b56c2acfc74fb,2000,2000,140050
442,MIX-KHI-HM200,SET,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/ssmy.zone-1721101196-HM200_WH.jpg?v=1751809038,f496cde2d6b791e9979c89cc92ad7a1caf49b1b56c4579b7b108ae6856bc7b68,2000,2000,105615
446,VAC-KHI-VC68P,SET,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/vc68p-cover_220721131926_2a27f2fb-6483-4697-84ad-75ecc2a7d160.jpg?v=1751809349,969181600522ab67857569b1e0363432abadd753f5425463a86775d010946685,2000,2000,65651
469,GAS-STO-KHI-GC6010,SET,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/gc6010-hi_220523171908.jpg?v=1751809699,e0e40a1a18d5a7e2026c55cf588454fb569fff685e07d9ec9cc3a8c93c9c86d4,4288,2848,383164
477,JUG-KHI-EK502,SET,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/ek502-wh-cover_220523155050.jpg?v=1751809340,045be76704995b9fc50deac08c3574dab75ff37f0640f8dfc49117939b3e4b13,2000,2000,157203
522,KHI-COO-MC121,SET,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/mc121-1-kol_150622103348.jpg?v=1751809249,7f488bebaf881b56a24a3c1d38e5ab41e56c4c37eb0b930411d0b0ccd8bfb9e4,2000,2000,193172
523,KHI-IRO-EI405-GRY,SET,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/ei405-wh-cover_190523162150.jpg?v=1751809338,d943416636545d3f1051ffb5bb9896be72f580124ebde5cd9079da745db99bb8,2000,2000,77740
578,PRE-STO-KHI-SPC6,SET,https://cdn.shopify.com/s/files/1/0921/1566/5177/files/spc6_230821170400.jpg?v=1751809563,70520c27b33307ac7fa22c290f6420c6934bff37868c34d7537b595ad70764e7,1000,1000,87110
627,FAN-CEI-DEKA-CX146BK12,UNIT,https://deka.my/wp-content/uploads/2025/11/X-ONE-46-2560X2560-BK.png,b3ccf38df37728db90dcdace67b2933710e2354f34a666bf0cc17e3b367e92cd,2560,2560,316998
632,FAN-CEI-DEKA-CDKN54MG12,UNIT,https://deka.my/wp-content/uploads/2025/07/KONI-54-MG-Jpg.jpg,480516948e74fc13538428585d5202e85996bbca2fe922dd1f0f18f2407d1dd1,1000,1000,122121
