ordinal,source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,human_action,tiers_tried,reason
7194,2061,GUN-CAU-GT903,PCS,pending,,,,n/a,n/a,,unknown,"Email the Glotool supplier/distributor in Malaysia for an official 903Y caulking gun photo, or shoot-in-store","2","q:'Glotool Caulking Gun 903Y' websearch -> HTTP 429 rate-limited all sitting; p:https://glotool.com/?s=903Y -> zero results; p:https://glotool.com/?s=caulking&post_type=product and ?s=wrench&post_type=product -> zero product links; p:https://glotool.com/ homepage -> all links point to glotool.co.za (South African 'GloTool Hardware Tools Decor', different company, wrong region). No official Malaysian Glotool site identifiable; no image invented."
7195,1567,NIETZ-MOU-FLA-WHE-57131080,PCS,reject,,,,n/a,no,,unknown,"Email info@nietz.com.my requesting size-specific product photos for LS309X item code 57131080 (30x20x6), or crop from official catalogue if permitted, else shoot-in-store","2|3","q:nietz.com.my on-site search '57131080' -> 'we can't find what you're looking for' (p:https://nietz.com.my/?s=57131080&post_type=product); q:on-site search 'flap wheel' -> found series page; p:https://nietz.com.my/product/nietz-mounted-flap-wheel-ls309x-al-oxide/ TITLE='NIETZ Mounted Flap Wheel LS309X (Al Oxide)' but codes 57131080/57131100/30x20x6 appear nowhere in page text; og:image=https://nietz.com.my/wp-content/uploads/2024/08/42_57110060-until-57152120.png which is a RANGE/family-hero filename covering 57110060-until-57152120 -> automatic family-hero reject per rule 6; only shared series shot exists, no model-specific asset."
7196,1596,NIETZ-MOU-FLA-WHE-57131100,PCS,reject,,,,n/a,no,,unknown,"Email info@nietz.com.my requesting size-specific product photos for LS309X item code 57131100, or shoot-in-store","2|3","q:nietz.com.my on-site search 'flap wheel'; p:https://nietz.com.my/product/nietz-mounted-flap-wheel-ls309x-al-oxide/ TITLE='NIETZ Mounted Flap Wheel LS309X (Al Oxide)'; grep of raw HTML shows only series name LS309X x18 occurrences, no 57131100 code; og:image=https://nietz.com.my/wp-content/uploads/2024/08/42_57110060-until-57152120.png = range hero covering many sizes -> family-hero reject per rule 6."
7197,2584,"TOO-NIE-ALL-KEY-06MM",PCS,reject,https://nietz.com.my/product/nietz-extra-long-ball-point-hex-wrench-s2-satin/,,,n/a,no,,unknown,"Email info@nietz.com.my for a per-size photo of satin extra-long ball point hex wrench code 53252060 (6MM), else shoot-in-store","2|3","q:websearch 'Nietz 53252060' variants -> HTTP 429; p:https://nietz.com.my/?s=53252060 -> no results; q:on-site searches 'ball+point','extra+long' -> candidate list; p:https://nietz.com.my/product/nietz-extra-long-ball-point-hex-wrench-s2-satin/ TITLE='NIETZ Extra Long Ball Point Hex Wrench S2 (Satin)' matches display_name finish/type, but page text carries only range endpoints 53252015 and 53252222, never 53252060; og:image=https://nietz.com.my/wp-content/uploads/2024/07/35_53252015-until-532522220.png = RANGE family hero covering the whole satin hex-wrench size run incl 06MM -> reject per rule 6."
7198,2230,"TOO-NIE-SOC-HAN-1/2""-11MM",PCS,reject,https://nietz.com.my/product/nietz-1-2-drive-chrome-deep-socket-12pt/,,,n/a,no,,unknown,"Email info@nietz.com.my for an individual photo of chrome socket 50043011 (1/2in Dr 12PT 11MM), else shoot-in-store","2|3","q:on-site search '50043011' -> no results (p:https://nietz.com.my/?s=50043011&post_type=product); q:on-site search 'chrome socket' -> 24 socket products listed; p:https://nietz.com.my/product/nietz-socket/ generic page og:image=https://nietz.com.my/wp-content/uploads/2024/07/2_50862210-until-50862401.png (different 50862xxx range, no 50043011); p:https://nietz.com.my/product/nietz-1-2-drive-chrome-deep-socket-12pt/ TITLE=""NIETZ 1/2'' Drive Chrome Deep Socket (12PT)"" correct type but og:image=https://nietz.com.my/wp-content/uploads/2024/06/7_50043008-until-50043032.png is the literal textbook family-hero range image covering codes 08-32 including our 11 -> reject per rule 6."
7199,2488,"TOO-COM-GLO-12MM",PCS,pending,,,,n/a,n/a,,unknown,"Email the Glotool supplier/distributor for an official combination wrench 12MM photo, or shoot-in-store","2","q:'Glotool combination wrench' websearch -> HTTP 429; p:https://glotool.com/?s=wrench&post_type=product and ?s=combination&post_type=product -> zero results; p:https://glotool.com/ resolves to glotool.co.za (South African company, not the Malaysian hardware brand); bing rss discovery returned junk. No official source exists for this house-label brand; no image invented."
7200,1622,NIP-ECO-OR,CAN,pending,,,,n/a,n/a,,unknown,"Email Nippon Paint Malaysia customercare (1800-88-2663 / nipponpaint.com.my contact form) requesting official pack shot of trade code 811-1025 Eco 100 Red Oxide 1L, or shoot-in-store","2|3","q:websearch '811-1025 Eco 100 Red Oxide' -> HTTP 429; p:https://www.nipponpaint.com.my/ homepage OK; q:on-site search 'red+oxide' (p:https://www.nipponpaint.com.my/?s=red+oxide) -> hits EA9 Red Oxide Primer etc; p:https://www.nipponpaint.com.my/product/ea9-red-oxide-primer/ TITLE='EA9 Red Oxide Primer for metal and masonry' but page contains NO '811' and NO 'Eco 100' -> wrong model; q:on-site search 'eco+100' (p:.../?s=eco+100) -> no matching product; q:on-site search '811' (p:.../?s=811) -> irrelevant brush hit; shoponline.nipponpaint.com.my fetches timed out; professional.nipponpaint.com.my/?s=red+oxide is brochure-only. Trade SKU not published on consumer site -> pending."
7201,2077,NIP-ODO-SFT-MATT-5L-T,CAN,candidate,https://www.nipponpaint.com.my/product/odourlite-soft-matt-finish/,https://www.nipponpaint.com.my/wp-content/uploads/2025/04/odourlite-soft-matt-finish-colourful-kitchen-cabinets-img.webp,medium,yes,yes,CAN matches - sold as paint can with 5L size option referenced on page,unknown,"If a clean can render is required, request from Nippon Paint Malaysia marketing or shoot-in-store; og:image of page reuses sibling gloss can so avoided","2","p:https://www.nipponpaint.com.my/?s=red+oxide listing surfaced odourlite-soft-matt-finish; p:https://www.nipponpaint.com.my/product/odourlite-soft-matt-finish/ opened LEN=391705; model-quote:""Odourlite Soft Matt Finish"" verbatim in title 'Odourlite Soft Matt Finish for Wood & Metal | Nippon Paint' plus Soft Matt x50 mentions in body; sizes 1L/5L present in page text; og:image=https://www.nipponpaint.com.my/wp-content/uploads/2024/11/odourlite-gloss.webp is the sibling GLOSS can (sibling image, not used); only exact-product-named direct asset is odourlite-soft-matt-finish-colourful-kitchen-cabinets-img.webp (lifestyle shot) -> captured; confidence medium because image is lifestyle not can render and '-T' base suffix unverifiable."
7202,2041,WEL-MAC-IWE-MIG-220I,UNIT,pending,,,,n/a,n/a,,unknown,"Contact I-WELD Malaysia via i-weld.com.my for MIG 220I machine photo, else request from welding supplier or shoot-in-store","2|3","q:'i-weld MIG 220I Malaysia' websearch -> HTTP 429; domain probes iweld.com.my/i-weld.my/iweld.com.sg all failed DNS; p:https://i-weld.com.my/ OK TITLE='i-Weld - I-WELD Malaysia | Welding Machines, MIG...' but site is placeholder WordPress (only /2026/07/29/hello-world/ post, zero product pages, ?s=MIG and ?s=220I return nothing); no product assets exist yet on official site -> pending."
7203,1562,COMPRESSOR-ABKS-AB3.0HP-100L,UNIT,pending,,,,n/a,n/a,,unknown,"Request official photo from the ABKS air compressor importer/distributor named on supplier invoice, else shoot-in-store","2|3","q:'ABKS compressor Malaysia' websearch -> HTTP 429; q:bing rss 'ABKS compressor' -> junk navigational results (wish.com etc), unusable; domain probes abks.com.my / abks.com / abks.com.tw (http+https) all DNS-failed. No official ABKS presence findable this sitting; pending with supplier email."
7204,2137,SUMO-SM200WI,UNIT,pending,,,,n/a,n/a,,unknown,"Email the Sumo power-products distributor/importer for SM200WI welder-generator photo, else shoot-in-store","2|3","q:'Sumo SM200WI inverter gasoline welder' websearch -> HTTP 429; q:ddg-lite '"SM200WI"' -> captcha anomaly wall; domain probes sumotools.com (HugeDomains parking), sumopower.com.my, sumo-tools.com, sumo.com.ph all dead; p:https://sumo.com.my/ is 'Sumo Flooring' (different business). No official Sumo tool brand site identifiable -> pending."
7205,1646,DC-20V-XA+,SET,pending,,,,n/a,no,,unknown,"Email Dongcheng international (contact on dongchengtool.com) or the Malaysia distributor (dongchengmalaysia.com currently unreachable) for kit photos of DCZC04-24Z + DCJZ2060IZ, else shoot-in-store","2|3","q:websearch 'Dongcheng DCZC04-24Z DCJZ2060IZ combo kit' -> HTTP 429 repeatedly; p:https://www.dongchengtool.com/ official EN site OK; q:site search ?s=DCJZ2060IZ / ?s=DCZC04 / ?s=DJC30 -> server ignores query, returns default product grid (8 unrelated detail links checked individually: DCJZ20160i, DCJZ2040, DCZC02-28, DCMP6, DCMY165S, DCMY155, DCPB1718, DCZE125 - no match); p:category cid=1478945818375176193 + pages 2-4 -> identical first page, SPA pagination non-functional server-side; p:http://global.dongcheng.com/service/search?keyword=... JS-rendered, zero embedded results; api endpoints return HTTP 500; p:https://dongchengmalaysia.com connection closed both http/https. Official sites unreachable-by-crawl -> pending."
7206,1610,PUM-WTR-CHM4-2H,UNIT,pending,,,,n/a,n/a,,unknown,"Clarify actual manufacturer of 'Prodn' CHM4-2H wifi inverter pump with the supplier and request official photo; else shoot-in-store","2|3","q:'Prodn intelligent inverter water pump CHM4-2H' websearch -> HTTP 429; q:bing rss attempts returned tokenized junk (brand unidentifiable); no plausible OEM domain found for Prodn/pro-den pump. Display name itself looks like a mangled supplier description; cannot verify any official product -> pending, do NOT invent."
7207,1716,KING KONG-HR150-1500L,UNIT,candidate,https://honesteel.com/product/king-kong-hhr/,https://honesteel.com/wp-content/uploads/2019/09/King-Kong-HHR-1.jpg,medium,n/a,yes,UNIT ok - tank sold per unit by capacity,unknown,"If a strictly HR150-only photo is needed, email Honesteel (King Kong Water Tank maker, kingkong.com.my -> honesteel.com) for per-capacity renders","2|3","q:kingkong.com.my probe -> redirects to honesteel.com ('Honesteel - Your trusted Partner'); p:https://honesteel.com/product-category/water-series/water-tank/king-kong-water-tank/ lists HR-series products; p:https://honesteel.com/product/king-kong-hhr/ TITLE='1500Litres - 5000Litres HHR'; model-quote:""HR150"" verbatim in spec table alongside HR200/HR300/HR500; direct product asset https://honesteel.com/wp-content/uploads/2019/09/King-Kong-HHR-1.jpg captured (no range-style filename); confidence medium because one series photo serves sibling capacities on the same official page."
7208,1667,PUM-WTR-ADELINO-AWJ4-4,UNIT,pending,,,,n/a,n/a,,unknown,"Email the Adelino pump importer/distributor for AWJ4-4 photo, else shoot-in-store","2|3","q:'Adelino stainless multistage pump AWJ4' websearch -> HTTP 429; q:bing rss 'Adelino pump AWJ4' -> junk (eghrmis.gov.my hits); p:https://www.adelino.com/ -> parked-domain lander redirect; adelino.com.my / adelino.my DNS fail. No official Adelino site -> pending."
7209,1700,SUMO-SM-158,UNIT,pending,,,,n/a,n/a,,unknown,"Email Sumo distributor for SM-158 high pressure washer photo, else shoot-in-store","2|3","q:'Sumo SM-158 150 BAR pressure washer' websearch -> HTTP 429; q:bing rss '\"SM-158\" pressure washer' -> junk (SM Entertainment hits); sumo brand domains probed earlier all dead/parking/wrong-business. No official product page -> pending."
7210,1728,PUM-WTR-ADELINO-ACM200,UNIT,pending,,,,n/a,n/a,,unknown,"Email the Adelino pump importer/distributor for ACM200 centrifugal pump photo, else shoot-in-store","2|3","Same evidence trail as AWJ4-4 row: websearch 429, bing rss junk, p:https://www.adelino.com/ parked lander, regional domains unresolved. No official ACM200 page exists findable -> pending."
7211,1804,TOO-WRE-AIR-RT5770,UNIT,pending,,,,n/a,no,,unknown,"Email Rotake via rotake.com contact for RT5770 (or confirm correct code - RT-5770 absent from current line-up) or its Malaysian pneumatic-tool distributor; else shoot-in-store","2|3","q:rotake.com probes -> p:http://www.rotake.com/ official 'Rotake Tools|Tools change the world.'; p:http://www.rotake.com/Impact_Wrenches.html listing contains RT-5268..RT-5999 models incl RT-5563 but NO RT-5770 anywhere; swept category pages PRODUCTS/12,16,17,19,20,23,24,25,26,27,30,31,32,33,34,35,36 and PRODUCTSa/1,2,3,75,76,78 + PRODUCTS_lb/85,87 + PRODUCTS_xq/125 for 'RT[- ]?5770' -> zero hits. Model not on official site -> pending."
7212,2354,MKX-2021-BRUS-3IN1,SET,pending,,,,n/a,n/a,,unknown,"Email Mark-X tools distributor/Malaysian importer for MKX-2021 brushless 3-in-1 combo set photo, else shoot-in-store","2|3","q:'Mark-X MKX-2021 brushless 3 IN 1 combination set' websearch -> HTTP 429; q:bing rss -> tokenized junk (dictionary 'mark' hits); domain probes mark-x.biz, markxtools.com, markx.com.my, mark-x.com.my, markxtools.com.tw, markx.com.tw, mark-x-tools.com, mkxtools.com all DNS-fail. No official Mark-X site findable -> pending."
7213,1235,SINK-CAB-CKS7548-BL,PCS,pending,,,,n/a,no,,unknown,"Email Cabana (cabana.com.my contact) to confirm CKS7548-BL existence and request official sink photos; nearest listed sibling is CKS7546 multifunction - verify code not a typo, else shoot-in-store","2|3","p:https://cabana.com.my/ official site OK; q:on-site WooCommerce ?s=CKS7548 / kitchen+sink / multifunctional -> zero product links (site is custom PHP catalogue); p:/index.php/products/kitchen/kitchen-sink/multifunction-kitchen-sink -> codes CKS1046,CKS1052,CKS1246,CKS7546,CKS8846; p:honeycomb/nanograin/top-mount/undermount subcategories swept -> CKS6347..CKS9048 full list, NO CKS7548 anywhere. Exact model absent from official catalogue -> pending."
7214,1739,SUMO-LT2500N-6,UNIT,pending,,,,n/a,n/a,,unknown,"Email Sumo distributor for LT2500N-6 gasoline generator photo, else shoot-in-store","2|3","q:bing rss '\"LT2500N\"' -> junk (google chrome navigational links); websearch provider 429 all sitting; no official Sumo tool/generator site identifiable (sumo.com.my=flooring, others dead/parked). Pending with supplier email."
