ordinal,source_position,item_code,uom,researcher_decision,official_product_page,official_image_url,match_confidence,finish_exact,model_exact,uom_assessment,rights_status,human_action,tiers_tried,reason
6983,1956,"TOO-NIE-SOC-HAN-1/2""-15MM",PCS,reject,https://nietz.com.my/product/nietz-1-2-drive-chrome-deep-socket-12pt/,https://nietz.com.my/wp-content/uploads/2024/06/7_50043008-until-50043032.png,,no,no,"PCS ok - sold per piece on official page",unknown,"Email NIETZ (info@nietz.com.my) requesting a model-specific photo for code 50043015 (1/2"" drive chrome deep socket 12PT 15mm)",2,"q:""50043015"" Nietz socket [websearch/exa HTTP 429]; q:""57122080"" Nietz mounted flap wheel [429]; p:https://nietz.com.my/?s=chrome%20socket (found NIETZ 1/2"" Drive Chrome Deep Socket 12PT listing); p:https://nietz.com.my/product/nietz-1-2-drive-chrome-deep-socket-12pt/ - page text quote ""CODE: 500-43-0XX"" covers embedded codes 50043008-50043032; ALL 3 gallery images are range-family files ""7_50043008-until-50043032.png/-2/-3"" serving sibling SKUs -> FAMILY-HERO RULE hard reject; no model-specific shot exists on page"
6984,1449,NIETZ-MOU-FLA-WHE-57122080,PCS,reject,https://nietz.com.my/product/nietz-mounted-flap-wheel-ls309x-al-oxide/,https://nietz.com.my/wp-content/uploads/2024/08/42_57110060-until-57152120.png,,no,no,"PCS ok",unknown,"Email NIETZ (info@nietz.com.my) for a per-size photo of mounted flap wheel 57122080 (LS309X)",2,"q:""57122080"" Nietz mounted flap wheel [exa 429]; p:https://nietz.com.my/?s=flap%20wheel (found NIETZ Mounted Flap Wheel LS309X Al Oxide); p:https://nietz.com.my/product/nietz-mounted-flap-wheel-ls309x-al-oxide/ - quote ""CODE: 571-XX-XXX"" and ""Size Codes: 15=0..60=6""; all 5 gallery images are range files ""42_57110060-until-57152120*.png"" covering many sibling sizes -> FAMILY-HERO reject; detected_model 25X25X6 not individually imaged"
6985,1450,NIETZ-MOU-FLA-WHE-57122120,PCS,reject,https://nietz.com.my/product/nietz-mounted-flap-wheel-ls309x-al-oxide/,https://nietz.com.my/wp-content/uploads/2024/08/42_57110060-until-571521202.png,,no,no,"PCS ok",unknown,"Email NIETZ (info@nietz.com.my) for a per-size photo of mounted flap wheel 57122120 (LS309X)",2,"same page family as ordinal 6984; p:https://nietz.com.my/product/nietz-mounted-flap-wheel-ls309x-al-oxide/ quote ""CODE: 571-XX-XXX""; gallery files ""42_57110060-until-571521202.png"" etc are range-family heroes -> FAMILY-HERO reject"
6986,1459,NIETZ-MOU-FLA-WHE-57110060,PCS,reject,https://nietz.com.my/product/nietz-mounted-flap-wheel-ls309x-al-oxide/,https://nietz.com.my/wp-content/uploads/2024/08/42_57110060-until-571521203.png,,no,no,"PCS ok",unknown,"Email NIETZ (info@nietz.com.my) for a per-size photo of mounted flap wheel 57110060 (LS309X 20X15X6)",2,"p:https://nietz.com.my/?s=flap%20wheel; p:https://nietz.com.my/product/nietz-mounted-flap-wheel-ls309x-al-oxide/; although 57110060 leads the range filename ""42_57110060-until-57152120.png"" the image serves the whole LS309X range (filename contains ""until"" RANGE) -> automatic family hero -> reject"
6987,2013,"TOO-NIE-SOC-HAN-1/2""-9MM",PCS,reject,https://nietz.com.my/product/nietz-1-2-drive-chrome-deep-socket-12pt/,https://nietz.com.my/wp-content/uploads/2024/06/7_50043008-until-50043032-2.png,,no,no,"PCS ok",unknown,"Email NIETZ (info@nietz.com.my) requesting a model-specific photo for code 50043009 (1/2"" drive chrome deep socket 12PT 9mm)",2,"p:https://nietz.com.my/?s=50043009 (site search: ""It seems we can't find what you're looking for.""); p:https://nietz.com.my/?s=chrome%20socket; p:https://nietz.com.my/product/nietz-1-2-drive-chrome-deep-socket-12pt/ quote ""CODE: 500-43-0XX""; gallery images ""7_50043008-until-50043032*.png"" are range-family heroes covering 9MM among siblings -> FAMILY-HERO reject"
6988,2517,TOO-NIE-ALL-KEY-04MM,PCS,reject,https://nietz.com.my/product/nietz-extra-long-ball-point-hex-wrench-s2-satin/,https://nietz.com.my/wp-content/uploads/2024/07/35_53252015-until-532522220.png,,no,no,"PCS ok",unknown,"Email NIETZ (info@nietz.com.my) for a 4mm-specific photo of Extra Long Ball Point Hex Wrench S2 Satin code 53252040",2,"q:""53252040"" Nietz ball point wrench [exa 429]; p:prior_page https://nietz.com.my/ ; p:https://nietz.com.my/?s=ball%20point (found NIETZ Extra Long Ball Point Hex Wrench S2 (Satin)); p:https://nietz.com.my/product/nietz-extra-long-ball-point-hex-wrench-s2-satin/ quote ""CODE: 532-52-XXX"" and description ""Made in China""; satin finish matches display ""Sat Wrch""; gallery files ""35_53252015-until-532522220*.png"" are range-family heroes -> FAMILY-HERO reject"
6989,2389,TOO-COM-GLO-10MM,PCS,pending,,,,n/a,n/a,n/a,no_asset,"Identify Glotool brand owner/supplier and request an authorised product photo for the Glotool combination wrench 10mm; otherwise shoot in-store",2,"q:Glotool combination wrench Malaysia [exa 429]; q:%22Glotool%22 combination wrench Malaysia [html.duckduckgo.com/html - worked once]: hits only retailers sonichardware.com.my (Combination Wrench (Glotool) choose-options page), skhardware.com.my and Shopee; no official Glotool brand/OEM website identifiable; house/OEM label treated per honest-generic rule -> pending, no invented image"
6990,1089,NIP-SPO-LES-5L-T,CAN,candidate,https://www.nipponpaint.com.my/product/spot-less-plus-matt/,https://www.nipponpaint.com.my/wp-content/uploads/2024/11/spot-less-plus-matt-best-in-class.webp,medium,no,no,"CAN 5L plausible - official shoponline link exists but size table not visible in fetched HTML",unknown,"If the exact plain tint-base 5L can artwork is required, request it from Nippon Paint Malaysia trade/dealer support (shoponline.nipponpaint.com.my returned HTTP 500 during checks)",2,"q:Nippon Paint ""Spot-less"" interior tint base Malaysia nipponpaint.com.my [exa 429 twice]; p:https://nipponpaint.com.my/?s=spot-less (results: Spot-Less Plus Series page + Spot-Less Plus Matt + Sheen products); p:https://www.nipponpaint.com.my/product/spot-less-plus-matt/ model-quote:""#Spot-Less Plus Matt"" ""Anti-viral & Anti-bacterial paint with excellent stain resistance"" with model-specific can image; p:https://shoponline.nipponpaint.com.my/our-products/spot-less-plus.html [HTTP 500]; brand+series exact official MY site; store SKU ""Tint Base"" 5L pack art not shown and matt-vs-sheen variant cannot be bound to store SKU -> medium confidence"
6991,2561,INS-IS6099,NOS,pending,,,,n/a,n/a,n/a,no_asset,"Identify the supplier behind brand prefix INS for washdown WC IS6099 (S-trap 250mm) and request official photo; Saniware WC-2076-S250 (RM1015) is the closest official equivalent if substitution is acceptable",2,"p:prior_page https://saniware.com/product/wc-2076-s250/ - quote ""Washdown One-piece Closet WC-2076-S250"" ""S-trap, 250mm Roughing-in"" BUT model is WC-2076-S250, NOT IS6099 -> wrong-model lead, cannot accept; p:https://saniware.com/?s=6099 -> ""No Results Found""; q:IS6099 water closet [attempted via html.duckduckgo.com/html - BLOCKED by bot-wall CAPTCHA]; brand INS unidentified -> pending"
6992,2025,VAC-DEC-ROB-BRVA425B00-B1,UNIT,candidate,https://theleedenstore.com.my/product/black-decker-brva425b00-b1-14-4-volts-2600ah-robot-vacuum-black/,https://theleedenstore.com.my/wp-content/uploads/2024/11/BLACK-DECKER-2_BLACK-DECKER-BRVA425B00-B1-14.4-VOLTS-2600AH-ROBOT-VAC-BLACK-PHOTO-1.jpg,high,yes,yes,"UNIT ok - sold as one boxed unit (RM1332, in stock)",unknown,None,2,"q:""BRVA425B00"" Black Decker robot vacuum [exa 429 repeatedly]; p:https://theleedenstore.com.my/?s=BRVA425B00 (hit); p:https://theleedenstore.com.my/product/black-decker-brva425b00-b1-14-4-volts-2600ah-robot-vacuum-black/ model-quote:""BLACK & DECKER BRVA425B00-B1 14.4 VOLTS 2600AH ROBOT VACUUM - BLACK"" and spec ""Model: BRVA425B00-B1"", features ""Vacuuming, Sweeping, Sweep Suction, Suctioning and Mopping"" (mop ✓) ""300ml water tank with wet mop pad""; Leeden Hercules Sdn Bhd is the listed Black+Decker MY distributor; 5 model-specific photos PHOTO-1..5; black finish ✓"
