source_position,item_code,uom,display_name,category,detected_brand,detected_model
5130,HOS-GAR-REEL-TSU,SET,Tsunami 2 IN 1 Compact Garden Hose Reel 15M,Fishing & Tackle,,
5372,MEA-WHE-SES06,SET,6 Sensui Measuring Wheel,Hand Tools,,
4117,PUMP-SHADE,PCS,Marlino Pump Shade,Pumps & Water,,
5375,SAF-SHO-SANO-43#,PAIR,Sano Safety Shoe 43/9,Safety & Workwear,,
5461,SAF-SHO-LAU-42#,PAIR,Laufen Safety Shoe 42/8,Safety & Workwear,,
5620,SAF-SHO-PCSL911-10/44#,PAIR,Picasaf Sport Leisure Safety Shoe 911 10/44,Safety & Workwear,,
5621,SAF-SHO-PCSL911-6/39#,PAIR,Picasaf Sport Leisure Safety Shoe 911 6/39,Safety & Workwear,,
5622,SAF-SHO-PCSL911-7/41#,PAIR,Picasaf Sport Leisure Safety Shoe 911 7/41,Safety & Workwear,,
5432,HOS-GAR-REE-1100001,SET,Ecogreen-iron Hose Reel 1002,Fishing & Tackle,,
4441,TOO-WRE-AIR-RT1206K,UNIT,Rotake 1/4 Air Die Grinder Kit,Power Tools,,
