source_position,item_code,uom,display_name,category,detected_brand,detected_model
7661,TOO-DRV-PRE-7391A,SET,7391A Precision Screw Driver (torx Head),Fasteners & Fixings,,
7358,SHH-CAGE-2RING-10X12-PENET,PCS,2 Ring Cage 10 X 12 PE Net,Fishing & Tackle,,
7428,TOO-FIL-SENSUI-SNF004,PCS,6 Sensui Thin Flat File,Hand Tools,,
5978,TOO-COM-GD28,PCS,Gd Combination Wrench 28MM,Hand Tools,,
6706,GAR-SPR-CR8413,PCS,Pump Handle-cr 8413,Pumps & Water,,
6710,PUT-CAR-888-3.5KG,PCS,Putty Hardener,Paint & Sundries,,
7372,CHA-GAL-8MM,KGS,Galv Short Link Chain 5/16,"Rope, Chain & Netting",,
7670,"DRI-AUG-SDS-1/2""",PCS,1/2 Sds Plus Auger Bit,Power Tool Accessories,,
6657,DOR-STO-S/S-2212,PCS,2212 S/s Door Stopper,Doors & Hardware,,
7650,ELE-WOO-BLOCK-9X14,EA,Wood Block 9 X 14,Electrical,,
